# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(0,1),-0.67407 # DEPENDENCYPART_ARC
(0,2),-1.1806 # DEPENDENCYPART_ARC
(0,3),0.339146 # DEPENDENCYPART_ARC
(0,4),-1.05936 # DEPENDENCYPART_ARC
(0,5),-0.0277289 # DEPENDENCYPART_ARC
(0,6),-0.948984 # DEPENDENCYPART_ARC
(0,7),0.294897 # DEPENDENCYPART_ARC
(0,8),-0.790676 # DEPENDENCYPART_ARC
(0,9),-1.00966 # DEPENDENCYPART_ARC
(0,10),-1.22094 # DEPENDENCYPART_ARC
(0,11),-0.785435 # DEPENDENCYPART_ARC
(0,12),-0.531071 # DEPENDENCYPART_ARC
(0,13),-1.99441 # DEPENDENCYPART_ARC
(0,15),-0.50175 # DEPENDENCYPART_ARC
(0,16),-1.32883 # DEPENDENCYPART_ARC
(0,17),0.157005 # DEPENDENCYPART_ARC
(0,20),-2.50341 # DEPENDENCYPART_ARC
(0,21),-2.38717 # DEPENDENCYPART_ARC
(0,22),-1.23929 # DEPENDENCYPART_ARC
(0,23),-3.75973 # DEPENDENCYPART_ARC
(0,24),-3.54031 # DEPENDENCYPART_ARC
(1,2),0.444307 # DEPENDENCYPART_ARC
(1,4),-1.83175 # DEPENDENCYPART_ARC
(1,7),-2.58081 # DEPENDENCYPART_ARC
(2,1),1.92623 # DEPENDENCYPART_ARC
(2,3),-2.22833 # DEPENDENCYPART_ARC
(2,4),-1.14979 # DEPENDENCYPART_ARC
(2,7),-3.22422 # DEPENDENCYPART_ARC
(2,8),-3.41621 # DEPENDENCYPART_ARC
(3,1),-0.114477 # DEPENDENCYPART_ARC
(3,2),2.12911 # DEPENDENCYPART_ARC
(3,4),1.41148 # DEPENDENCYPART_ARC
(3,5),-0.24132 # DEPENDENCYPART_ARC
(3,6),-1.03933 # DEPENDENCYPART_ARC
(3,7),-1.02034 # DEPENDENCYPART_ARC
(3,8),-0.246237 # DEPENDENCYPART_ARC
(3,9),-1.36773 # DEPENDENCYPART_ARC
(3,12),-2.2843 # DEPENDENCYPART_ARC
(3,16),-1.04802 # DEPENDENCYPART_ARC
(3,17),-0.797597 # DEPENDENCYPART_ARC
(3,20),-1.83941 # DEPENDENCYPART_ARC
(4,1),-1.19752 # DEPENDENCYPART_ARC
(4,2),-1.42917 # DEPENDENCYPART_ARC
(4,5),-0.500305 # DEPENDENCYPART_ARC
(4,8),-0.754764 # DEPENDENCYPART_ARC
(5,1),-0.835656 # DEPENDENCYPART_ARC
(5,2),-1.11264 # DEPENDENCYPART_ARC
(5,3),1.66338 # DEPENDENCYPART_ARC
(5,4),-0.264511 # DEPENDENCYPART_ARC
(5,6),1.55842 # DEPENDENCYPART_ARC
(5,7),1.08826 # DEPENDENCYPART_ARC
(5,8),-0.0649276 # DEPENDENCYPART_ARC
(5,9),0.108694 # DEPENDENCYPART_ARC
(5,11),-0.570296 # DEPENDENCYPART_ARC
(5,12),-0.0734188 # DEPENDENCYPART_ARC
(5,14),-0.890817 # DEPENDENCYPART_ARC
(5,15),-0.236766 # DEPENDENCYPART_ARC
(5,17),-0.0978167 # DEPENDENCYPART_ARC
(5,19),-1.83027 # DEPENDENCYPART_ARC
(5,20),-1.03693 # DEPENDENCYPART_ARC
(5,21),-0.767198 # DEPENDENCYPART_ARC
(6,3),-1.51185 # DEPENDENCYPART_ARC
(6,4),-1.92701 # DEPENDENCYPART_ARC
(7,1),-1.97044 # DEPENDENCYPART_ARC
(7,2),-0.624228 # DEPENDENCYPART_ARC
(7,3),0.0373266 # DEPENDENCYPART_ARC
(7,4),-0.497071 # DEPENDENCYPART_ARC
(7,5),0.281079 # DEPENDENCYPART_ARC
(7,6),-0.183255 # DEPENDENCYPART_ARC
(7,8),1.42544 # DEPENDENCYPART_ARC
(7,9),-0.9456 # DEPENDENCYPART_ARC
(7,11),-0.983162 # DEPENDENCYPART_ARC
(7,12),-2.00723 # DEPENDENCYPART_ARC
(7,15),-1.09219 # DEPENDENCYPART_ARC
(7,16),-1.30135 # DEPENDENCYPART_ARC
(7,17),-0.305478 # DEPENDENCYPART_ARC
(7,19),-1.89336 # DEPENDENCYPART_ARC
(7,20),-1.82796 # DEPENDENCYPART_ARC
(8,2),-1.53144 # DEPENDENCYPART_ARC
(8,9),1.33894 # DEPENDENCYPART_ARC
(9,4),-0.992395 # DEPENDENCYPART_ARC
(9,5),-0.651383 # DEPENDENCYPART_ARC
(9,8),-0.109279 # DEPENDENCYPART_ARC
(9,10),1.69759 # DEPENDENCYPART_ARC
(9,12),-0.443183 # DEPENDENCYPART_ARC
(9,21),-0.780751 # DEPENDENCYPART_ARC
(10,11),-0.900669 # DEPENDENCYPART_ARC
(11,1),-2.38895 # DEPENDENCYPART_ARC
(11,2),-1.30355 # DEPENDENCYPART_ARC
(11,3),-0.716322 # DEPENDENCYPART_ARC
(11,4),-0.95353 # DEPENDENCYPART_ARC
(11,5),-0.153255 # DEPENDENCYPART_ARC
(11,6),-1.01796 # DEPENDENCYPART_ARC
(11,7),-0.000878644 # DEPENDENCYPART_ARC
(11,8),-1.03995 # DEPENDENCYPART_ARC
(11,9),-0.585289 # DEPENDENCYPART_ARC
(11,12),0.00691029 # DEPENDENCYPART_ARC
(11,13),-0.620612 # DEPENDENCYPART_ARC
(11,14),0.214029 # DEPENDENCYPART_ARC
(11,15),-0.0847815 # DEPENDENCYPART_ARC
(11,16),0.0511477 # DEPENDENCYPART_ARC
(11,17),-0.213231 # DEPENDENCYPART_ARC
(11,18),-1.34681 # DEPENDENCYPART_ARC
(11,19),-0.595054 # DEPENDENCYPART_ARC
(11,20),-0.56627 # DEPENDENCYPART_ARC
(11,21),-1.61731 # DEPENDENCYPART_ARC
(11,22),-0.755216 # DEPENDENCYPART_ARC
(12,1),-3.29287 # DEPENDENCYPART_ARC
(12,2),-1.26612 # DEPENDENCYPART_ARC
(12,3),-0.563253 # DEPENDENCYPART_ARC
(12,4),-0.811965 # DEPENDENCYPART_ARC
(12,5),-0.590063 # DEPENDENCYPART_ARC
(12,7),-0.118593 # DEPENDENCYPART_ARC
(12,8),-1.32742 # DEPENDENCYPART_ARC
(12,11),1.97752 # DEPENDENCYPART_ARC
(12,13),-2.15076 # DEPENDENCYPART_ARC
(12,14),0.173117 # DEPENDENCYPART_ARC
(12,15),-0.436916 # DEPENDENCYPART_ARC
(12,16),-1.61876 # DEPENDENCYPART_ARC
(12,17),-0.610422 # DEPENDENCYPART_ARC
(12,18),-3.01796 # DEPENDENCYPART_ARC
(12,19),-1.16056 # DEPENDENCYPART_ARC
(12,20),-0.424247 # DEPENDENCYPART_ARC
(12,21),-2.37823 # DEPENDENCYPART_ARC
(12,22),-1.85003 # DEPENDENCYPART_ARC
(13,11),-0.590253 # DEPENDENCYPART_ARC
(13,14),0.442463 # DEPENDENCYPART_ARC
(13,18),-0.980297 # DEPENDENCYPART_ARC
(14,9),-1.44701 # DEPENDENCYPART_ARC
(14,11),-0.0698543 # DEPENDENCYPART_ARC
(14,12),-1.55991 # DEPENDENCYPART_ARC
(14,13),0.374436 # DEPENDENCYPART_ARC
(14,15),-1.09119 # DEPENDENCYPART_ARC
(14,16),-2.84802 # DEPENDENCYPART_ARC
(14,18),-1.88796 # DEPENDENCYPART_ARC
(14,24),-1.5927 # DEPENDENCYPART_ARC
(15,1),-3.62013 # DEPENDENCYPART_ARC
(15,2),-1.42417 # DEPENDENCYPART_ARC
(15,3),-0.627082 # DEPENDENCYPART_ARC
(15,5),-0.391552 # DEPENDENCYPART_ARC
(15,7),0.0130803 # DEPENDENCYPART_ARC
(15,8),-1.4933 # DEPENDENCYPART_ARC
(15,11),-0.0903659 # DEPENDENCYPART_ARC
(15,12),-0.319982 # DEPENDENCYPART_ARC
(15,13),-1.37311 # DEPENDENCYPART_ARC
(15,14),2.58968 # DEPENDENCYPART_ARC
(15,16),1.52557 # DEPENDENCYPART_ARC
(15,17),-0.277861 # DEPENDENCYPART_ARC
(15,18),-1.39181 # DEPENDENCYPART_ARC
(15,19),-0.258354 # DEPENDENCYPART_ARC
(15,20),-0.393625 # DEPENDENCYPART_ARC
(15,21),-1.53664 # DEPENDENCYPART_ARC
(15,22),-0.845398 # DEPENDENCYPART_ARC
(16,14),-0.140016 # DEPENDENCYPART_ARC
(16,18),-2.10601 # DEPENDENCYPART_ARC
(16,22),-1.80958 # DEPENDENCYPART_ARC
(17,3),-0.11196 # DEPENDENCYPART_ARC
(17,5),-0.636976 # DEPENDENCYPART_ARC
(17,7),0.599461 # DEPENDENCYPART_ARC
(17,11),0.0757455 # DEPENDENCYPART_ARC
(17,12),0.480183 # DEPENDENCYPART_ARC
(17,13),-1.18615 # DEPENDENCYPART_ARC
(17,14),-0.262885 # DEPENDENCYPART_ARC
(17,15),2.178 # DEPENDENCYPART_ARC
(17,16),-0.143329 # DEPENDENCYPART_ARC
(17,18),0.283903 # DEPENDENCYPART_ARC
(17,19),-0.0379599 # DEPENDENCYPART_ARC
