# _root_ zuk galdua zenion beldurra itsasoari txiki-txikitatik ; nik , berriz , gero_eta begirune handiagoa .
#goldHeads=3,3,0,3,3,3,6,0,8,0,10,13,0,13,14,
#predictedHeads=3,3,10,3,3,5,6,2,8,0,10,0,12,13,14,
(0,1),-0.578677 # DEPENDENCYPART_ARC
(0,2),-1.00978 # DEPENDENCYPART_ARC
(0,3),-0.10126 # DEPENDENCYPART_ARC
(0,4),-0.575737 # DEPENDENCYPART_ARC
(0,5),-1.1677 # DEPENDENCYPART_ARC
(0,6),-1.41235 # DEPENDENCYPART_ARC
(0,7),-0.0790822 # DEPENDENCYPART_ARC
(0,8),-1.5758 # DEPENDENCYPART_ARC
(0,9),-0.616052 # DEPENDENCYPART_ARC
(0,10),1.34128 # DEPENDENCYPART_ARC
(0,11),-0.527274 # DEPENDENCYPART_ARC
(0,12),0.0620836 # DEPENDENCYPART_ARC
(0,13),-1.61387 # DEPENDENCYPART_ARC
(0,14),-1.35613 # DEPENDENCYPART_ARC
(0,15),-0.891516 # DEPENDENCYPART_ARC
(1,2),-0.532299 # DEPENDENCYPART_ARC
(1,6),-1.3297 # DEPENDENCYPART_ARC
(2,1),0.722342 # DEPENDENCYPART_ARC
(2,3),-0.738692 # DEPENDENCYPART_ARC
(2,4),-0.978264 # DEPENDENCYPART_ARC
(2,5),-0.486648 # DEPENDENCYPART_ARC
(2,6),-0.800313 # DEPENDENCYPART_ARC
(2,8),-0.710609 # DEPENDENCYPART_ARC
(2,9),-0.945512 # DEPENDENCYPART_ARC
(2,11),-1.23947 # DEPENDENCYPART_ARC
(2,12),-0.878306 # DEPENDENCYPART_ARC
(3,1),1.60243 # DEPENDENCYPART_ARC
(3,2),2.61345 # DEPENDENCYPART_ARC
(3,4),1.97818 # DEPENDENCYPART_ARC
(3,5),-0.0517158 # DEPENDENCYPART_ARC
(3,6),-0.493167 # DEPENDENCYPART_ARC
(3,13),-0.93258 # DEPENDENCYPART_ARC
(4,1),-2.23142 # DEPENDENCYPART_ARC
(4,2),-0.493814 # DEPENDENCYPART_ARC
(4,3),-0.115051 # DEPENDENCYPART_ARC
(4,5),-0.829051 # DEPENDENCYPART_ARC
(4,6),-1.31499 # DEPENDENCYPART_ARC
(4,13),-2.43669 # DEPENDENCYPART_ARC
(4,15),-1.4437 # DEPENDENCYPART_ARC
(5,1),-2.52231 # DEPENDENCYPART_ARC
(5,2),-1.26224 # DEPENDENCYPART_ARC
(5,3),-1.31692 # DEPENDENCYPART_ARC
(5,4),-0.823971 # DEPENDENCYPART_ARC
(5,6),0.127865 # DEPENDENCYPART_ARC
(5,10),-1.27768 # DEPENDENCYPART_ARC
(5,13),-1.88687 # DEPENDENCYPART_ARC
(5,15),-1.45541 # DEPENDENCYPART_ARC
(6,4),-0.616745 # DEPENDENCYPART_ARC
(6,5),-0.0209479 # DEPENDENCYPART_ARC
(6,7),1.13567 # DEPENDENCYPART_ARC
(6,9),-0.0934038 # DEPENDENCYPART_ARC
(6,13),-1.37152 # DEPENDENCYPART_ARC
(7,2),-0.415781 # DEPENDENCYPART_ARC
(7,3),0.00285442 # DEPENDENCYPART_ARC
(8,9),0.933477 # DEPENDENCYPART_ARC
(8,14),-0.879548 # DEPENDENCYPART_ARC
(9,3),-1.09343 # DEPENDENCYPART_ARC
(9,12),-1.18458 # DEPENDENCYPART_ARC
(9,13),-1.18738 # DEPENDENCYPART_ARC
(10,2),-2.12549 # DEPENDENCYPART_ARC
(10,3),0.191456 # DEPENDENCYPART_ARC
(10,9),-0.514808 # DEPENDENCYPART_ARC
(10,11),1.27359 # DEPENDENCYPART_ARC
(10,13),-1.3767 # DEPENDENCYPART_ARC
(11,3),-0.754709 # DEPENDENCYPART_ARC
(11,12),-0.759826 # DEPENDENCYPART_ARC
(11,13),-1.42048 # DEPENDENCYPART_ARC
(11,14),-1.21083 # DEPENDENCYPART_ARC
(12,2),-0.217679 # DEPENDENCYPART_ARC
(12,4),-1.40151 # DEPENDENCYPART_ARC
(12,5),-1.47521 # DEPENDENCYPART_ARC
(12,13),0.654806 # DEPENDENCYPART_ARC
(13,2),-2.69167 # DEPENDENCYPART_ARC
(13,4),-2.67403 # DEPENDENCYPART_ARC
(13,5),-2.20951 # DEPENDENCYPART_ARC
(13,6),-1.03471 # DEPENDENCYPART_ARC
(13,9),-1.37588 # DEPENDENCYPART_ARC
(13,11),-0.873767 # DEPENDENCYPART_ARC
(13,12),0.192189 # DEPENDENCYPART_ARC
(13,14),2.00376 # DEPENDENCYPART_ARC
(13,15),-0.48834 # DEPENDENCYPART_ARC
(14,4),-3.30695 # DEPENDENCYPART_ARC
(14,5),-2.96663 # DEPENDENCYPART_ARC
(14,12),-0.368133 # DEPENDENCYPART_ARC
(14,13),-0.481986 # DEPENDENCYPART_ARC
(14,15),1.70375 # DEPENDENCYPART_ARC
