# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,11,14,15,18,11,18,21,25,25,24,25,18,25,26,29,25,29,
(0,1),1.57128 # DEPENDENCYPART_ARC
(0,3),1.39898 # DEPENDENCYPART_ARC
(0,4),-1.04535 # DEPENDENCYPART_ARC
(0,6),-0.981226 # DEPENDENCYPART_ARC
(0,7),0.0160707 # DEPENDENCYPART_ARC
(0,8),-0.680593 # DEPENDENCYPART_ARC
(0,9),0.423747 # DEPENDENCYPART_ARC
(0,10),-0.923953 # DEPENDENCYPART_ARC
(0,11),0.569945 # DEPENDENCYPART_ARC
(0,12),-1.05669 # DEPENDENCYPART_ARC
(0,13),-1.08269 # DEPENDENCYPART_ARC
(0,14),-1.43345 # DEPENDENCYPART_ARC
(0,15),-1.42152 # DEPENDENCYPART_ARC
(0,16),-1.43775 # DEPENDENCYPART_ARC
(0,17),-1.26855 # DEPENDENCYPART_ARC
(0,18),-0.963333 # DEPENDENCYPART_ARC
(0,19),-0.817779 # DEPENDENCYPART_ARC
(0,21),-2.27407 # DEPENDENCYPART_ARC
(0,22),-0.818438 # DEPENDENCYPART_ARC
(0,25),-2.28824 # DEPENDENCYPART_ARC
(0,26),-2.63063 # DEPENDENCYPART_ARC
(0,27),-1.54571 # DEPENDENCYPART_ARC
(0,29),-2.51613 # DEPENDENCYPART_ARC
(0,30),-4.33963 # DEPENDENCYPART_ARC
(1,2),-0.352951 # DEPENDENCYPART_ARC
(2,3),0.275707 # DEPENDENCYPART_ARC
(3,2),-0.456258 # DEPENDENCYPART_ARC
(3,6),-1.19061 # DEPENDENCYPART_ARC
(3,7),-1.15528 # DEPENDENCYPART_ARC
(4,3),-0.635005 # DEPENDENCYPART_ARC
(4,6),-2.08495 # DEPENDENCYPART_ARC
(6,4),-0.552641 # DEPENDENCYPART_ARC
(6,5),1.07527 # DEPENDENCYPART_ARC
(6,7),-1.15179 # DEPENDENCYPART_ARC
(6,8),-1.37918 # DEPENDENCYPART_ARC
(6,15),-1.77585 # DEPENDENCYPART_ARC
(7,4),1.88542 # DEPENDENCYPART_ARC
(7,5),0.0975005 # DEPENDENCYPART_ARC
(7,6),2.66517 # DEPENDENCYPART_ARC
(7,8),1.80779 # DEPENDENCYPART_ARC
(7,9),-1.0819 # DEPENDENCYPART_ARC
(7,10),-0.713577 # DEPENDENCYPART_ARC
(7,11),-0.535133 # DEPENDENCYPART_ARC
(7,12),-1.90103 # DEPENDENCYPART_ARC
(7,13),-0.650553 # DEPENDENCYPART_ARC
(7,14),-0.624511 # DEPENDENCYPART_ARC
(7,15),-0.878196 # DEPENDENCYPART_ARC
(7,17),-1.56854 # DEPENDENCYPART_ARC
(7,18),-1.10074 # DEPENDENCYPART_ARC
(7,21),-1.57216 # DEPENDENCYPART_ARC
(7,23),-2.50041 # DEPENDENCYPART_ARC
(7,24),-1.44188 # DEPENDENCYPART_ARC
(7,25),-1.81302 # DEPENDENCYPART_ARC
(7,26),-1.67268 # DEPENDENCYPART_ARC
(7,28),-3.20788 # DEPENDENCYPART_ARC
(7,29),-1.28277 # DEPENDENCYPART_ARC
(8,4),-1.31306 # DEPENDENCYPART_ARC
(8,6),-0.642392 # DEPENDENCYPART_ARC
(8,9),-1.5853 # DEPENDENCYPART_ARC
(9,4),1.24179 # DEPENDENCYPART_ARC
(9,6),0.706279 # DEPENDENCYPART_ARC
(9,7),1.7636 # DEPENDENCYPART_ARC
(9,8),-0.609929 # DEPENDENCYPART_ARC
(9,10),1.51918 # DEPENDENCYPART_ARC
(9,11),-0.621896 # DEPENDENCYPART_ARC
(9,12),-1.74326 # DEPENDENCYPART_ARC
(9,13),0.399603 # DEPENDENCYPART_ARC
(9,14),-1.07228 # DEPENDENCYPART_ARC
(9,16),-1.01043 # DEPENDENCYPART_ARC
(9,17),-0.988909 # DEPENDENCYPART_ARC
(9,18),-1.29147 # DEPENDENCYPART_ARC
(9,25),-1.54278 # DEPENDENCYPART_ARC
(9,27),-1.47533 # DEPENDENCYPART_ARC
(10,7),-0.92616 # DEPENDENCYPART_ARC
(10,8),-1.25842 # DEPENDENCYPART_ARC
(10,9),-0.218012 # DEPENDENCYPART_ARC
(10,11),-0.572082 # DEPENDENCYPART_ARC
(10,15),-1.5043 # DEPENDENCYPART_ARC
(11,4),-2.08384 # DEPENDENCYPART_ARC
(11,6),-1.40501 # DEPENDENCYPART_ARC
(11,7),1.06343 # DEPENDENCYPART_ARC
(11,8),-0.749529 # DEPENDENCYPART_ARC
(11,9),0.656534 # DEPENDENCYPART_ARC
(11,10),-0.321722 # DEPENDENCYPART_ARC
(11,12),-0.526224 # DEPENDENCYPART_ARC
(11,13),-0.0590043 # DEPENDENCYPART_ARC
(11,14),0.180577 # DEPENDENCYPART_ARC
(11,15),-0.795182 # DEPENDENCYPART_ARC
(11,18),-0.0822734 # DEPENDENCYPART_ARC
(11,21),-1.04827 # DEPENDENCYPART_ARC
(11,24),-1.26549 # DEPENDENCYPART_ARC
(11,25),-1.22769 # DEPENDENCYPART_ARC
(11,28),-1.74915 # DEPENDENCYPART_ARC
(11,29),-1.27651 # DEPENDENCYPART_ARC
(12,9),-2.82795 # DEPENDENCYPART_ARC
(12,10),-1.67674 # DEPENDENCYPART_ARC
(12,11),-0.968516 # DEPENDENCYPART_ARC
(12,13),0.381907 # DEPENDENCYPART_ARC
(12,15),-1.14852 # DEPENDENCYPART_ARC
(12,17),-2.0113 # DEPENDENCYPART_ARC
(13,7),-2.07503 # DEPENDENCYPART_ARC
(13,9),-3.20532 # DEPENDENCYPART_ARC
(13,10),-1.24746 # DEPENDENCYPART_ARC
(13,11),-0.537791 # DEPENDENCYPART_ARC
(13,12),0.977951 # DEPENDENCYPART_ARC
(13,14),-0.99172 # DEPENDENCYPART_ARC
(13,15),-0.699862 # DEPENDENCYPART_ARC
