# _root_ alderdiak kargu_hartu diola esan zuen atzo iturgaitzek , baina haren_kontrako neurririk ez dela hartuko , legebiltzarreko_mahaiak ere egin ez duelako .
#goldHeads=2,9,2,0,4,4,4,7,4,11,14,14,14,9,14,18,0,14,18,18,20,
#predictedHeads=2,4,2,9,4,4,4,7,0,14,14,14,14,9,14,18,0,14,18,18,20,
(0,1),-1.04486 # DEPENDENCYPART_ARC
(0,2),0.0650968 # DEPENDENCYPART_ARC
(0,3),-0.736567 # DEPENDENCYPART_ARC
(0,4),0.336367 # DEPENDENCYPART_ARC
(0,5),-0.899925 # DEPENDENCYPART_ARC
(0,6),-0.801377 # DEPENDENCYPART_ARC
(0,7),-2.3711 # DEPENDENCYPART_ARC
(0,8),-1.14422 # DEPENDENCYPART_ARC
(0,9),1.24595 # DEPENDENCYPART_ARC
(0,10),-2.09277 # DEPENDENCYPART_ARC
(0,12),-1.49843 # DEPENDENCYPART_ARC
(0,13),-1.83484 # DEPENDENCYPART_ARC
(0,14),-0.813111 # DEPENDENCYPART_ARC
(0,15),-0.864257 # DEPENDENCYPART_ARC
(0,17),0.495351 # DEPENDENCYPART_ARC
(0,18),-1.91805 # DEPENDENCYPART_ARC
(0,19),-2.00616 # DEPENDENCYPART_ARC
(0,20),-0.74371 # DEPENDENCYPART_ARC
(0,21),-3.15257 # DEPENDENCYPART_ARC
(1,2),-1.26396 # DEPENDENCYPART_ARC
(1,3),-2.2227 # DEPENDENCYPART_ARC
(1,5),-2.21448 # DEPENDENCYPART_ARC
(1,6),-1.59904 # DEPENDENCYPART_ARC
(2,1),2.86209 # DEPENDENCYPART_ARC
(2,3),1.90246 # DEPENDENCYPART_ARC
(2,4),-0.43878 # DEPENDENCYPART_ARC
(2,5),-0.474837 # DEPENDENCYPART_ARC
(2,9),-0.279182 # DEPENDENCYPART_ARC
(2,11),-1.02684 # DEPENDENCYPART_ARC
(2,12),-0.60833 # DEPENDENCYPART_ARC
(2,13),-0.826526 # DEPENDENCYPART_ARC
(2,14),-0.518146 # DEPENDENCYPART_ARC
(2,16),-1.40501 # DEPENDENCYPART_ARC
(2,18),-1.78665 # DEPENDENCYPART_ARC
(2,19),-0.192432 # DEPENDENCYPART_ARC
(2,20),-1.96554 # DEPENDENCYPART_ARC
(3,1),-1.17149 # DEPENDENCYPART_ARC
(3,4),-2.32819 # DEPENDENCYPART_ARC
(3,5),-1.43932 # DEPENDENCYPART_ARC
(3,6),-1.23175 # DEPENDENCYPART_ARC
(4,1),1.10414 # DEPENDENCYPART_ARC
(4,2),1.25353 # DEPENDENCYPART_ARC
(4,3),-0.439182 # DEPENDENCYPART_ARC
(4,5),1.71841 # DEPENDENCYPART_ARC
(4,6),1.1853 # DEPENDENCYPART_ARC
(4,7),1.74879 # DEPENDENCYPART_ARC
(4,8),-0.625282 # DEPENDENCYPART_ARC
(4,9),0.206953 # DEPENDENCYPART_ARC
(4,11),-0.713697 # DEPENDENCYPART_ARC
(4,13),-0.403934 # DEPENDENCYPART_ARC
(4,14),-0.320416 # DEPENDENCYPART_ARC
(4,16),-1.16608 # DEPENDENCYPART_ARC
(4,18),-1.50476 # DEPENDENCYPART_ARC
(4,20),-1.46383 # DEPENDENCYPART_ARC
(5,1),-1.78445 # DEPENDENCYPART_ARC
(5,6),-1.04412 # DEPENDENCYPART_ARC
(5,13),-1.7906 # DEPENDENCYPART_ARC
(6,1),-1.31086 # DEPENDENCYPART_ARC
(6,4),-0.667046 # DEPENDENCYPART_ARC
(6,7),-0.222434 # DEPENDENCYPART_ARC
(6,8),-0.0391494 # DEPENDENCYPART_ARC
(6,9),-0.702271 # DEPENDENCYPART_ARC
(6,11),-1.11055 # DEPENDENCYPART_ARC
(7,4),-1.83168 # DEPENDENCYPART_ARC
(7,8),1.48545 # DEPENDENCYPART_ARC
(7,11),-2.48039 # DEPENDENCYPART_ARC
(8,2),-0.801922 # DEPENDENCYPART_ARC
(8,3),-1.42703 # DEPENDENCYPART_ARC
(8,4),-0.578906 # DEPENDENCYPART_ARC
(8,5),-1.02025 # DEPENDENCYPART_ARC
(8,7),-0.7837 # DEPENDENCYPART_ARC
(8,9),-0.578361 # DEPENDENCYPART_ARC
(9,1),-1.68479 # DEPENDENCYPART_ARC
(9,2),1.08654 # DEPENDENCYPART_ARC
(9,3),-0.898864 # DEPENDENCYPART_ARC
(9,4),1.16901 # DEPENDENCYPART_ARC
(9,5),-0.961173 # DEPENDENCYPART_ARC
(9,6),-0.156862 # DEPENDENCYPART_ARC
(9,7),-1.46793 # DEPENDENCYPART_ARC
(9,8),-0.0980683 # DEPENDENCYPART_ARC
(9,10),-1.00427 # DEPENDENCYPART_ARC
(9,11),0.286711 # DEPENDENCYPART_ARC
(9,12),-0.0304059 # DEPENDENCYPART_ARC
(9,13),-0.909591 # DEPENDENCYPART_ARC
(9,14),0.571347 # DEPENDENCYPART_ARC
(9,15),-0.0720681 # DEPENDENCYPART_ARC
(9,16),-0.57221 # DEPENDENCYPART_ARC
(9,18),-0.678032 # DEPENDENCYPART_ARC
(10,9),-0.857725 # DEPENDENCYPART_ARC
(10,11),-0.277766 # DEPENDENCYPART_ARC
(10,14),-1.17706 # DEPENDENCYPART_ARC
(11,1),-2.90051 # DEPENDENCYPART_ARC
(11,4),-1.82468 # DEPENDENCYPART_ARC
(11,6),-1.31201 # DEPENDENCYPART_ARC
(11,7),-3.01845 # DEPENDENCYPART_ARC
(11,8),-1.20567 # DEPENDENCYPART_ARC
(11,9),-0.628859 # DEPENDENCYPART_ARC
(11,10),0.393942 # DEPENDENCYPART_ARC
(11,12),-0.764666 # DEPENDENCYPART_ARC
(11,13),-1.20941 # DEPENDENCYPART_ARC
(11,16),-1.59972 # DEPENDENCYPART_ARC
(11,21),-1.14691 # DEPENDENCYPART_ARC
(12,11),-0.771213 # DEPENDENCYPART_ARC
(12,16),-1.27697 # DEPENDENCYPART_ARC
(12,18),-1.38651 # DEPENDENCYPART_ARC
(13,7),-0.387718 # DEPENDENCYPART_ARC
(13,9),-0.885387 # DEPENDENCYPART_ARC
(13,11),-0.677525 # DEPENDENCYPART_ARC
(13,12),-0.0536349 # DEPENDENCYPART_ARC
(13,14),-0.184121 # DEPENDENCYPART_ARC
(13,20),-1.12553 # DEPENDENCYPART_ARC
(14,1),-0.118443 # DEPENDENCYPART_ARC
(14,2),0.329954 # DEPENDENCYPART_ARC
(14,3),-0.559859 # DEPENDENCYPART_ARC
(14,4),0.78817 # DEPENDENCYPART_ARC
(14,5),-0.513931 # DEPENDENCYPART_ARC
(14,6),-0.127905 # DEPENDENCYPART_ARC
(14,7),-0.0422611 # DEPENDENCYPART_ARC
(14,8),-0.947665 # DEPENDENCYPART_ARC
(14,9),-0.46394 # DEPENDENCYPART_ARC
(14,10),0.555158 # DEPENDENCYPART_ARC
(14,11),1.34822 # DEPENDENCYPART_ARC
(14,12),1.70309 # DEPENDENCYPART_ARC
(14,13),1.55102 # DEPENDENCYPART_ARC
(14,15),1.56342 # DEPENDENCYPART_ARC
(14,16),0.792211 # DEPENDENCYPART_ARC
(14,17),-0.0346694 # DEPENDENCYPART_ARC
(14,18),-0.00644338 # DEPENDENCYPART_ARC
(14,19),-0.132704 # DEPENDENCYPART_ARC
(14,20),-0.0925203 # DEPENDENCYPART_ARC
(15,13),-1.06038 # DEPENDENCYPART_ARC
(15,14),-0.00772596 # DEPENDENCYPART_ARC
(15,16),-0.686639 # DEPENDENCYPART_ARC
(15,18),-0.812531 # DEPENDENCYPART_ARC
(16,6),-2.05164 # DEPENDENCYPART_ARC
(16,10),-2.49284 # DEPENDENCYPART_ARC
(16,12),-1.50589 # DEPENDENCYPART_ARC
(16,14),-1.35971 # DEPENDENCYPART_ARC
(16,15),-0.491908 # DEPENDENCYPART_ARC
(16,17),-0.627569 # DEPENDENCYPART_ARC
(16,18),-2.29582 # DEPENDENCYPART_ARC
(16,19),-2.01132 # DEPENDENCYPART_ARC
(16,20),-2.52042 # DEPENDENCYPART_ARC
(16,21),-0.802021 # DEPENDENCYPART_ARC
(17,14),-1.76681 # DEPENDENCYPART_ARC
(17,18),-0.388687 # DEPENDENCYPART_ARC
(18,1),-1.06889 # DEPENDENCYPART_ARC
(18,2),-0.695579 # DEPENDENCYPART_ARC
(18,4),0.0189994 # DEPENDENCYPART_ARC
(18,6),-1.01776 # DEPENDENCYPART_ARC
(18,7),-0.894725 # DEPENDENCYPART_ARC
(18,8),-1.3714 # DEPENDENCYPART_ARC
(18,9),-0.65243 # DEPENDENCYPART_ARC
(18,10),-0.734749 # DEPENDENCYPART_ARC
(18,11),-0.591338 # DEPENDENCYPART_ARC
(18,12),-0.187714 # DEPENDENCYPART_ARC
(18,13),-0.0700557 # DEPENDENCYPART_ARC
(18,14),-0.0433094 # DEPENDENCYPART_ARC
(18,15),-1.0362 # DEPENDENCYPART_ARC
(18,16),1.84596 # DEPENDENCYPART_ARC
(18,17),-0.0351204 # DEPENDENCYPART_ARC
(18,19),1.039 # DEPENDENCYPART_ARC
(18,20),0.775694 # DEPENDENCYPART_ARC
(19,16),-1.32397 # DEPENDENCYPART_ARC
(20,7),-0.841195 # DEPENDENCYPART_ARC
(20,12),-1.50091 # DEPENDENCYPART_ARC
(20,16),-0.394414 # DEPENDENCYPART_ARC
(20,18),-1.51208 # DEPENDENCYPART_ARC
(20,19),-0.570321 # DEPENDENCYPART_ARC
(20,21),1.86447 # DEPENDENCYPART_ARC
