# _root_ guztira , 214 pertsona izanen dira , 14 lanpostutarako .
#goldHeads=5,3,4,5,0,5,6,9,5,9,
#predictedHeads=5,3,4,5,0,5,6,9,5,9,
(0,1),-0.288317 # DEPENDENCYPART_ARC
(0,2),-1.45753 # DEPENDENCYPART_ARC
(0,3),-1.40834 # DEPENDENCYPART_ARC
(0,4),-0.209485 # DEPENDENCYPART_ARC
(0,5),0.118834 # DEPENDENCYPART_ARC
(0,6),-0.937892 # DEPENDENCYPART_ARC
(0,7),-0.964302 # DEPENDENCYPART_ARC
(0,8),-1.54762 # DEPENDENCYPART_ARC
(0,9),-0.882979 # DEPENDENCYPART_ARC
(0,10),-1.76869 # DEPENDENCYPART_ARC
(1,2),-0.603106 # DEPENDENCYPART_ARC
(1,4),-1.49771 # DEPENDENCYPART_ARC
(1,7),-1.35863 # DEPENDENCYPART_ARC
(1,9),-1.67731 # DEPENDENCYPART_ARC
(2,3),-0.789889 # DEPENDENCYPART_ARC
(2,4),-1.05578 # DEPENDENCYPART_ARC
(2,5),-0.89184 # DEPENDENCYPART_ARC
(2,9),-1.06768 # DEPENDENCYPART_ARC
(3,1),-0.747584 # DEPENDENCYPART_ARC
(3,2),-0.117857 # DEPENDENCYPART_ARC
(3,4),0.238297 # DEPENDENCYPART_ARC
(4,1),-0.740966 # DEPENDENCYPART_ARC
(4,2),-0.773535 # DEPENDENCYPART_ARC
(4,3),1.99596 # DEPENDENCYPART_ARC
(4,5),-0.295856 # DEPENDENCYPART_ARC
(4,6),-0.611803 # DEPENDENCYPART_ARC
(4,7),-0.687986 # DEPENDENCYPART_ARC
(4,8),-2.28637 # DEPENDENCYPART_ARC
(4,9),-0.618661 # DEPENDENCYPART_ARC
(4,10),-0.429288 # DEPENDENCYPART_ARC
(5,1),0.199222 # DEPENDENCYPART_ARC
(5,2),-1.09857 # DEPENDENCYPART_ARC
(5,3),-0.0169268 # DEPENDENCYPART_ARC
(5,4),1.81417 # DEPENDENCYPART_ARC
(5,6),1.63812 # DEPENDENCYPART_ARC
(5,7),-0.185292 # DEPENDENCYPART_ARC
(5,8),-0.781976 # DEPENDENCYPART_ARC
(5,9),1.00696 # DEPENDENCYPART_ARC
(6,4),-0.0692243 # DEPENDENCYPART_ARC
(6,5),-0.42512 # DEPENDENCYPART_ARC
(6,7),1.24885 # DEPENDENCYPART_ARC
(6,9),-1.00176 # DEPENDENCYPART_ARC
(7,5),-0.177915 # DEPENDENCYPART_ARC
(7,6),-0.101075 # DEPENDENCYPART_ARC
(7,8),-0.479849 # DEPENDENCYPART_ARC
(7,9),-0.670232 # DEPENDENCYPART_ARC
(8,1),-1.34303 # DEPENDENCYPART_ARC
(8,4),-1.7927 # DEPENDENCYPART_ARC
(8,7),-0.51734 # DEPENDENCYPART_ARC
(8,9),-0.200269 # DEPENDENCYPART_ARC
(9,1),-1.36457 # DEPENDENCYPART_ARC
(9,2),-1.81004 # DEPENDENCYPART_ARC
(9,3),-0.230519 # DEPENDENCYPART_ARC
(9,4),-2.66509 # DEPENDENCYPART_ARC
(9,5),-0.849013 # DEPENDENCYPART_ARC
(9,7),-1.13003 # DEPENDENCYPART_ARC
(9,8),1.71848 # DEPENDENCYPART_ARC
(9,10),1.47423 # DEPENDENCYPART_ARC
(10,9),-0.681336 # DEPENDENCYPART_ARC
