# _root_ " askatasunak eta demokraziak ez dezakete gal , haietan baita zuzenbidea , justizia eta garapena .
#goldHeads=0,3,0,3,7,7,0,7,10,7,14,11,14,10,14,15,
#predictedHeads=0,3,7,3,7,7,0,7,10,7,10,11,14,10,14,15,
(0,1),0.805007 # DEPENDENCYPART_ARC
(0,2),-1.04845 # DEPENDENCYPART_ARC
(0,3),-1.22525 # DEPENDENCYPART_ARC
(0,4),-1.2344 # DEPENDENCYPART_ARC
(0,5),-1.51062 # DEPENDENCYPART_ARC
(0,6),-1.48784 # DEPENDENCYPART_ARC
(0,7),-0.653648 # DEPENDENCYPART_ARC
(0,8),-0.954158 # DEPENDENCYPART_ARC
(0,9),-2.0317 # DEPENDENCYPART_ARC
(0,10),-1.25092 # DEPENDENCYPART_ARC
(0,11),-1.12227 # DEPENDENCYPART_ARC
(0,12),-0.930949 # DEPENDENCYPART_ARC
(0,13),-1.03526 # DEPENDENCYPART_ARC
(0,14),-1.59463 # DEPENDENCYPART_ARC
(0,15),-1.63407 # DEPENDENCYPART_ARC
(0,16),-2.13886 # DEPENDENCYPART_ARC
(1,2),-2.1507 # DEPENDENCYPART_ARC
(1,4),-2.44032 # DEPENDENCYPART_ARC
(1,5),-2.27591 # DEPENDENCYPART_ARC
(2,1),-0.44273 # DEPENDENCYPART_ARC
(2,3),-0.848019 # DEPENDENCYPART_ARC
(2,4),-1.82584 # DEPENDENCYPART_ARC
(2,5),-2.4426 # DEPENDENCYPART_ARC
(2,6),-2.80479 # DEPENDENCYPART_ARC
(3,2),2.20026 # DEPENDENCYPART_ARC
(3,4),2.6284 # DEPENDENCYPART_ARC
(3,5),-0.367191 # DEPENDENCYPART_ARC
(3,6),-0.589789 # DEPENDENCYPART_ARC
(3,7),-0.391816 # DEPENDENCYPART_ARC
(3,8),-0.582331 # DEPENDENCYPART_ARC
(3,10),-0.382661 # DEPENDENCYPART_ARC
(3,11),-0.591368 # DEPENDENCYPART_ARC
(3,13),-1.08989 # DEPENDENCYPART_ARC
(3,14),-0.886831 # DEPENDENCYPART_ARC
(3,15),-0.316928 # DEPENDENCYPART_ARC
(4,2),-3.23443 # DEPENDENCYPART_ARC
(4,3),-0.228384 # DEPENDENCYPART_ARC
(4,5),-1.43918 # DEPENDENCYPART_ARC
(4,6),-2.11063 # DEPENDENCYPART_ARC
(4,7),-1.85167 # DEPENDENCYPART_ARC
(4,14),-2.03888 # DEPENDENCYPART_ARC
(4,16),-1.34601 # DEPENDENCYPART_ARC
(5,2),-1.65479 # DEPENDENCYPART_ARC
(5,4),-0.821758 # DEPENDENCYPART_ARC
(5,11),-1.47366 # DEPENDENCYPART_ARC
(6,2),-0.795164 # DEPENDENCYPART_ARC
(6,3),-0.8895 # DEPENDENCYPART_ARC
(6,4),-0.489539 # DEPENDENCYPART_ARC
(6,5),-0.0528983 # DEPENDENCYPART_ARC
(6,7),-0.825946 # DEPENDENCYPART_ARC
(6,10),-0.329722 # DEPENDENCYPART_ARC
(6,14),-1.45608 # DEPENDENCYPART_ARC
(7,2),0.852256 # DEPENDENCYPART_ARC
(7,3),0.237484 # DEPENDENCYPART_ARC
(7,4),1.6044 # DEPENDENCYPART_ARC
(7,5),1.37977 # DEPENDENCYPART_ARC
(7,6),1.28294 # DEPENDENCYPART_ARC
(7,8),1.35802 # DEPENDENCYPART_ARC
(7,9),-0.410083 # DEPENDENCYPART_ARC
(7,10),-0.047129 # DEPENDENCYPART_ARC
(7,11),0.0102562 # DEPENDENCYPART_ARC
(7,12),-0.418765 # DEPENDENCYPART_ARC
(7,13),-1.00547 # DEPENDENCYPART_ARC
(7,14),-0.395748 # DEPENDENCYPART_ARC
(7,15),-0.908903 # DEPENDENCYPART_ARC
(8,3),-0.757742 # DEPENDENCYPART_ARC
(8,6),-0.849589 # DEPENDENCYPART_ARC
(8,7),0.110729 # DEPENDENCYPART_ARC
(8,10),-0.321163 # DEPENDENCYPART_ARC
(8,11),-0.493129 # DEPENDENCYPART_ARC
(8,13),-0.675322 # DEPENDENCYPART_ARC
(8,14),-0.803529 # DEPENDENCYPART_ARC
(8,15),-0.692944 # DEPENDENCYPART_ARC
(9,7),-0.218921 # DEPENDENCYPART_ARC
(9,8),0.0862643 # DEPENDENCYPART_ARC
(9,10),0.370012 # DEPENDENCYPART_ARC
(9,11),-1.11434 # DEPENDENCYPART_ARC
(9,13),-1.18576 # DEPENDENCYPART_ARC
(9,15),-1.39975 # DEPENDENCYPART_ARC
(10,2),-0.928574 # DEPENDENCYPART_ARC
(10,3),-0.81076 # DEPENDENCYPART_ARC
(10,4),-0.475429 # DEPENDENCYPART_ARC
(10,5),-0.624753 # DEPENDENCYPART_ARC
(10,6),-0.583756 # DEPENDENCYPART_ARC
(10,7),-1.02077 # DEPENDENCYPART_ARC
(10,8),-0.748596 # DEPENDENCYPART_ARC
(10,9),0.733858 # DEPENDENCYPART_ARC
(10,11),1.79856 # DEPENDENCYPART_ARC
(10,12),0.11316 # DEPENDENCYPART_ARC
(10,13),0.246841 # DEPENDENCYPART_ARC
(10,14),0.4945 # DEPENDENCYPART_ARC
(10,15),-0.503179 # DEPENDENCYPART_ARC
(11,2),-3.94169 # DEPENDENCYPART_ARC
(11,3),-0.827484 # DEPENDENCYPART_ARC
(11,4),-3.44252 # DEPENDENCYPART_ARC
(11,7),-1.54291 # DEPENDENCYPART_ARC
(11,8),-1.35816 # DEPENDENCYPART_ARC
