# _root_ gainontzekoak , batel , trainerilla eta traineru txapelketetan arituko dira .
#goldHeads=9,3,6,3,6,8,6,9,0,9,10,
#predictedHeads=2,3,6,3,6,8,6,9,0,9,10,
(0,1),-1.15744 # DEPENDENCYPART_ARC
(0,2),-0.98826 # DEPENDENCYPART_ARC
(0,3),-1.10125 # DEPENDENCYPART_ARC
(0,4),-0.955572 # DEPENDENCYPART_ARC
(0,5),-1.15783 # DEPENDENCYPART_ARC
(0,6),-0.843047 # DEPENDENCYPART_ARC
(0,7),-1.18588 # DEPENDENCYPART_ARC
(0,8),-1.68895 # DEPENDENCYPART_ARC
(0,9),0.171949 # DEPENDENCYPART_ARC
(0,10),-0.956804 # DEPENDENCYPART_ARC
(0,11),-1.55882 # DEPENDENCYPART_ARC
(1,2),0.30716 # DEPENDENCYPART_ARC
(1,3),-2.28428 # DEPENDENCYPART_ARC
(1,4),-0.899993 # DEPENDENCYPART_ARC
(1,5),-1.86427 # DEPENDENCYPART_ARC
(1,6),-1.54476 # DEPENDENCYPART_ARC
(1,8),-3.82865 # DEPENDENCYPART_ARC
(1,9),-2.51353 # DEPENDENCYPART_ARC
(2,1),-0.114304 # DEPENDENCYPART_ARC
(2,3),-0.634434 # DEPENDENCYPART_ARC
(2,5),-1.00003 # DEPENDENCYPART_ARC
(2,6),-1.11656 # DEPENDENCYPART_ARC
(2,7),-0.930262 # DEPENDENCYPART_ARC
(2,8),-1.11892 # DEPENDENCYPART_ARC
(2,9),-1.54228 # DEPENDENCYPART_ARC
(3,1),-0.784759 # DEPENDENCYPART_ARC
(3,2),-0.262989 # DEPENDENCYPART_ARC
(3,4),1.81055 # DEPENDENCYPART_ARC
(3,5),0.033524 # DEPENDENCYPART_ARC
(3,6),-0.189285 # DEPENDENCYPART_ARC
(3,7),-0.566495 # DEPENDENCYPART_ARC
(3,8),-0.0938429 # DEPENDENCYPART_ARC
(3,9),-0.333358 # DEPENDENCYPART_ARC
(3,10),-1.21162 # DEPENDENCYPART_ARC
(3,11),-0.304677 # DEPENDENCYPART_ARC
(4,3),-0.336052 # DEPENDENCYPART_ARC
(4,5),-0.50613 # DEPENDENCYPART_ARC
(4,7),-0.728269 # DEPENDENCYPART_ARC
(4,9),-1.03837 # DEPENDENCYPART_ARC
(5,1),-1.22828 # DEPENDENCYPART_ARC
(5,2),-1.55412 # DEPENDENCYPART_ARC
(5,3),-0.650508 # DEPENDENCYPART_ARC
(5,4),-0.166029 # DEPENDENCYPART_ARC
(5,6),0.134288 # DEPENDENCYPART_ARC
(5,7),-0.557385 # DEPENDENCYPART_ARC
(5,8),-0.809811 # DEPENDENCYPART_ARC
(5,10),-1.32677 # DEPENDENCYPART_ARC
(6,2),-1.69249 # DEPENDENCYPART_ARC
(6,3),1.27167 # DEPENDENCYPART_ARC
(6,4),-1.44127 # DEPENDENCYPART_ARC
(6,5),2.6156 # DEPENDENCYPART_ARC
(6,7),1.44945 # DEPENDENCYPART_ARC
(6,8),1.34033 # DEPENDENCYPART_ARC
(6,9),-0.469607 # DEPENDENCYPART_ARC
(6,10),-0.414493 # DEPENDENCYPART_ARC
(7,1),-2.52664 # DEPENDENCYPART_ARC
(7,2),-3.0152 # DEPENDENCYPART_ARC
(7,3),-2.36926 # DEPENDENCYPART_ARC
(7,4),-2.57426 # DEPENDENCYPART_ARC
(7,5),-1.21674 # DEPENDENCYPART_ARC
(7,6),-1.0238 # DEPENDENCYPART_ARC
(7,8),0.922355 # DEPENDENCYPART_ARC
(7,9),-0.845278 # DEPENDENCYPART_ARC
(7,10),-1.12499 # DEPENDENCYPART_ARC
(7,11),-0.822457 # DEPENDENCYPART_ARC
(8,1),-2.45179 # DEPENDENCYPART_ARC
(8,2),-1.60222 # DEPENDENCYPART_ARC
(8,3),-0.827301 # DEPENDENCYPART_ARC
(8,4),-1.43139 # DEPENDENCYPART_ARC
(8,5),-0.32565 # DEPENDENCYPART_ARC
(8,6),0.945275 # DEPENDENCYPART_ARC
(8,7),1.34427 # DEPENDENCYPART_ARC
(8,9),-1.3546 # DEPENDENCYPART_ARC
(8,10),-2.12263 # DEPENDENCYPART_ARC
(8,11),-1.15113 # DEPENDENCYPART_ARC
(9,1),-0.708229 # DEPENDENCYPART_ARC
(9,2),-1.84763 # DEPENDENCYPART_ARC
(9,3),-0.794188 # DEPENDENCYPART_ARC
(9,4),-1.74991 # DEPENDENCYPART_ARC
(9,5),-0.446874 # DEPENDENCYPART_ARC
(9,6),0.479476 # DEPENDENCYPART_ARC
(9,7),0.6621 # DEPENDENCYPART_ARC
(9,8),1.90641 # DEPENDENCYPART_ARC
(9,10),1.30697 # DEPENDENCYPART_ARC
(9,11),-0.22694 # DEPENDENCYPART_ARC
(10,3),-0.420182 # DEPENDENCYPART_ARC
(10,5),-0.706593 # DEPENDENCYPART_ARC
(10,6),-0.927112 # DEPENDENCYPART_ARC
(10,7),-0.314406 # DEPENDENCYPART_ARC
(10,8),-0.61524 # DEPENDENCYPART_ARC
(10,9),-0.633384 # DEPENDENCYPART_ARC
(10,11),1.52771 # DEPENDENCYPART_ARC
(11,6),-0.970957 # DEPENDENCYPART_ARC
(11,7),-0.747592 # DEPENDENCYPART_ARC
(11,8),-0.403888 # DEPENDENCYPART_ARC
(11,9),-0.922735 # DEPENDENCYPART_ARC
