# _root_ errealitatea , fotografikoki , jadanik agortu eta erreportajea ` hil delako ` sentimenduak flotatzen du " .
#goldHeads=6,3,6,3,6,7,14,10,8,7,10,11,14,0,14,15,16,
#predictedHeads=6,3,6,3,6,7,10,10,8,0,10,11,14,7,14,15,16,
(0,1),-0.358934 # DEPENDENCYPART_ARC
(0,2),-1.37361 # DEPENDENCYPART_ARC
(0,3),-1.00148 # DEPENDENCYPART_ARC
(0,4),-1.53529 # DEPENDENCYPART_ARC
(0,5),-1.09394 # DEPENDENCYPART_ARC
(0,6),-0.828526 # DEPENDENCYPART_ARC
(0,7),-0.371848 # DEPENDENCYPART_ARC
(0,8),-1.38252 # DEPENDENCYPART_ARC
(0,9),-0.881717 # DEPENDENCYPART_ARC
(0,10),0.0764097 # DEPENDENCYPART_ARC
(0,11),-0.755847 # DEPENDENCYPART_ARC
(0,12),-0.660932 # DEPENDENCYPART_ARC
(0,13),-1.3503 # DEPENDENCYPART_ARC
(0,14),-0.605945 # DEPENDENCYPART_ARC
(0,15),-0.103561 # DEPENDENCYPART_ARC
(0,16),-2.49822 # DEPENDENCYPART_ARC
(0,17),-2.02033 # DEPENDENCYPART_ARC
(1,2),-0.490313 # DEPENDENCYPART_ARC
(1,3),-1.69478 # DEPENDENCYPART_ARC
(1,4),-1.31825 # DEPENDENCYPART_ARC
(1,5),-1.55105 # DEPENDENCYPART_ARC
(1,6),-1.05495 # DEPENDENCYPART_ARC
(1,10),-1.5995 # DEPENDENCYPART_ARC
(2,1),-0.914275 # DEPENDENCYPART_ARC
(2,6),-0.986221 # DEPENDENCYPART_ARC
(2,7),-0.751968 # DEPENDENCYPART_ARC
(2,10),-1.10168 # DEPENDENCYPART_ARC
(2,14),-1.01053 # DEPENDENCYPART_ARC
(3,1),-0.760396 # DEPENDENCYPART_ARC
(3,2),0.0430399 # DEPENDENCYPART_ARC
(3,4),1.2561 # DEPENDENCYPART_ARC
(3,5),-0.677866 # DEPENDENCYPART_ARC
(3,7),-0.894405 # DEPENDENCYPART_ARC
(3,8),-1.02701 # DEPENDENCYPART_ARC
(4,6),-1.14676 # DEPENDENCYPART_ARC
(4,8),-1.37801 # DEPENDENCYPART_ARC
(4,10),-1.21244 # DEPENDENCYPART_ARC
(4,14),-1.27188 # DEPENDENCYPART_ARC
(5,1),-1.179 # DEPENDENCYPART_ARC
(5,3),-0.678834 # DEPENDENCYPART_ARC
(5,4),-0.041838 # DEPENDENCYPART_ARC
(5,6),-0.388873 # DEPENDENCYPART_ARC
(5,7),-0.862223 # DEPENDENCYPART_ARC
(5,8),-1.0038 # DEPENDENCYPART_ARC
(5,13),-1.09618 # DEPENDENCYPART_ARC
(6,1),-0.145043 # DEPENDENCYPART_ARC
(6,2),-1.36166 # DEPENDENCYPART_ARC
(6,3),-0.270964 # DEPENDENCYPART_ARC
(6,4),-1.189 # DEPENDENCYPART_ARC
(6,5),1.12664 # DEPENDENCYPART_ARC
(6,7),-0.0532189 # DEPENDENCYPART_ARC
(6,8),0.0372093 # DEPENDENCYPART_ARC
(6,10),-0.643169 # DEPENDENCYPART_ARC
(6,11),-0.17705 # DEPENDENCYPART_ARC
(6,13),-1.74844 # DEPENDENCYPART_ARC
(6,14),-1.50046 # DEPENDENCYPART_ARC
(6,15),-1.11918 # DEPENDENCYPART_ARC
(7,1),-0.477326 # DEPENDENCYPART_ARC
(7,2),-1.61908 # DEPENDENCYPART_ARC
(7,3),-0.708464 # DEPENDENCYPART_ARC
(7,4),-1.21177 # DEPENDENCYPART_ARC
(7,5),-0.329796 # DEPENDENCYPART_ARC
(7,6),2.02012 # DEPENDENCYPART_ARC
(7,8),0.509217 # DEPENDENCYPART_ARC
(7,10),0.842261 # DEPENDENCYPART_ARC
(7,11),-0.151612 # DEPENDENCYPART_ARC
(7,13),-0.845043 # DEPENDENCYPART_ARC
(7,14),-0.349593 # DEPENDENCYPART_ARC
(8,2),-2.52334 # DEPENDENCYPART_ARC
(8,3),-2.63755 # DEPENDENCYPART_ARC
(8,4),-2.37463 # DEPENDENCYPART_ARC
(8,5),-1.92241 # DEPENDENCYPART_ARC
(8,6),-0.689847 # DEPENDENCYPART_ARC
(8,7),-1.02185 # DEPENDENCYPART_ARC
(8,9),1.4163 # DEPENDENCYPART_ARC
(8,10),-0.947161 # DEPENDENCYPART_ARC
(8,11),-1.874 # DEPENDENCYPART_ARC
(8,13),-0.998154 # DEPENDENCYPART_ARC
(8,14),-1.2743 # DEPENDENCYPART_ARC
(8,15),-1.81472 # DEPENDENCYPART_ARC
(8,17),-0.79994 # DEPENDENCYPART_ARC
(10,1),-0.405562 # DEPENDENCYPART_ARC
(10,2),-0.794106 # DEPENDENCYPART_ARC
(10,3),-0.718422 # DEPENDENCYPART_ARC
(10,4),-0.881772 # DEPENDENCYPART_ARC
(10,5),-0.210213 # DEPENDENCYPART_ARC
(10,6),0.223042 # DEPENDENCYPART_ARC
(10,7),0.82705 # DEPENDENCYPART_ARC
(10,8),1.04943 # DEPENDENCYPART_ARC
(10,11),1.38646 # DEPENDENCYPART_ARC
(10,13),-0.00662106 # DEPENDENCYPART_ARC
(10,14),-0.394908 # DEPENDENCYPART_ARC
(10,15),-1.04933 # DEPENDENCYPART_ARC
(11,1),-1.3869 # DEPENDENCYPART_ARC
(11,6),-1.49722 # DEPENDENCYPART_ARC
(11,7),-1.06754 # DEPENDENCYPART_ARC
(11,8),-0.646606 # DEPENDENCYPART_ARC
(11,12),1.59972 # DEPENDENCYPART_ARC
(11,13),-0.57673 # DEPENDENCYPART_ARC
(11,14),-1.2598 # DEPENDENCYPART_ARC
(11,15),-0.919448 # DEPENDENCYPART_ARC
(13,3),-1.16513 # DEPENDENCYPART_ARC
(13,5),-0.666014 # DEPENDENCYPART_ARC
(13,7),-0.179813 # DEPENDENCYPART_ARC
(13,8),-2.0829 # DEPENDENCYPART_ARC
(13,9),-0.779242 # DEPENDENCYPART_ARC
(13,10),0.234802 # DEPENDENCYPART_ARC
(13,11),-0.57577 # DEPENDENCYPART_ARC
(13,12),0.221268 # DEPENDENCYPART_ARC
(13,14),-0.728853 # DEPENDENCYPART_ARC
(13,15),-1.86964 # DEPENDENCYPART_ARC
(13,17),-1.34594 # DEPENDENCYPART_ARC
(14,1),-1.26901 # DEPENDENCYPART_ARC
(14,2),-1.17323 # DEPENDENCYPART_ARC
(14,3),-1.32276 # DEPENDENCYPART_ARC
(14,4),-1.2583 # DEPENDENCYPART_ARC
(14,5),-1.04322 # DEPENDENCYPART_ARC
(14,6),-0.955314 # DEPENDENCYPART_ARC
(14,7),-0.556188 # DEPENDENCYPART_ARC
(14,8),-0.923026 # DEPENDENCYPART_ARC
(14,10),-0.208732 # DEPENDENCYPART_ARC
(14,11),-1.00998 # DEPENDENCYPART_ARC
(14,13),2.80219 # DEPENDENCYPART_ARC
(14,15),1.7763 # DEPENDENCYPART_ARC
(15,1),-1.33075 # DEPENDENCYPART_ARC
(15,10),-2.3227 # DEPENDENCYPART_ARC
(15,13),-0.733306 # DEPENDENCYPART_ARC
(15,14),-1.45063 # DEPENDENCYPART_ARC
(15,16),1.37921 # DEPENDENCYPART_ARC
(16,13),-1.10764 # DEPENDENCYPART_ARC
(16,17),1.61315 # DEPENDENCYPART_ARC
