# _root_ dena_den , dei_egin nionan timori , berarekin jolas_egin nahi_ninan .
#goldHeads=0,1,0,3,3,5,8,9,3,9,
#predictedHeads=0,1,0,3,3,5,8,9,3,9,
(0,1),1.34753 # DEPENDENCYPART_ARC
(0,2),-1.34658 # DEPENDENCYPART_ARC
(0,3),0.874816 # DEPENDENCYPART_ARC
(0,4),-0.868173 # DEPENDENCYPART_ARC
(0,5),-1.55536 # DEPENDENCYPART_ARC
(0,6),-0.78524 # DEPENDENCYPART_ARC
(0,8),-0.913143 # DEPENDENCYPART_ARC
(0,9),-0.389317 # DEPENDENCYPART_ARC
(0,10),-1.5684 # DEPENDENCYPART_ARC
(1,2),0.368533 # DEPENDENCYPART_ARC
(1,3),-1.58975 # DEPENDENCYPART_ARC
(1,8),-2.37779 # DEPENDENCYPART_ARC
(1,9),-3.00674 # DEPENDENCYPART_ARC
(2,3),-1.08312 # DEPENDENCYPART_ARC
(2,8),-1.7259 # DEPENDENCYPART_ARC
(2,9),-1.66272 # DEPENDENCYPART_ARC
(3,1),-0.0695377 # DEPENDENCYPART_ARC
(3,2),-0.0996093 # DEPENDENCYPART_ARC
(3,4),2.96046 # DEPENDENCYPART_ARC
(3,5),2.21078 # DEPENDENCYPART_ARC
(3,8),0.355529 # DEPENDENCYPART_ARC
(3,9),-0.0962586 # DEPENDENCYPART_ARC
(4,5),-1.85439 # DEPENDENCYPART_ARC
(4,8),-1.89784 # DEPENDENCYPART_ARC
(5,6),1.02031 # DEPENDENCYPART_ARC
(5,8),-1.49204 # DEPENDENCYPART_ARC
(5,9),-1.64966 # DEPENDENCYPART_ARC
(6,3),-0.106688 # DEPENDENCYPART_ARC
(6,4),-0.841624 # DEPENDENCYPART_ARC
(6,5),-0.0377687 # DEPENDENCYPART_ARC
(6,8),-0.585936 # DEPENDENCYPART_ARC
(6,9),-0.394001 # DEPENDENCYPART_ARC
(7,6),-0.329873 # DEPENDENCYPART_ARC
(8,1),-1.14477 # DEPENDENCYPART_ARC
(8,3),-0.754731 # DEPENDENCYPART_ARC
(8,4),-1.13399 # DEPENDENCYPART_ARC
(8,5),-0.443621 # DEPENDENCYPART_ARC
(8,7),0.775273 # DEPENDENCYPART_ARC
(8,9),-0.0309782 # DEPENDENCYPART_ARC
(9,1),-0.645562 # DEPENDENCYPART_ARC
(9,3),-0.50026 # DEPENDENCYPART_ARC
(9,4),-1.7657 # DEPENDENCYPART_ARC
(9,5),-0.0957882 # DEPENDENCYPART_ARC
(9,8),2.37377 # DEPENDENCYPART_ARC
(9,10),1.87459 # DEPENDENCYPART_ARC
