# _root_ - bai , grabatu egin dut . baina , nor zara zu ? .
#goldHeads=0,4,2,0,4,4,6,0,8,11,0,11,12,13,
#predictedHeads=0,4,2,0,4,4,6,0,8,11,8,11,12,13,
(0,1),1.01432 # DEPENDENCYPART_ARC
(0,2),-0.635664 # DEPENDENCYPART_ARC
(0,3),-0.596104 # DEPENDENCYPART_ARC
(0,4),0.509451 # DEPENDENCYPART_ARC
(0,5),0.172216 # DEPENDENCYPART_ARC
(0,6),-0.401073 # DEPENDENCYPART_ARC
(0,7),-0.524142 # DEPENDENCYPART_ARC
(0,8),1.09305 # DEPENDENCYPART_ARC
(0,9),-0.667784 # DEPENDENCYPART_ARC
(0,11),0.111587 # DEPENDENCYPART_ARC
(0,12),0.472492 # DEPENDENCYPART_ARC
(0,13),-0.744423 # DEPENDENCYPART_ARC
(0,14),-0.479382 # DEPENDENCYPART_ARC
(1,2),-1.63939 # DEPENDENCYPART_ARC
(1,3),-1.00298 # DEPENDENCYPART_ARC
(1,4),-1.8436 # DEPENDENCYPART_ARC
(1,5),-1.93929 # DEPENDENCYPART_ARC
(2,3),1.20856 # DEPENDENCYPART_ARC
(2,4),-0.539976 # DEPENDENCYPART_ARC
(2,5),-0.656766 # DEPENDENCYPART_ARC
(3,4),-0.38265 # DEPENDENCYPART_ARC
(3,5),-1.14648 # DEPENDENCYPART_ARC
(3,8),-0.221635 # DEPENDENCYPART_ARC
(4,2),0.521467 # DEPENDENCYPART_ARC
(4,3),-0.19782 # DEPENDENCYPART_ARC
(4,5),2.37995 # DEPENDENCYPART_ARC
(4,6),1.7134 # DEPENDENCYPART_ARC
(4,8),0.158133 # DEPENDENCYPART_ARC
(4,9),-0.298975 # DEPENDENCYPART_ARC
(4,11),-0.407042 # DEPENDENCYPART_ARC
(4,12),-0.572689 # DEPENDENCYPART_ARC
(5,2),-0.382391 # DEPENDENCYPART_ARC
(5,3),-0.972825 # DEPENDENCYPART_ARC
(5,4),0.29426 # DEPENDENCYPART_ARC
(5,6),0.681668 # DEPENDENCYPART_ARC
(5,7),-0.502979 # DEPENDENCYPART_ARC
(5,8),-0.629736 # DEPENDENCYPART_ARC
(5,9),-1.35148 # DEPENDENCYPART_ARC
(5,11),-1.42862 # DEPENDENCYPART_ARC
(5,12),-1.15936 # DEPENDENCYPART_ARC
(6,2),-1.08557 # DEPENDENCYPART_ARC
(6,4),-1.26881 # DEPENDENCYPART_ARC
(6,5),-1.18925 # DEPENDENCYPART_ARC
(6,7),1.77689 # DEPENDENCYPART_ARC
(6,8),-0.375805 # DEPENDENCYPART_ARC
(6,11),-1.07304 # DEPENDENCYPART_ARC
(7,5),-0.810014 # DEPENDENCYPART_ARC
(8,2),-0.606123 # DEPENDENCYPART_ARC
(8,3),-0.879957 # DEPENDENCYPART_ARC
(8,4),0.356123 # DEPENDENCYPART_ARC
(8,5),0.915688 # DEPENDENCYPART_ARC
(8,6),-0.94017 # DEPENDENCYPART_ARC
(8,9),1.89199 # DEPENDENCYPART_ARC
(8,11),1.32353 # DEPENDENCYPART_ARC
(9,4),-1.47387 # DEPENDENCYPART_ARC
(9,5),-1.42627 # DEPENDENCYPART_ARC
(9,6),-1.29991 # DEPENDENCYPART_ARC
(9,8),-0.452791 # DEPENDENCYPART_ARC
(9,11),-0.768001 # DEPENDENCYPART_ARC
(11,2),-0.474608 # DEPENDENCYPART_ARC
(11,3),-1.13303 # DEPENDENCYPART_ARC
(11,4),-0.441453 # DEPENDENCYPART_ARC
(11,5),-0.309178 # DEPENDENCYPART_ARC
(11,8),-0.483937 # DEPENDENCYPART_ARC
(11,9),-0.47305 # DEPENDENCYPART_ARC
(11,10),1.85416 # DEPENDENCYPART_ARC
(11,12),1.21617 # DEPENDENCYPART_ARC
(12,13),1.23149 # DEPENDENCYPART_ARC
(13,3),-0.853137 # DEPENDENCYPART_ARC
(13,9),-0.851198 # DEPENDENCYPART_ARC
(13,14),1.75601 # DEPENDENCYPART_ARC
(14,8),-1.32592 # DEPENDENCYPART_ARC
