# _root_ esteban olaizola , gipuzkoako_arrantzaleen_kofradietako presidenteak adierazi zuenez , egoera " jasanezina da eta enpresa asko desagertzea ekarriko du " .
#goldHeads=5,1,2,5,6,13,6,7,12,9,12,13,0,16,14,17,13,17,18,19,
#predictedHeads=6,1,2,5,6,0,6,7,12,9,12,13,6,16,14,17,13,17,18,19,
(0,1),-0.526042 # DEPENDENCYPART_ARC
(0,2),-0.870725 # DEPENDENCYPART_ARC
(0,3),-0.966523 # DEPENDENCYPART_ARC
(0,4),-0.981567 # DEPENDENCYPART_ARC
(0,6),0.131191 # DEPENDENCYPART_ARC
(0,7),-0.971997 # DEPENDENCYPART_ARC
(0,8),-1.09423 # DEPENDENCYPART_ARC
(0,10),-2.23781 # DEPENDENCYPART_ARC
(0,11),-1.36233 # DEPENDENCYPART_ARC
(0,12),-0.212174 # DEPENDENCYPART_ARC
(0,13),-0.871821 # DEPENDENCYPART_ARC
(0,14),-0.861498 # DEPENDENCYPART_ARC
(0,15),-1.58585 # DEPENDENCYPART_ARC
(0,16),-1.47433 # DEPENDENCYPART_ARC
(0,17),-0.565337 # DEPENDENCYPART_ARC
(0,18),-1.07093 # DEPENDENCYPART_ARC
(0,19),-3.02994 # DEPENDENCYPART_ARC
(0,20),-2.28241 # DEPENDENCYPART_ARC
(1,2),2.35908 # DEPENDENCYPART_ARC
(1,3),-0.90084 # DEPENDENCYPART_ARC
(2,1),0.643728 # DEPENDENCYPART_ARC
(2,3),1.55693 # DEPENDENCYPART_ARC
(2,4),-0.362041 # DEPENDENCYPART_ARC
(2,5),-0.818093 # DEPENDENCYPART_ARC
(3,1),-0.904608 # DEPENDENCYPART_ARC
(3,15),-0.870159 # DEPENDENCYPART_ARC
(4,2),-2.51979 # DEPENDENCYPART_ARC
(4,3),-0.442693 # DEPENDENCYPART_ARC
(4,5),0.860564 # DEPENDENCYPART_ARC
(4,9),-1.36462 # DEPENDENCYPART_ARC
(5,1),-0.648389 # DEPENDENCYPART_ARC
(5,2),-1.50551 # DEPENDENCYPART_ARC
(5,3),-1.18729 # DEPENDENCYPART_ARC
(5,4),2.30894 # DEPENDENCYPART_ARC
(5,6),-1.5799 # DEPENDENCYPART_ARC
(5,7),-1.98015 # DEPENDENCYPART_ARC
(5,8),-1.09592 # DEPENDENCYPART_ARC
(5,9),-1.67498 # DEPENDENCYPART_ARC
(5,11),-3.21021 # DEPENDENCYPART_ARC
(5,13),-1.28473 # DEPENDENCYPART_ARC
(5,15),-3.34958 # DEPENDENCYPART_ARC
(6,1),-0.380432 # DEPENDENCYPART_ARC
(6,2),-0.446418 # DEPENDENCYPART_ARC
(6,3),-1.25334 # DEPENDENCYPART_ARC
(6,4),0.413307 # DEPENDENCYPART_ARC
(6,5),2.12265 # DEPENDENCYPART_ARC
(6,7),1.31194 # DEPENDENCYPART_ARC
(6,8),-1.111 # DEPENDENCYPART_ARC
(6,9),-0.784832 # DEPENDENCYPART_ARC
(6,12),-1.7489 # DEPENDENCYPART_ARC
(6,13),-0.804692 # DEPENDENCYPART_ARC
(6,14),-2.59522 # DEPENDENCYPART_ARC
(6,16),-1.41856 # DEPENDENCYPART_ARC
(6,17),-1.39594 # DEPENDENCYPART_ARC
(6,18),-1.84925 # DEPENDENCYPART_ARC
(7,1),-1.15653 # DEPENDENCYPART_ARC
(7,2),-1.63979 # DEPENDENCYPART_ARC
(7,4),-0.813399 # DEPENDENCYPART_ARC
(7,5),-0.576369 # DEPENDENCYPART_ARC
(7,8),1.34779 # DEPENDENCYPART_ARC
(7,9),-1.252 # DEPENDENCYPART_ARC
(7,12),-1.9444 # DEPENDENCYPART_ARC
(7,13),-1.03744 # DEPENDENCYPART_ARC
(7,17),-1.78419 # DEPENDENCYPART_ARC
(8,7),-0.10776 # DEPENDENCYPART_ARC
(8,9),-0.961445 # DEPENDENCYPART_ARC
(8,11),-1.28788 # DEPENDENCYPART_ARC
(8,12),-0.6814 # DEPENDENCYPART_ARC
(8,15),-1.41226 # DEPENDENCYPART_ARC
(8,17),-1.2877 # DEPENDENCYPART_ARC
(9,3),-1.35305 # DEPENDENCYPART_ARC
(9,4),-0.990921 # DEPENDENCYPART_ARC
(9,5),-2.08803 # DEPENDENCYPART_ARC
(9,7),-1.12619 # DEPENDENCYPART_ARC
(9,8),-0.0921775 # DEPENDENCYPART_ARC
(9,10),1.97022 # DEPENDENCYPART_ARC
(9,11),1.28826 # DEPENDENCYPART_ARC
(9,12),-0.887345 # DEPENDENCYPART_ARC
(9,13),-0.120105 # DEPENDENCYPART_ARC
(9,14),-0.629421 # DEPENDENCYPART_ARC
(9,15),0.482884 # DEPENDENCYPART_ARC
(9,16),-0.382798 # DEPENDENCYPART_ARC
(9,20),-0.34272 # DEPENDENCYPART_ARC
(10,11),-0.785501 # DEPENDENCYPART_ARC
(10,17),-1.46522 # DEPENDENCYPART_ARC
(11,5),-1.05644 # DEPENDENCYPART_ARC
(11,9),-0.269541 # DEPENDENCYPART_ARC
(11,10),0.253537 # DEPENDENCYPART_ARC
(11,12),-0.626365 # DEPENDENCYPART_ARC
(11,14),-1.26242 # DEPENDENCYPART_ARC
(11,16),-1.66322 # DEPENDENCYPART_ARC
(12,1),-1.08435 # DEPENDENCYPART_ARC
(12,2),-0.126655 # DEPENDENCYPART_ARC
(12,3),-1.42975 # DEPENDENCYPART_ARC
(12,4),-0.238411 # DEPENDENCYPART_ARC
(12,5),-0.0818865 # DEPENDENCYPART_ARC
(12,6),0.144483 # DEPENDENCYPART_ARC
(12,8),-0.975209 # DEPENDENCYPART_ARC
(12,9),0.670665 # DEPENDENCYPART_ARC
(12,11),1.39605 # DEPENDENCYPART_ARC
(12,13),-0.0862322 # DEPENDENCYPART_ARC
(12,14),-0.606813 # DEPENDENCYPART_ARC
(12,16),0.296534 # DEPENDENCYPART_ARC
(12,17),-0.743923 # DEPENDENCYPART_ARC
(12,18),-1.46374 # DEPENDENCYPART_ARC
(13,1),-0.952361 # DEPENDENCYPART_ARC
(13,2),-0.970321 # DEPENDENCYPART_ARC
(13,4),-0.92642 # DEPENDENCYPART_ARC
(13,5),-0.822092 # DEPENDENCYPART_ARC
(13,6),0.141559 # DEPENDENCYPART_ARC
(13,7),-1.37522 # DEPENDENCYPART_ARC
(13,8),-1.84087 # DEPENDENCYPART_ARC
(13,9),0.167884 # DEPENDENCYPART_ARC
(13,11),-0.440507 # DEPENDENCYPART_ARC
(13,12),1.73972 # DEPENDENCYPART_ARC
(13,14),0.44375 # DEPENDENCYPART_ARC
(13,15),-0.190507 # DEPENDENCYPART_ARC
(13,16),1.22145 # DEPENDENCYPART_ARC
(13,17),1.16619 # DEPENDENCYPART_ARC
(14,11),-2.61119 # DEPENDENCYPART_ARC
(14,12),-1.98947 # DEPENDENCYPART_ARC
(14,13),-0.737693 # DEPENDENCYPART_ARC
(14,15),2.13645 # DEPENDENCYPART_ARC
(14,16),-0.77342 # DEPENDENCYPART_ARC
(14,18),-1.3411 # DEPENDENCYPART_ARC
(14,20),-1.01174 # DEPENDENCYPART_ARC
(15,13),-0.04576 # DEPENDENCYPART_ARC
(15,14),-0.117552 # DEPENDENCYPART_ARC
(15,16),-0.284043 # DEPENDENCYPART_ARC
(15,17),-1.67001 # DEPENDENCYPART_ARC
(16,1),-1.79447 # DEPENDENCYPART_ARC
(16,2),-1.77589 # DEPENDENCYPART_ARC
(16,3),-1.43151 # DEPENDENCYPART_ARC
(16,4),-1.51713 # DEPENDENCYPART_ARC
(16,5),-1.36772 # DEPENDENCYPART_ARC
(16,6),-0.656988 # DEPENDENCYPART_ARC
(16,7),-1.94012 # DEPENDENCYPART_ARC
(16,8),-1.30875 # DEPENDENCYPART_ARC
(16,9),-0.518235 # DEPENDENCYPART_ARC
(16,11),-0.93752 # DEPENDENCYPART_ARC
(16,12),-1.19335 # DEPENDENCYPART_ARC
(16,13),0.187767 # DEPENDENCYPART_ARC
(16,14),1.65834 # DEPENDENCYPART_ARC
(16,15),1.07508 # DEPENDENCYPART_ARC
(16,17),0.215066 # DEPENDENCYPART_ARC
(16,18),-1.3165 # DEPENDENCYPART_ARC
(17,1),-1.15036 # DEPENDENCYPART_ARC
(17,2),-1.52807 # DEPENDENCYPART_ARC
(17,3),-1.227 # DEPENDENCYPART_ARC
(17,4),-1.24683 # DEPENDENCYPART_ARC
(17,5),-1.12196 # DEPENDENCYPART_ARC
(17,6),0.098382 # DEPENDENCYPART_ARC
(17,7),-1.15506 # DEPENDENCYPART_ARC
(17,8),-1.0072 # DEPENDENCYPART_ARC
(17,9),-0.653553 # DEPENDENCYPART_ARC
(17,11),-0.587705 # DEPENDENCYPART_ARC
(17,12),-0.981673 # DEPENDENCYPART_ARC
(17,13),0.378528 # DEPENDENCYPART_ARC
(17,14),0.656388 # DEPENDENCYPART_ARC
(17,15),-0.310013 # DEPENDENCYPART_ARC
