# _root_ orduan , gai ezberdinei_buruzko elkarrizketa atsegin bati ekingo dio , nahiz_eta gizartean oso gaizki ikusiko liratekeen gaietaz hitzerdika hitzegingo duten .
#goldHeads=0,3,5,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
#predictedHeads=8,3,8,3,8,5,5,15,8,9,15,15,14,15,0,15,19,19,15,19,20,
(0,1),-0.655041 # DEPENDENCYPART_ARC
(0,2),-1.85083 # DEPENDENCYPART_ARC
(0,3),-1.08896 # DEPENDENCYPART_ARC
(0,4),-2.6499 # DEPENDENCYPART_ARC
(0,5),-1.49972 # DEPENDENCYPART_ARC
(0,6),-1.24285 # DEPENDENCYPART_ARC
(0,7),-2.05211 # DEPENDENCYPART_ARC
(0,8),-0.391671 # DEPENDENCYPART_ARC
(0,9),-0.668331 # DEPENDENCYPART_ARC
(0,10),-1.21059 # DEPENDENCYPART_ARC
(0,11),0.0548765 # DEPENDENCYPART_ARC
(0,13),-1.13343 # DEPENDENCYPART_ARC
(0,14),-1.12417 # DEPENDENCYPART_ARC
(0,15),-0.147029 # DEPENDENCYPART_ARC
(0,16),-1.19136 # DEPENDENCYPART_ARC
(0,17),-2.7706 # DEPENDENCYPART_ARC
(0,18),-1.16934 # DEPENDENCYPART_ARC
(0,19),-0.987841 # DEPENDENCYPART_ARC
(0,20),-1.13433 # DEPENDENCYPART_ARC
(0,21),-3.30778 # DEPENDENCYPART_ARC
(1,2),-0.967977 # DEPENDENCYPART_ARC
(1,3),-1.5809 # DEPENDENCYPART_ARC
(1,13),-1.71912 # DEPENDENCYPART_ARC
(1,14),-1.82063 # DEPENDENCYPART_ARC
(2,3),-1.215 # DEPENDENCYPART_ARC
(2,19),-2.09193 # DEPENDENCYPART_ARC
(3,1),-0.732867 # DEPENDENCYPART_ARC
(3,2),-0.0245579 # DEPENDENCYPART_ARC
(3,4),1.88042 # DEPENDENCYPART_ARC
(3,5),-0.59547 # DEPENDENCYPART_ARC
(3,6),-0.152457 # DEPENDENCYPART_ARC
(3,7),1.03594 # DEPENDENCYPART_ARC
(3,8),-1.37281 # DEPENDENCYPART_ARC
(3,9),-1.47719 # DEPENDENCYPART_ARC
(3,19),-1.23051 # DEPENDENCYPART_ARC
(4,3),0.484751 # DEPENDENCYPART_ARC
(4,5),-0.995781 # DEPENDENCYPART_ARC
(5,1),-1.21919 # DEPENDENCYPART_ARC
(5,2),-1.37474 # DEPENDENCYPART_ARC
(5,3),0.484836 # DEPENDENCYPART_ARC
(5,4),0.293573 # DEPENDENCYPART_ARC
(5,6),1.62344 # DEPENDENCYPART_ARC
(5,7),1.95873 # DEPENDENCYPART_ARC
(5,8),-0.954964 # DEPENDENCYPART_ARC
(5,9),-1.20542 # DEPENDENCYPART_ARC
(5,12),-0.849295 # DEPENDENCYPART_ARC
(5,15),-0.813737 # DEPENDENCYPART_ARC
(5,17),-1.07005 # DEPENDENCYPART_ARC
(5,19),-0.957705 # DEPENDENCYPART_ARC
(6,1),-0.818933 # DEPENDENCYPART_ARC
(6,3),-0.741756 # DEPENDENCYPART_ARC
(6,5),0.175723 # DEPENDENCYPART_ARC
(6,7),0.0702855 # DEPENDENCYPART_ARC
(7,1),-0.845965 # DEPENDENCYPART_ARC
(7,3),-1.48847 # DEPENDENCYPART_ARC
(7,5),-1.01772 # DEPENDENCYPART_ARC
(8,1),0.655482 # DEPENDENCYPART_ARC
(8,2),-1.238 # DEPENDENCYPART_ARC
(8,3),1.07882 # DEPENDENCYPART_ARC
(8,4),-0.346345 # DEPENDENCYPART_ARC
(8,5),1.11845 # DEPENDENCYPART_ARC
(8,6),-0.0403544 # DEPENDENCYPART_ARC
(8,7),-0.233223 # DEPENDENCYPART_ARC
(8,9),2.2073 # DEPENDENCYPART_ARC
(8,10),-0.27712 # DEPENDENCYPART_ARC
(8,11),0.189178 # DEPENDENCYPART_ARC
(8,12),0.103393 # DEPENDENCYPART_ARC
(8,13),-0.614287 # DEPENDENCYPART_ARC
(8,14),-0.718129 # DEPENDENCYPART_ARC
(8,15),-0.655362 # DEPENDENCYPART_ARC
(8,16),-0.171153 # DEPENDENCYPART_ARC
(8,17),-0.376082 # DEPENDENCYPART_ARC
(8,18),-1.09046 # DEPENDENCYPART_ARC
(8,19),-0.866423 # DEPENDENCYPART_ARC
(8,20),-0.114058 # DEPENDENCYPART_ARC
(9,5),0.0140346 # DEPENDENCYPART_ARC
(9,7),-0.294608 # DEPENDENCYPART_ARC
(9,8),-1.47255 # DEPENDENCYPART_ARC
(9,10),1.53186 # DEPENDENCYPART_ARC
(9,12),-1.35713 # DEPENDENCYPART_ARC
(9,13),-0.931521 # DEPENDENCYPART_ARC
(9,14),-1.0947 # DEPENDENCYPART_ARC
(9,15),-2.09452 # DEPENDENCYPART_ARC
(9,16),-1.19728 # DEPENDENCYPART_ARC
(10,8),-0.261515 # DEPENDENCYPART_ARC
(10,9),-0.240931 # DEPENDENCYPART_ARC
(10,12),-1.57783 # DEPENDENCYPART_ARC
(10,15),-1.36038 # DEPENDENCYPART_ARC
(10,19),-1.84958 # DEPENDENCYPART_ARC
(11,8),-0.517139 # DEPENDENCYPART_ARC
(11,10),-1.01885 # DEPENDENCYPART_ARC
(11,12),-1.13101 # DEPENDENCYPART_ARC
(11,15),-0.196541 # DEPENDENCYPART_ARC
(11,19),-0.891468 # DEPENDENCYPART_ARC
(12,1),-1.45913 # DEPENDENCYPART_ARC
(12,5),-1.20942 # DEPENDENCYPART_ARC
(12,6),-1.53835 # DEPENDENCYPART_ARC
(12,7),-2.7497 # DEPENDENCYPART_ARC
(12,8),-1.07296 # DEPENDENCYPART_ARC
(12,10),-1.16723 # DEPENDENCYPART_ARC
(12,13),-0.280669 # DEPENDENCYPART_ARC
(12,14),-0.886367 # DEPENDENCYPART_ARC
(12,16),-2.88095 # DEPENDENCYPART_ARC
(12,18),-1.50532 # DEPENDENCYPART_ARC
(12,21),-1.46886 # DEPENDENCYPART_ARC
(13,11),-0.877067 # DEPENDENCYPART_ARC
(13,12),-0.347673 # DEPENDENCYPART_ARC
(13,14),-0.132929 # DEPENDENCYPART_ARC
(13,17),-1.11092 # DEPENDENCYPART_ARC
(13,18),-1.21284 # DEPENDENCYPART_ARC
(14,11),-0.243473 # DEPENDENCYPART_ARC
(14,12),-0.391195 # DEPENDENCYPART_ARC
(14,13),0.886921 # DEPENDENCYPART_ARC
(14,15),-0.742173 # DEPENDENCYPART_ARC
(14,17),-1.1516 # DEPENDENCYPART_ARC
(14,18),-1.26107 # DEPENDENCYPART_ARC
(15,1),0.0708327 # DEPENDENCYPART_ARC
(15,2),-1.39618 # DEPENDENCYPART_ARC
(15,3),-0.357297 # DEPENDENCYPART_ARC
(15,5),-0.405478 # DEPENDENCYPART_ARC
(15,6),-1.10568 # DEPENDENCYPART_ARC
(15,8),0.160095 # DEPENDENCYPART_ARC
(15,9),-0.458316 # DEPENDENCYPART_ARC
(15,10),-1.28961 # DEPENDENCYPART_ARC
(15,11),0.61488 # DEPENDENCYPART_ARC
(15,12),1.3965 # DEPENDENCYPART_ARC
(15,13),0.0919332 # DEPENDENCYPART_ARC
(15,14),0.72967 # DEPENDENCYPART_ARC
(15,16),2.19886 # DEPENDENCYPART_ARC
(15,17),0.875916 # DEPENDENCYPART_ARC
(15,18),-0.409292 # DEPENDENCYPART_ARC
(15,19),-0.316219 # DEPENDENCYPART_ARC
(15,20),0.492026 # DEPENDENCYPART_ARC
(16,14),-0.838524 # DEPENDENCYPART_ARC
(16,17),-1.88064 # DEPENDENCYPART_ARC
(16,18),-0.517874 # DEPENDENCYPART_ARC
(16,19),-1.3604 # DEPENDENCYPART_ARC
(16,20),-1.15853 # DEPENDENCYPART_ARC
(17,1),-1.29319 # DEPENDENCYPART_ARC
(17,6),-1.81283 # DEPENDENCYPART_ARC
(17,8),-1.58135 # DEPENDENCYPART_ARC
(17,10),-1.72178 # DEPENDENCYPART_ARC
(17,12),-3.10982 # DEPENDENCYPART_ARC
(17,13),-1.21553 # DEPENDENCYPART_ARC
(17,14),-0.965323 # DEPENDENCYPART_ARC
(17,15),0.152127 # DEPENDENCYPART_ARC
(17,16),-0.804339 # DEPENDENCYPART_ARC
(17,18),0.157083 # DEPENDENCYPART_ARC
(17,19),-2.07009 # DEPENDENCYPART_ARC
(17,20),-2.93263 # DEPENDENCYPART_ARC
(17,21),-1.13924 # DEPENDENCYPART_ARC
(18,11),-0.883063 # DEPENDENCYPART_ARC
(18,15),-0.914045 # DEPENDENCYPART_ARC
(18,17),-0.212458 # DEPENDENCYPART_ARC
(19,3),-0.929281 # DEPENDENCYPART_ARC
(19,5),-1.06747 # DEPENDENCYPART_ARC
(19,7),-2.07961 # DEPENDENCYPART_ARC
