# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,9,22,22,14,16,16,17,22,19,20,21,22,4,22,
(0,1),-0.998883 # DEPENDENCYPART_ARC
(0,2),0.269092 # DEPENDENCYPART_ARC
(0,3),-0.986172 # DEPENDENCYPART_ARC
(0,4),-0.978034 # DEPENDENCYPART_ARC
(0,6),-1.13614 # DEPENDENCYPART_ARC
(0,7),-1.31105 # DEPENDENCYPART_ARC
(0,8),-0.95669 # DEPENDENCYPART_ARC
(0,9),0.888376 # DEPENDENCYPART_ARC
(0,15),-2.22732 # DEPENDENCYPART_ARC
(0,16),-2.30701 # DEPENDENCYPART_ARC
(0,17),-0.150287 # DEPENDENCYPART_ARC
(0,18),-1.99275 # DEPENDENCYPART_ARC
(0,19),-2.06693 # DEPENDENCYPART_ARC
(0,20),-2.00659 # DEPENDENCYPART_ARC
(0,21),-2.4106 # DEPENDENCYPART_ARC
(0,22),-0.820854 # DEPENDENCYPART_ARC
(0,23),-3.40661 # DEPENDENCYPART_ARC
(1,2),-1.39762 # DEPENDENCYPART_ARC
(1,3),-1.44035 # DEPENDENCYPART_ARC
(1,4),-1.8644 # DEPENDENCYPART_ARC
(2,1),2.12014 # DEPENDENCYPART_ARC
(2,3),1.60641 # DEPENDENCYPART_ARC
(2,5),-0.636302 # DEPENDENCYPART_ARC
(2,6),-0.424255 # DEPENDENCYPART_ARC
(2,7),-0.192535 # DEPENDENCYPART_ARC
(2,9),-0.869058 # DEPENDENCYPART_ARC
(2,11),-0.684256 # DEPENDENCYPART_ARC
(2,12),-1.3054 # DEPENDENCYPART_ARC
(2,17),-0.654432 # DEPENDENCYPART_ARC
(2,18),-0.54078 # DEPENDENCYPART_ARC
(2,19),-1.49801 # DEPENDENCYPART_ARC
(3,1),-0.760941 # DEPENDENCYPART_ARC
(3,4),1.13908 # DEPENDENCYPART_ARC
(3,5),-2.0048 # DEPENDENCYPART_ARC
(4,2),-0.136091 # DEPENDENCYPART_ARC
(4,3),0.131465 # DEPENDENCYPART_ARC
(4,5),-0.667852 # DEPENDENCYPART_ARC
(4,22),0.186041 # DEPENDENCYPART_ARC
(5,1),-2.65998 # DEPENDENCYPART_ARC
(5,2),-1.66338 # DEPENDENCYPART_ARC
(5,3),-1.68409 # DEPENDENCYPART_ARC
(5,4),-0.308785 # DEPENDENCYPART_ARC
(5,6),-0.459257 # DEPENDENCYPART_ARC
(5,8),-0.953662 # DEPENDENCYPART_ARC
(6,1),-0.797575 # DEPENDENCYPART_ARC
(6,2),-0.293934 # DEPENDENCYPART_ARC
(6,3),-2.11238 # DEPENDENCYPART_ARC
(6,4),-1.13004 # DEPENDENCYPART_ARC
(6,5),1.81591 # DEPENDENCYPART_ARC
(6,7),0.549482 # DEPENDENCYPART_ARC
(6,8),-0.495754 # DEPENDENCYPART_ARC
(6,10),-2.36882 # DEPENDENCYPART_ARC
(6,11),-1.79068 # DEPENDENCYPART_ARC
(6,12),-3.81815 # DEPENDENCYPART_ARC
(6,14),-2.32133 # DEPENDENCYPART_ARC
(6,15),-3.04909 # DEPENDENCYPART_ARC
(6,16),-2.11367 # DEPENDENCYPART_ARC
(6,17),-0.57096 # DEPENDENCYPART_ARC
(6,20),-2.94432 # DEPENDENCYPART_ARC
(6,21),-2.27743 # DEPENDENCYPART_ARC
(6,22),-3.00328 # DEPENDENCYPART_ARC
(7,1),-0.450038 # DEPENDENCYPART_ARC
(7,2),-1.1756 # DEPENDENCYPART_ARC
(7,3),-2.22794 # DEPENDENCYPART_ARC
(7,4),-0.833981 # DEPENDENCYPART_ARC
(7,5),-0.0713423 # DEPENDENCYPART_ARC
(7,6),1.17245 # DEPENDENCYPART_ARC
(7,8),1.30629 # DEPENDENCYPART_ARC
(7,9),-0.820944 # DEPENDENCYPART_ARC
(7,10),-1.46509 # DEPENDENCYPART_ARC
(7,11),-1.5335 # DEPENDENCYPART_ARC
(7,12),-3.15555 # DEPENDENCYPART_ARC
(7,14),-1.88114 # DEPENDENCYPART_ARC
(7,15),-2.86858 # DEPENDENCYPART_ARC
(7,16),-2.80315 # DEPENDENCYPART_ARC
(7,17),-0.788631 # DEPENDENCYPART_ARC
(7,20),-2.14074 # DEPENDENCYPART_ARC
(7,21),-3.14536 # DEPENDENCYPART_ARC
(7,22),-3.07049 # DEPENDENCYPART_ARC
(8,2),-1.1505 # DEPENDENCYPART_ARC
(8,3),-1.51267 # DEPENDENCYPART_ARC
(8,6),-0.972333 # DEPENDENCYPART_ARC
(8,7),-0.477595 # DEPENDENCYPART_ARC
(9,1),-0.663447 # DEPENDENCYPART_ARC
(9,2),1.04959 # DEPENDENCYPART_ARC
(9,3),-1.22935 # DEPENDENCYPART_ARC
(9,4),-1.40906 # DEPENDENCYPART_ARC
(9,5),-0.408262 # DEPENDENCYPART_ARC
(9,6),0.53138 # DEPENDENCYPART_ARC
(9,7),0.209967 # DEPENDENCYPART_ARC
(9,8),-0.466994 # DEPENDENCYPART_ARC
(9,10),1.42248 # DEPENDENCYPART_ARC
(9,11),-0.437287 # DEPENDENCYPART_ARC
(9,12),-0.561201 # DEPENDENCYPART_ARC
(9,14),-0.169654 # DEPENDENCYPART_ARC
(9,16),0.0852029 # DEPENDENCYPART_ARC
