# _root_ bestetik , nicolas_redondo_terreros_pse-eeko idazkari nagusiaren ustez , proposamen horrek " pp bere iraganera itzularazten du " .
#goldHeads=14,3,4,6,4,14,6,14,8,9,14,13,14,0,14,15,16,
#predictedHeads=0,3,4,6,4,14,6,14,8,9,14,13,14,0,14,15,16,
(0,1),-0.527442 # DEPENDENCYPART_ARC
(0,2),-1.18853 # DEPENDENCYPART_ARC
(0,4),-1.17645 # DEPENDENCYPART_ARC
(0,5),-2.02187 # DEPENDENCYPART_ARC
(0,6),-0.828937 # DEPENDENCYPART_ARC
(0,7),-1.19542 # DEPENDENCYPART_ARC
(0,8),-1.03956 # DEPENDENCYPART_ARC
(0,9),-1.86116 # DEPENDENCYPART_ARC
(0,10),-1.55442 # DEPENDENCYPART_ARC
(0,11),-0.666658 # DEPENDENCYPART_ARC
(0,13),-1.8326 # DEPENDENCYPART_ARC
(0,14),-0.0992489 # DEPENDENCYPART_ARC
(0,15),-0.749083 # DEPENDENCYPART_ARC
(0,16),-2.68764 # DEPENDENCYPART_ARC
(0,17),-1.93307 # DEPENDENCYPART_ARC
(1,2),-0.578868 # DEPENDENCYPART_ARC
(1,4),-1.86466 # DEPENDENCYPART_ARC
(2,4),-1.29997 # DEPENDENCYPART_ARC
(2,5),-1.04654 # DEPENDENCYPART_ARC
(2,8),-1.13412 # DEPENDENCYPART_ARC
(2,13),-0.520477 # DEPENDENCYPART_ARC
(3,2),-0.013165 # DEPENDENCYPART_ARC
(4,1),-0.579788 # DEPENDENCYPART_ARC
(4,2),-0.750152 # DEPENDENCYPART_ARC
(4,3),0.495062 # DEPENDENCYPART_ARC
(4,5),1.96996 # DEPENDENCYPART_ARC
(4,6),-0.169146 # DEPENDENCYPART_ARC
(4,7),-0.457641 # DEPENDENCYPART_ARC
(4,8),-0.480181 # DEPENDENCYPART_ARC
(4,11),-0.697342 # DEPENDENCYPART_ARC
(4,13),-0.872046 # DEPENDENCYPART_ARC
(5,4),0.0134937 # DEPENDENCYPART_ARC
(5,6),-0.203766 # DEPENDENCYPART_ARC
(5,7),-0.540103 # DEPENDENCYPART_ARC
(5,8),-1.62666 # DEPENDENCYPART_ARC
(6,4),-0.290081 # DEPENDENCYPART_ARC
(6,7),1.27422 # DEPENDENCYPART_ARC
(6,8),-0.975673 # DEPENDENCYPART_ARC
(6,13),-1.11887 # DEPENDENCYPART_ARC
(7,8),-1.03807 # DEPENDENCYPART_ARC
(8,2),-1.71011 # DEPENDENCYPART_ARC
(8,4),-0.9007 # DEPENDENCYPART_ARC
(8,5),-1.13363 # DEPENDENCYPART_ARC
(8,6),-0.745501 # DEPENDENCYPART_ARC
(8,7),-0.0742589 # DEPENDENCYPART_ARC
(8,9),2.09201 # DEPENDENCYPART_ARC
(8,11),-1.08518 # DEPENDENCYPART_ARC
(8,12),-0.399785 # DEPENDENCYPART_ARC
(8,13),-1.12206 # DEPENDENCYPART_ARC
(8,14),-1.15061 # DEPENDENCYPART_ARC
(8,15),-1.33252 # DEPENDENCYPART_ARC
(8,17),-1.10383 # DEPENDENCYPART_ARC
(9,10),1.16681 # DEPENDENCYPART_ARC
(9,13),-1.0566 # DEPENDENCYPART_ARC
(10,11),-1.52532 # DEPENDENCYPART_ARC
(11,4),-1.37202 # DEPENDENCYPART_ARC
(11,7),-1.5239 # DEPENDENCYPART_ARC
(11,8),-1.31176 # DEPENDENCYPART_ARC
(11,12),-1.15762 # DEPENDENCYPART_ARC
(11,13),-2.10959 # DEPENDENCYPART_ARC
(13,4),-1.34665 # DEPENDENCYPART_ARC
(13,5),-1.76423 # DEPENDENCYPART_ARC
(13,6),-1.48051 # DEPENDENCYPART_ARC
(13,7),-1.88563 # DEPENDENCYPART_ARC
(13,8),-1.1745 # DEPENDENCYPART_ARC
(13,9),-2.88303 # DEPENDENCYPART_ARC
(13,11),-0.999436 # DEPENDENCYPART_ARC
(13,12),0.789667 # DEPENDENCYPART_ARC
(13,14),-0.922463 # DEPENDENCYPART_ARC
(13,15),-1.43484 # DEPENDENCYPART_ARC
(13,17),-1.28346 # DEPENDENCYPART_ARC
(14,4),-0.43946 # DEPENDENCYPART_ARC
(14,6),-0.0357384 # DEPENDENCYPART_ARC
(14,7),-1.50643 # DEPENDENCYPART_ARC
(14,8),0.141826 # DEPENDENCYPART_ARC
(14,11),0.793404 # DEPENDENCYPART_ARC
(14,13),2.09476 # DEPENDENCYPART_ARC
(14,15),1.88628 # DEPENDENCYPART_ARC
(15,4),-0.978793 # DEPENDENCYPART_ARC
(15,8),-0.87178 # DEPENDENCYPART_ARC
(15,13),-0.87907 # DEPENDENCYPART_ARC
(15,16),1.38632 # DEPENDENCYPART_ARC
(16,13),-1.05916 # DEPENDENCYPART_ARC
(16,17),1.61315 # DEPENDENCYPART_ARC
