# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,14,12,0,18,17,18,19,20,22,20,14,22,23,
(0,1),-0.560276 # DEPENDENCYPART_ARC
(0,2),-0.865873 # DEPENDENCYPART_ARC
(0,4),-1.37909 # DEPENDENCYPART_ARC
(0,5),-1.68844 # DEPENDENCYPART_ARC
(0,6),-1.80217 # DEPENDENCYPART_ARC
(0,7),-1.41658 # DEPENDENCYPART_ARC
(0,8),-0.883354 # DEPENDENCYPART_ARC
(0,9),-0.999425 # DEPENDENCYPART_ARC
(0,13),-1.55066 # DEPENDENCYPART_ARC
(0,14),0.0634291 # DEPENDENCYPART_ARC
(0,18),-2.41743 # DEPENDENCYPART_ARC
(0,19),-1.91997 # DEPENDENCYPART_ARC
(0,20),-1.07423 # DEPENDENCYPART_ARC
(0,21),-3.58398 # DEPENDENCYPART_ARC
(0,22),-0.375627 # DEPENDENCYPART_ARC
(0,23),-2.14719 # DEPENDENCYPART_ARC
(0,24),-4.13596 # DEPENDENCYPART_ARC
(1,2),-0.58048 # DEPENDENCYPART_ARC
(1,3),-1.98551 # DEPENDENCYPART_ARC
(1,7),-3.48854 # DEPENDENCYPART_ARC
(2,1),0.029467 # DEPENDENCYPART_ARC
(2,3),0.560071 # DEPENDENCYPART_ARC
(2,7),-1.52526 # DEPENDENCYPART_ARC
(3,1),-1.89999 # DEPENDENCYPART_ARC
(3,2),2.13098 # DEPENDENCYPART_ARC
(3,4),-1.8287 # DEPENDENCYPART_ARC
(3,5),-1.50433 # DEPENDENCYPART_ARC
(3,6),-2.47394 # DEPENDENCYPART_ARC
(3,7),-3.07107 # DEPENDENCYPART_ARC
(4,1),0.140148 # DEPENDENCYPART_ARC
(4,2),0.989272 # DEPENDENCYPART_ARC
(4,3),1.835 # DEPENDENCYPART_ARC
(4,5),-1.73637 # DEPENDENCYPART_ARC
(4,6),-0.630042 # DEPENDENCYPART_ARC
(4,7),-1.17338 # DEPENDENCYPART_ARC
(4,8),-0.633534 # DEPENDENCYPART_ARC
(4,11),-2.90611 # DEPENDENCYPART_ARC
(4,12),-1.47105 # DEPENDENCYPART_ARC
(4,14),-0.705419 # DEPENDENCYPART_ARC
(4,16),-2.46375 # DEPENDENCYPART_ARC
(4,17),-3.25037 # DEPENDENCYPART_ARC
(4,18),-3.37058 # DEPENDENCYPART_ARC
(4,19),-3.52082 # DEPENDENCYPART_ARC
(4,20),-1.98594 # DEPENDENCYPART_ARC
(4,22),-2.93989 # DEPENDENCYPART_ARC
(5,1),-2.38213 # DEPENDENCYPART_ARC
(5,2),0.245058 # DEPENDENCYPART_ARC
(5,3),-1.43059 # DEPENDENCYPART_ARC
