# _root_ aurtengo ekoizpenen erakusketez_gainera , bertso txapelketak eta lete , valverde eta lertxundiren kantaldiek hartuko dute lekurik nabarmenena .
#goldHeads=2,3,14,3,6,7,14,11,8,11,13,11,7,0,14,14,16,17,
#predictedHeads=2,3,7,3,6,7,13,11,8,11,13,13,14,0,14,14,16,17,
(0,1),-0.526796 # DEPENDENCYPART_ARC
(0,2),-1.16424 # DEPENDENCYPART_ARC
(0,3),-1.43214 # DEPENDENCYPART_ARC
(0,4),-1.50506 # DEPENDENCYPART_ARC
(0,5),-0.853173 # DEPENDENCYPART_ARC
(0,6),-1.24282 # DEPENDENCYPART_ARC
(0,7),-1.63189 # DEPENDENCYPART_ARC
(0,8),-1.65975 # DEPENDENCYPART_ARC
(0,9),-1.79384 # DEPENDENCYPART_ARC
(0,10),-1.344 # DEPENDENCYPART_ARC
(0,11),-1.89535 # DEPENDENCYPART_ARC
(0,12),-1.54882 # DEPENDENCYPART_ARC
(0,13),-1.86356 # DEPENDENCYPART_ARC
(0,14),0.0752873 # DEPENDENCYPART_ARC
(0,15),-1.28051 # DEPENDENCYPART_ARC
(0,16),-1.96819 # DEPENDENCYPART_ARC
(0,17),-1.62894 # DEPENDENCYPART_ARC
(0,18),-3.16065 # DEPENDENCYPART_ARC
(1,2),-1.20535 # DEPENDENCYPART_ARC
(1,3),-2.01313 # DEPENDENCYPART_ARC
(1,4),-1.62107 # DEPENDENCYPART_ARC
(2,1),0.5482 # DEPENDENCYPART_ARC
(2,3),-1.00405 # DEPENDENCYPART_ARC
(2,4),-0.454735 # DEPENDENCYPART_ARC
(2,5),-1.31035 # DEPENDENCYPART_ARC
(2,6),-1.40921 # DEPENDENCYPART_ARC
(2,7),-1.29019 # DEPENDENCYPART_ARC
(2,8),-1.7674 # DEPENDENCYPART_ARC
(3,1),-0.0784172 # DEPENDENCYPART_ARC
(3,2),2.08237 # DEPENDENCYPART_ARC
(3,4),1.56323 # DEPENDENCYPART_ARC
(3,5),-0.890936 # DEPENDENCYPART_ARC
(3,6),-1.37663 # DEPENDENCYPART_ARC
(3,7),-1.52581 # DEPENDENCYPART_ARC
(3,8),-1.08422 # DEPENDENCYPART_ARC
(3,11),-1.5789 # DEPENDENCYPART_ARC
(3,14),-2.07352 # DEPENDENCYPART_ARC
(4,2),-0.700244 # DEPENDENCYPART_ARC
(4,3),-0.471244 # DEPENDENCYPART_ARC
(4,5),-0.419279 # DEPENDENCYPART_ARC
(4,6),-1.05348 # DEPENDENCYPART_ARC
(4,16),-1.63924 # DEPENDENCYPART_ARC
(5,1),-1.23147 # DEPENDENCYPART_ARC
(5,2),-0.968891 # DEPENDENCYPART_ARC
(5,3),-0.605321 # DEPENDENCYPART_ARC
(5,4),-0.300931 # DEPENDENCYPART_ARC
(5,6),0.657671 # DEPENDENCYPART_ARC
(5,7),-0.277374 # DEPENDENCYPART_ARC
(5,8),-1.04349 # DEPENDENCYPART_ARC
(5,10),-0.79033 # DEPENDENCYPART_ARC
(5,11),-0.658408 # DEPENDENCYPART_ARC
(6,1),-0.464735 # DEPENDENCYPART_ARC
(6,2),0.211223 # DEPENDENCYPART_ARC
(6,3),-0.630903 # DEPENDENCYPART_ARC
(6,4),-0.9017 # DEPENDENCYPART_ARC
(6,5),1.47085 # DEPENDENCYPART_ARC
(6,7),-0.774639 # DEPENDENCYPART_ARC
(6,8),-1.69458 # DEPENDENCYPART_ARC
(6,9),-0.981226 # DEPENDENCYPART_ARC
(6,10),-1.12816 # DEPENDENCYPART_ARC
(6,11),-1.89576 # DEPENDENCYPART_ARC
