# _root_ psnk uste du hori ez dela bidezkoa eta upn kritikatu du , enpresa pribatuetan hori bultzatzen ari_den bitartean , publikoetan ez duelako oraindik ezarri .
#goldHeads=2,8,2,6,6,2,6,0,10,8,10,11,16,13,16,17,24,17,18,24,24,24,24,10,24,
#predictedHeads=8,6,2,6,6,8,6,10,10,0,10,11,16,13,13,17,18,24,18,24,24,24,24,10,24,
(0,2),-0.169497 # DEPENDENCYPART_ARC
(0,3),-0.645889 # DEPENDENCYPART_ARC
(0,4),-1.80859 # DEPENDENCYPART_ARC
(0,5),-1.05447 # DEPENDENCYPART_ARC
(0,6),-1.74359 # DEPENDENCYPART_ARC
(0,7),-2.01345 # DEPENDENCYPART_ARC
(0,8),-0.518416 # DEPENDENCYPART_ARC
(0,9),-1.36447 # DEPENDENCYPART_ARC
(0,10),0.564847 # DEPENDENCYPART_ARC
(0,11),-1.19762 # DEPENDENCYPART_ARC
(0,12),-0.58801 # DEPENDENCYPART_ARC
(0,14),-2.29823 # DEPENDENCYPART_ARC
(0,15),-1.9086 # DEPENDENCYPART_ARC
(0,16),-1.14015 # DEPENDENCYPART_ARC
(0,17),-0.331207 # DEPENDENCYPART_ARC
(0,19),-0.630068 # DEPENDENCYPART_ARC
(0,20),-2.23995 # DEPENDENCYPART_ARC
(0,21),-1.6085 # DEPENDENCYPART_ARC
(0,22),-0.892329 # DEPENDENCYPART_ARC
(0,23),-1.00195 # DEPENDENCYPART_ARC
(0,24),-1.46609 # DEPENDENCYPART_ARC
(0,25),-2.78703 # DEPENDENCYPART_ARC
(2,1),-0.31838 # DEPENDENCYPART_ARC
(2,3),1.19437 # DEPENDENCYPART_ARC
(2,4),-0.778255 # DEPENDENCYPART_ARC
(2,5),-1.44814 # DEPENDENCYPART_ARC
(2,7),-1.4628 # DEPENDENCYPART_ARC
(2,8),-0.632738 # DEPENDENCYPART_ARC
(2,9),-1.99581 # DEPENDENCYPART_ARC
(3,2),0.147771 # DEPENDENCYPART_ARC
(3,5),-0.453033 # DEPENDENCYPART_ARC
(3,6),-0.531754 # DEPENDENCYPART_ARC
(3,8),-1.25525 # DEPENDENCYPART_ARC
(3,11),-1.20439 # DEPENDENCYPART_ARC
(4,10),-1.48224 # DEPENDENCYPART_ARC
(5,2),-1.37391 # DEPENDENCYPART_ARC
(5,6),-0.948449 # DEPENDENCYPART_ARC
(6,2),0.79847 # DEPENDENCYPART_ARC
(6,3),-0.25229 # DEPENDENCYPART_ARC
(6,4),0.892227 # DEPENDENCYPART_ARC
(6,5),1.08803 # DEPENDENCYPART_ARC
(6,7),2.1506 # DEPENDENCYPART_ARC
(6,8),0.631024 # DEPENDENCYPART_ARC
(6,9),-0.9143 # DEPENDENCYPART_ARC
(6,10),-0.963731 # DEPENDENCYPART_ARC
(6,11),-1.09501 # DEPENDENCYPART_ARC
(6,13),-0.906823 # DEPENDENCYPART_ARC
(6,14),-1.43452 # DEPENDENCYPART_ARC
(6,16),-1.3769 # DEPENDENCYPART_ARC
(6,17),-1.74347 # DEPENDENCYPART_ARC
(6,18),-1.12041 # DEPENDENCYPART_ARC
(6,24),-1.50325 # DEPENDENCYPART_ARC
(7,2),-1.93741 # DEPENDENCYPART_ARC
(7,6),-0.930437 # DEPENDENCYPART_ARC
(7,8),-0.616571 # DEPENDENCYPART_ARC
(8,1),-0.147693 # DEPENDENCYPART_ARC
(8,2),-0.55612 # DEPENDENCYPART_ARC
(8,3),-1.01868 # DEPENDENCYPART_ARC
(8,4),-1.36675 # DEPENDENCYPART_ARC
(8,5),-0.739195 # DEPENDENCYPART_ARC
(8,6),0.463596 # DEPENDENCYPART_ARC
(8,7),0.783518 # DEPENDENCYPART_ARC
(8,9),1.57613 # DEPENDENCYPART_ARC
(8,10),-0.211457 # DEPENDENCYPART_ARC
(8,11),-0.590582 # DEPENDENCYPART_ARC
(8,12),-0.406372 # DEPENDENCYPART_ARC
(8,13),-0.922582 # DEPENDENCYPART_ARC
(8,16),-1.20182 # DEPENDENCYPART_ARC
(8,17),-1.16248 # DEPENDENCYPART_ARC
(8,18),-1.24362 # DEPENDENCYPART_ARC
(8,24),-1.90236 # DEPENDENCYPART_ARC
(9,10),-2.19515 # DEPENDENCYPART_ARC
(10,2),-0.561627 # DEPENDENCYPART_ARC
(10,3),-0.144103 # DEPENDENCYPART_ARC
(10,4),-0.527721 # DEPENDENCYPART_ARC
(10,5),-0.222258 # DEPENDENCYPART_ARC
(10,6),0.219748 # DEPENDENCYPART_ARC
(10,7),-0.362413 # DEPENDENCYPART_ARC
(10,8),0.605446 # DEPENDENCYPART_ARC
(10,9),2.08493 # DEPENDENCYPART_ARC
(10,11),1.45907 # DEPENDENCYPART_ARC
(10,12),-0.326674 # DEPENDENCYPART_ARC
(10,13),-0.304126 # DEPENDENCYPART_ARC
(10,14),-0.41465 # DEPENDENCYPART_ARC
(10,16),-0.422167 # DEPENDENCYPART_ARC
(10,17),-0.512466 # DEPENDENCYPART_ARC
(10,18),0.171602 # DEPENDENCYPART_ARC
(10,19),-0.564564 # DEPENDENCYPART_ARC
(10,20),-0.607291 # DEPENDENCYPART_ARC
(10,22),-0.989027 # DEPENDENCYPART_ARC
(10,24),-0.0377313 # DEPENDENCYPART_ARC
(11,5),-1.61192 # DEPENDENCYPART_ARC
(11,9),-1.17012 # DEPENDENCYPART_ARC
(11,12),1.41147 # DEPENDENCYPART_ARC
(11,13),-1.68655 # DEPENDENCYPART_ARC
(12,6),-0.839547 # DEPENDENCYPART_ARC
(12,11),-0.288222 # DEPENDENCYPART_ARC
(12,13),-1.12279 # DEPENDENCYPART_ARC
(12,14),-0.806815 # DEPENDENCYPART_ARC
(12,17),-0.668826 # DEPENDENCYPART_ARC
(13,4),-2.70022 # DEPENDENCYPART_ARC
(13,7),-1.87606 # DEPENDENCYPART_ARC
(13,9),-1.8966 # DEPENDENCYPART_ARC
(13,10),-0.530562 # DEPENDENCYPART_ARC
(13,11),-1.17666 # DEPENDENCYPART_ARC
(13,12),-0.157749 # DEPENDENCYPART_ARC
(13,14),1.97973 # DEPENDENCYPART_ARC
(13,15),1.95337 # DEPENDENCYPART_ARC
(13,16),-0.901822 # DEPENDENCYPART_ARC
(13,17),-1.57071 # DEPENDENCYPART_ARC
(13,18),-0.81925 # DEPENDENCYPART_ARC
(13,24),-0.928617 # DEPENDENCYPART_ARC
(13,25),-1.02536 # DEPENDENCYPART_ARC
(14,13),-0.122527 # DEPENDENCYPART_ARC
(14,15),-1.33664 # DEPENDENCYPART_ARC
(15,16),-0.971553 # DEPENDENCYPART_ARC
(16,2),-1.15089 # DEPENDENCYPART_ARC
(16,4),-0.980766 # DEPENDENCYPART_ARC
(16,5),-0.329035 # DEPENDENCYPART_ARC
(16,6),-0.27031 # DEPENDENCYPART_ARC
(16,7),-1.0638 # DEPENDENCYPART_ARC
(16,8),-0.214054 # DEPENDENCYPART_ARC
(16,9),-0.407954 # DEPENDENCYPART_ARC
(16,10),-0.606403 # DEPENDENCYPART_ARC
(16,11),-0.503709 # DEPENDENCYPART_ARC
(16,12),-1.27641 # DEPENDENCYPART_ARC
(16,13),0.848768 # DEPENDENCYPART_ARC
(16,14),-0.509147 # DEPENDENCYPART_ARC
(16,15),0.509369 # DEPENDENCYPART_ARC
(16,17),0.654247 # DEPENDENCYPART_ARC
(16,18),1.0763 # DEPENDENCYPART_ARC
(16,19),-0.314196 # DEPENDENCYPART_ARC
(16,20),-0.552942 # DEPENDENCYPART_ARC
(16,21),0.0636906 # DEPENDENCYPART_ARC
(16,22),-0.278026 # DEPENDENCYPART_ARC
(16,23),-0.468396 # DEPENDENCYPART_ARC
(16,24),-0.342642 # DEPENDENCYPART_ARC
(17,2),-1.41052 # DEPENDENCYPART_ARC
(17,6),-1.80776 # DEPENDENCYPART_ARC
(17,8),-0.703092 # DEPENDENCYPART_ARC
(17,9),-0.371375 # DEPENDENCYPART_ARC
(17,10),-1.80446 # DEPENDENCYPART_ARC
