# _root_ gainera , finantza entitateekin hitzarmena negoziatzen ari_da , baldintza onenak emateko .
#goldHeads=0,3,4,6,6,7,0,7,11,9,7,11,
#predictedHeads=0,3,4,7,6,7,0,7,11,9,7,11,
(0,1),1.39398 # DEPENDENCYPART_ARC
(0,2),-1.35484 # DEPENDENCYPART_ARC
(0,3),-0.527334 # DEPENDENCYPART_ARC
(0,4),-0.694072 # DEPENDENCYPART_ARC
(0,5),-0.475616 # DEPENDENCYPART_ARC
(0,6),-0.827037 # DEPENDENCYPART_ARC
(0,7),-0.17261 # DEPENDENCYPART_ARC
(0,8),-1.07746 # DEPENDENCYPART_ARC
(0,9),-1.31295 # DEPENDENCYPART_ARC
(0,10),-1.6094 # DEPENDENCYPART_ARC
(0,11),-1.08721 # DEPENDENCYPART_ARC
(0,12),-1.83817 # DEPENDENCYPART_ARC
(1,2),-1.01474 # DEPENDENCYPART_ARC
(1,3),-2.91543 # DEPENDENCYPART_ARC
(1,4),-2.45637 # DEPENDENCYPART_ARC
(1,6),-3.05976 # DEPENDENCYPART_ARC
(1,7),-2.70107 # DEPENDENCYPART_ARC
(1,11),-3.35098 # DEPENDENCYPART_ARC
(2,3),-1.12751 # DEPENDENCYPART_ARC
(2,4),-1.67273 # DEPENDENCYPART_ARC
(2,5),-1.4672 # DEPENDENCYPART_ARC
(2,6),-1.67381 # DEPENDENCYPART_ARC
(2,7),-1.56277 # DEPENDENCYPART_ARC
(2,11),-2.02241 # DEPENDENCYPART_ARC
(3,2),-0.239088 # DEPENDENCYPART_ARC
(3,4),0.694286 # DEPENDENCYPART_ARC
(3,5),-0.0827904 # DEPENDENCYPART_ARC
(3,6),-0.863918 # DEPENDENCYPART_ARC
(3,7),-1.17864 # DEPENDENCYPART_ARC
(3,9),-1.30273 # DEPENDENCYPART_ARC
(3,11),-0.994461 # DEPENDENCYPART_ARC
(3,12),-1.13636 # DEPENDENCYPART_ARC
(4,2),-1.41391 # DEPENDENCYPART_ARC
(4,3),1.67132 # DEPENDENCYPART_ARC
(4,5),0.301685 # DEPENDENCYPART_ARC
(4,6),-1.77716 # DEPENDENCYPART_ARC
(4,7),-1.96966 # DEPENDENCYPART_ARC
(4,9),-1.4031 # DEPENDENCYPART_ARC
(4,10),-0.959711 # DEPENDENCYPART_ARC
(4,12),-1.27899 # DEPENDENCYPART_ARC
(5,2),-1.41018 # DEPENDENCYPART_ARC
(5,3),0.711292 # DEPENDENCYPART_ARC
(5,4),-0.0807203 # DEPENDENCYPART_ARC
(5,6),-0.294136 # DEPENDENCYPART_ARC
(5,7),-1.57794 # DEPENDENCYPART_ARC
(5,8),-1.07337 # DEPENDENCYPART_ARC
(5,9),-1.55273 # DEPENDENCYPART_ARC
(5,10),-1.46384 # DEPENDENCYPART_ARC
(5,11),-1.6287 # DEPENDENCYPART_ARC
(5,12),-1.40679 # DEPENDENCYPART_ARC
(6,1),-0.669771 # DEPENDENCYPART_ARC
(6,2),-2.02799 # DEPENDENCYPART_ARC
(6,3),0.303457 # DEPENDENCYPART_ARC
(6,4),0.140466 # DEPENDENCYPART_ARC
(6,5),2.03043 # DEPENDENCYPART_ARC
(6,7),0.130204 # DEPENDENCYPART_ARC
(6,8),-0.558685 # DEPENDENCYPART_ARC
(6,9),-1.16471 # DEPENDENCYPART_ARC
(6,10),-0.614068 # DEPENDENCYPART_ARC
(6,11),-0.13028 # DEPENDENCYPART_ARC
(7,1),-0.300149 # DEPENDENCYPART_ARC
(7,3),0.234567 # DEPENDENCYPART_ARC
(7,4),1.33738 # DEPENDENCYPART_ARC
(7,5),1.47915 # DEPENDENCYPART_ARC
(7,6),2.54923 # DEPENDENCYPART_ARC
(7,8),1.73243 # DEPENDENCYPART_ARC
(7,9),-0.663431 # DEPENDENCYPART_ARC
(7,10),-0.955803 # DEPENDENCYPART_ARC
(7,11),0.847616 # DEPENDENCYPART_ARC
(8,6),-0.664349 # DEPENDENCYPART_ARC
(8,7),-0.204214 # DEPENDENCYPART_ARC
(8,9),-0.929811 # DEPENDENCYPART_ARC
(8,10),-0.623002 # DEPENDENCYPART_ARC
(8,11),-0.533073 # DEPENDENCYPART_ARC
(9,2),-1.67986 # DEPENDENCYPART_ARC
(9,3),-1.16652 # DEPENDENCYPART_ARC
(9,4),-2.09234 # DEPENDENCYPART_ARC
(9,5),-2.37247 # DEPENDENCYPART_ARC
(9,6),-1.48727 # DEPENDENCYPART_ARC
(9,7),-1.37631 # DEPENDENCYPART_ARC
(9,8),-0.40634 # DEPENDENCYPART_ARC
(9,10),2.85904 # DEPENDENCYPART_ARC
(9,11),-0.259319 # DEPENDENCYPART_ARC
(9,12),-0.400531 # DEPENDENCYPART_ARC
(10,3),-1.9437 # DEPENDENCYPART_ARC
(10,4),-2.70649 # DEPENDENCYPART_ARC
(10,5),-3.04967 # DEPENDENCYPART_ARC
(10,9),-0.208857 # DEPENDENCYPART_ARC
(10,11),-0.599178 # DEPENDENCYPART_ARC
(11,1),0.283635 # DEPENDENCYPART_ARC
(11,2),-1.69114 # DEPENDENCYPART_ARC
(11,3),-0.205388 # DEPENDENCYPART_ARC
(11,4),-0.485557 # DEPENDENCYPART_ARC
(11,5),0.461443 # DEPENDENCYPART_ARC
(11,6),0.178173 # DEPENDENCYPART_ARC
(11,7),-2.57193 # DEPENDENCYPART_ARC
(11,8),-0.83119 # DEPENDENCYPART_ARC
(11,9),1.64038 # DEPENDENCYPART_ARC
(11,10),0.0975013 # DEPENDENCYPART_ARC
(11,12),1.50498 # DEPENDENCYPART_ARC
(12,9),-0.977564 # DEPENDENCYPART_ARC
