# _root_ hala ekarri dituzte antton_lopez ruiz algecirastik langraizera , joxean etxebarri_aiesta jaendik langraizera , eta iñigo_azkue eta jose_antonio galarraga mansillatik langraizera .
#goldHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
#predictedHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
(0,1),0.404187 # DEPENDENCYPART_ARC
(0,2),0.543253 # DEPENDENCYPART_ARC
(0,3),-0.264157 # DEPENDENCYPART_ARC
(0,4),-0.97042 # DEPENDENCYPART_ARC
(0,5),-0.489743 # DEPENDENCYPART_ARC
(0,6),-1.18459 # DEPENDENCYPART_ARC
(0,7),-1.40316 # DEPENDENCYPART_ARC
(0,8),-1.11883 # DEPENDENCYPART_ARC
(0,9),-1.09973 # DEPENDENCYPART_ARC
(0,10),-1.23329 # DEPENDENCYPART_ARC
(0,11),-1.38578 # DEPENDENCYPART_ARC
(0,12),-1.63253 # DEPENDENCYPART_ARC
(0,13),-1.71389 # DEPENDENCYPART_ARC
(0,14),-0.396543 # DEPENDENCYPART_ARC
(0,15),-1.40143 # DEPENDENCYPART_ARC
(0,16),-1.8788 # DEPENDENCYPART_ARC
(0,17),-1.32413 # DEPENDENCYPART_ARC
(0,18),-1.05269 # DEPENDENCYPART_ARC
(0,19),-1.64432 # DEPENDENCYPART_ARC
(0,20),-1.82442 # DEPENDENCYPART_ARC
(0,21),-3.9431 # DEPENDENCYPART_ARC
(1,2),-1.39327 # DEPENDENCYPART_ARC
(1,4),-1.72498 # DEPENDENCYPART_ARC
(1,5),-1.7493 # DEPENDENCYPART_ARC
(2,1),1.45943 # DEPENDENCYPART_ARC
(2,3),1.92235 # DEPENDENCYPART_ARC
(2,4),-0.120284 # DEPENDENCYPART_ARC
(2,5),0.762254 # DEPENDENCYPART_ARC
(2,6),0.918026 # DEPENDENCYPART_ARC
(2,7),1.68767 # DEPENDENCYPART_ARC
(2,8),-0.214013 # DEPENDENCYPART_ARC
(2,10),-0.581198 # DEPENDENCYPART_ARC
(2,11),1.06287 # DEPENDENCYPART_ARC
(2,12),1.7062 # DEPENDENCYPART_ARC
(2,14),-0.116026 # DEPENDENCYPART_ARC
(2,16),-0.382938 # DEPENDENCYPART_ARC
(2,19),1.69413 # DEPENDENCYPART_ARC
(2,20),1.70016 # DEPENDENCYPART_ARC
