# _root_ 25 urtetik beherako gazteen langabezi tasa ebn %%16,2koa zen ekainean eta euro eremukoa %%17,2koa .
#goldHeads=2,4,2,6,6,9,9,9,11,9,0,13,11,11,14,
#predictedHeads=2,4,4,5,6,9,9,9,0,9,9,11,11,12,14,
(0,1),-0.72273 # DEPENDENCYPART_ARC
(0,2),-0.722947 # DEPENDENCYPART_ARC
(0,3),-0.591659 # DEPENDENCYPART_ARC
(0,4),-0.878624 # DEPENDENCYPART_ARC
(0,5),-0.88061 # DEPENDENCYPART_ARC
(0,6),-0.909562 # DEPENDENCYPART_ARC
(0,7),-1.17294 # DEPENDENCYPART_ARC
(0,8),-1.36792 # DEPENDENCYPART_ARC
(0,9),-0.45298 # DEPENDENCYPART_ARC
(0,10),-2.06729 # DEPENDENCYPART_ARC
(0,11),-1.60769 # DEPENDENCYPART_ARC
(0,12),-1.60909 # DEPENDENCYPART_ARC
(0,13),-2.03173 # DEPENDENCYPART_ARC
(0,14),-2.55899 # DEPENDENCYPART_ARC
(0,15),-2.94095 # DEPENDENCYPART_ARC
(1,2),-0.355607 # DEPENDENCYPART_ARC
(2,1),0.891158 # DEPENDENCYPART_ARC
(2,3),-0.755783 # DEPENDENCYPART_ARC
(2,4),-1.67088 # DEPENDENCYPART_ARC
(2,9),-2.64024 # DEPENDENCYPART_ARC
(2,11),-1.69237 # DEPENDENCYPART_ARC
(3,1),0.104585 # DEPENDENCYPART_ARC
(3,2),-1.34245 # DEPENDENCYPART_ARC
(3,4),-1.15779 # DEPENDENCYPART_ARC
(3,5),-0.992504 # DEPENDENCYPART_ARC
(3,6),-2.778 # DEPENDENCYPART_ARC
(3,7),-3.85882 # DEPENDENCYPART_ARC
(3,8),-3.16592 # DEPENDENCYPART_ARC
(3,11),-2.08106 # DEPENDENCYPART_ARC
(4,1),-0.657909 # DEPENDENCYPART_ARC
(4,2),0.118932 # DEPENDENCYPART_ARC
(4,3),2.44376 # DEPENDENCYPART_ARC
(4,5),0.322609 # DEPENDENCYPART_ARC
(4,6),-0.45101 # DEPENDENCYPART_ARC
(4,7),-1.11684 # DEPENDENCYPART_ARC
(4,8),-0.397266 # DEPENDENCYPART_ARC
(4,9),-1.78355 # DEPENDENCYPART_ARC
(4,11),-1.69695 # DEPENDENCYPART_ARC
(4,14),-4.59674 # DEPENDENCYPART_ARC
(5,1),-1.85276 # DEPENDENCYPART_ARC
(5,2),-1.07209 # DEPENDENCYPART_ARC
(5,3),-0.164107 # DEPENDENCYPART_ARC
(5,4),0.834005 # DEPENDENCYPART_ARC
(5,6),0.618631 # DEPENDENCYPART_ARC
(5,7),-0.28236 # DEPENDENCYPART_ARC
(5,8),-0.744944 # DEPENDENCYPART_ARC
(5,10),-1.10862 # DEPENDENCYPART_ARC
(5,13),-1.30505 # DEPENDENCYPART_ARC
(5,14),-1.54491 # DEPENDENCYPART_ARC
(5,15),-1.03042 # DEPENDENCYPART_ARC
(6,1),-1.25293 # DEPENDENCYPART_ARC
(6,2),-1.0961 # DEPENDENCYPART_ARC
(6,3),0.107962 # DEPENDENCYPART_ARC
(6,4),0.527284 # DEPENDENCYPART_ARC
(6,5),1.23935 # DEPENDENCYPART_ARC
(6,7),-0.668495 # DEPENDENCYPART_ARC
(6,8),-0.959867 # DEPENDENCYPART_ARC
(6,9),-1.99401 # DEPENDENCYPART_ARC
(6,10),-2.06264 # DEPENDENCYPART_ARC
(6,11),-1.77162 # DEPENDENCYPART_ARC
