# _root_ irlandan aurrera doaz , eta zergatik ez hemen ? " , itaundu zuen .
#goldHeads=3,3,5,3,12,5,5,5,8,9,10,0,12,13,
#predictedHeads=3,3,5,3,0,5,5,3,8,9,10,0,12,13,
(0,1),-1.13853 # DEPENDENCYPART_ARC
(0,2),-0.850858 # DEPENDENCYPART_ARC
(0,3),0.0660075 # DEPENDENCYPART_ARC
(0,4),-1.27351 # DEPENDENCYPART_ARC
(0,5),0.971268 # DEPENDENCYPART_ARC
(0,6),-0.91537 # DEPENDENCYPART_ARC
(0,7),-0.871579 # DEPENDENCYPART_ARC
(0,8),-1.09738 # DEPENDENCYPART_ARC
(0,9),-1.35854 # DEPENDENCYPART_ARC
(0,10),-1.04027 # DEPENDENCYPART_ARC
(0,11),-0.815492 # DEPENDENCYPART_ARC
(0,12),0.582036 # DEPENDENCYPART_ARC
(0,13),-0.897549 # DEPENDENCYPART_ARC
(0,14),-1.43874 # DEPENDENCYPART_ARC
(1,2),-0.126457 # DEPENDENCYPART_ARC
(1,3),-1.63031 # DEPENDENCYPART_ARC
(1,5),-2.03805 # DEPENDENCYPART_ARC
(2,1),-0.0832186 # DEPENDENCYPART_ARC
(2,3),0.237906 # DEPENDENCYPART_ARC
(2,4),0.107833 # DEPENDENCYPART_ARC
(2,5),-0.550067 # DEPENDENCYPART_ARC
(2,8),-0.780646 # DEPENDENCYPART_ARC
(3,1),1.87211 # DEPENDENCYPART_ARC
(3,2),1.0284 # DEPENDENCYPART_ARC
(3,4),1.33444 # DEPENDENCYPART_ARC
(3,5),-0.0767829 # DEPENDENCYPART_ARC
(3,7),-0.428278 # DEPENDENCYPART_ARC
(3,8),-0.379098 # DEPENDENCYPART_ARC
(3,12),-0.82029 # DEPENDENCYPART_ARC
(3,13),-1.08396 # DEPENDENCYPART_ARC
(4,3),-0.00327422 # DEPENDENCYPART_ARC
(4,5),-0.605176 # DEPENDENCYPART_ARC
(4,12),-1.30399 # DEPENDENCYPART_ARC
(5,1),-1.26928 # DEPENDENCYPART_ARC
(5,2),-0.398734 # DEPENDENCYPART_ARC
(5,3),1.45472 # DEPENDENCYPART_ARC
(5,4),-0.440794 # DEPENDENCYPART_ARC
(5,6),0.00560003 # DEPENDENCYPART_ARC
(5,7),-0.164456 # DEPENDENCYPART_ARC
(5,8),-0.50515 # DEPENDENCYPART_ARC
(5,11),-0.85014 # DEPENDENCYPART_ARC
(5,12),0.0242297 # DEPENDENCYPART_ARC
(6,7),-0.24928 # DEPENDENCYPART_ARC
(6,8),-0.585745 # DEPENDENCYPART_ARC
(7,12),-1.12417 # DEPENDENCYPART_ARC
(8,5),-0.59425 # DEPENDENCYPART_ARC
(8,9),1.1673 # DEPENDENCYPART_ARC
(8,11),-0.51968 # DEPENDENCYPART_ARC
(9,4),-0.814597 # DEPENDENCYPART_ARC
(9,10),1.3945 # DEPENDENCYPART_ARC
(10,11),1.46488 # DEPENDENCYPART_ARC
(10,12),-1.68978 # DEPENDENCYPART_ARC
(11,3),-0.505731 # DEPENDENCYPART_ARC
(11,5),-0.8766 # DEPENDENCYPART_ARC
(11,12),-0.711472 # DEPENDENCYPART_ARC
(12,1),-0.425471 # DEPENDENCYPART_ARC
(12,2),-1.52618 # DEPENDENCYPART_ARC
(12,3),-0.178453 # DEPENDENCYPART_ARC
(12,4),-0.730911 # DEPENDENCYPART_ARC
(12,5),0.22287 # DEPENDENCYPART_ARC
(12,6),-0.926387 # DEPENDENCYPART_ARC
(12,7),-0.774372 # DEPENDENCYPART_ARC
(12,8),-0.49384 # DEPENDENCYPART_ARC
(12,9),-0.169585 # DEPENDENCYPART_ARC
(12,11),-0.176049 # DEPENDENCYPART_ARC
(12,13),1.55478 # DEPENDENCYPART_ARC
(12,14),0.0362761 # DEPENDENCYPART_ARC
(13,5),-1.61073 # DEPENDENCYPART_ARC
(13,7),-1.52278 # DEPENDENCYPART_ARC
(13,12),-1.82005 # DEPENDENCYPART_ARC
(13,14),1.62512 # DEPENDENCYPART_ARC
(14,12),-0.673554 # DEPENDENCYPART_ARC
