# _root_ proposamenak pse , pp eta uaren babesa jaso zuen ; eajk eta eak kontra bozkatu zuten , eta iu-eb abstenitu egin zen .
#goldHeads=8,5,2,5,15,7,8,0,8,9,12,15,12,15,18,15,16,0,20,18,20,21,22,
#predictedHeads=8,5,2,5,8,7,8,18,8,9,12,15,12,15,18,15,16,0,20,18,20,20,22,
(0,1),-0.548992 # DEPENDENCYPART_ARC
(0,2),-1.283 # DEPENDENCYPART_ARC
(0,3),-1.08819 # DEPENDENCYPART_ARC
(0,4),-1.19387 # DEPENDENCYPART_ARC
(0,5),-1.23261 # DEPENDENCYPART_ARC
(0,8),0.324258 # DEPENDENCYPART_ARC
(0,9),-1.57982 # DEPENDENCYPART_ARC
(0,10),-0.6034 # DEPENDENCYPART_ARC
(0,11),-1.44543 # DEPENDENCYPART_ARC
(0,12),-1.50987 # DEPENDENCYPART_ARC
(0,14),-1.28551 # DEPENDENCYPART_ARC
(0,15),-0.67049 # DEPENDENCYPART_ARC
(0,16),-1.3514 # DEPENDENCYPART_ARC
(0,17),-1.64844 # DEPENDENCYPART_ARC
(0,18),0.116203 # DEPENDENCYPART_ARC
(0,19),-1.4412 # DEPENDENCYPART_ARC
(0,20),-1.60058 # DEPENDENCYPART_ARC
(0,21),-1.91288 # DEPENDENCYPART_ARC
(0,22),-2.07599 # DEPENDENCYPART_ARC
(0,23),-3.77299 # DEPENDENCYPART_ARC
(1,2),-1.05492 # DEPENDENCYPART_ARC
(1,3),-1.85536 # DEPENDENCYPART_ARC
(2,1),-0.213344 # DEPENDENCYPART_ARC
(2,3),1.93423 # DEPENDENCYPART_ARC
(2,4),0.415004 # DEPENDENCYPART_ARC
(2,7),-0.592092 # DEPENDENCYPART_ARC
(3,1),-0.840472 # DEPENDENCYPART_ARC
(4,2),-1.01232 # DEPENDENCYPART_ARC
(4,3),-0.258657 # DEPENDENCYPART_ARC
(4,5),-0.111043 # DEPENDENCYPART_ARC
(4,6),-0.659726 # DEPENDENCYPART_ARC
(5,1),-0.515546 # DEPENDENCYPART_ARC
(5,2),0.768548 # DEPENDENCYPART_ARC
(5,3),-1.46799 # DEPENDENCYPART_ARC
(5,4),2.54671 # DEPENDENCYPART_ARC
(5,6),1.71573 # DEPENDENCYPART_ARC
(5,7),0.743983 # DEPENDENCYPART_ARC
(5,8),-0.494392 # DEPENDENCYPART_ARC
(5,9),-0.876473 # DEPENDENCYPART_ARC
(5,12),-0.765188 # DEPENDENCYPART_ARC
(5,15),-1.68884 # DEPENDENCYPART_ARC
(5,18),-1.35811 # DEPENDENCYPART_ARC
(5,20),-2.07592 # DEPENDENCYPART_ARC
(5,21),-1.95562 # DEPENDENCYPART_ARC
(6,3),-2.59465 # DEPENDENCYPART_ARC
(6,7),0.13702 # DEPENDENCYPART_ARC
(7,1),-3.40231 # DEPENDENCYPART_ARC
(7,2),-0.574295 # DEPENDENCYPART_ARC
(7,3),-1.3749 # DEPENDENCYPART_ARC
(7,4),0.454685 # DEPENDENCYPART_ARC
(7,5),0.530061 # DEPENDENCYPART_ARC
(7,6),2.06479 # DEPENDENCYPART_ARC
(7,8),-1.65602 # DEPENDENCYPART_ARC
(7,9),-1.14436 # DEPENDENCYPART_ARC
(7,11),-3.68187 # DEPENDENCYPART_ARC
(7,13),-3.94126 # DEPENDENCYPART_ARC
(8,1),0.994996 # DEPENDENCYPART_ARC
(8,2),-0.757632 # DEPENDENCYPART_ARC
(8,3),-1.44833 # DEPENDENCYPART_ARC
(8,4),-0.319314 # DEPENDENCYPART_ARC
(8,5),1.07173 # DEPENDENCYPART_ARC
(8,6),0.0606508 # DEPENDENCYPART_ARC
(8,7),2.40494 # DEPENDENCYPART_ARC
(8,9),1.29276 # DEPENDENCYPART_ARC
(8,11),0.112395 # DEPENDENCYPART_ARC
(8,12),-0.770072 # DEPENDENCYPART_ARC
(8,13),-0.611179 # DEPENDENCYPART_ARC
(8,14),-1.19568 # DEPENDENCYPART_ARC
(8,15),-0.631077 # DEPENDENCYPART_ARC
(8,16),-1.01852 # DEPENDENCYPART_ARC
(8,17),-1.31264 # DEPENDENCYPART_ARC
(8,18),-1.16206 # DEPENDENCYPART_ARC
(8,19),-1.92106 # DEPENDENCYPART_ARC
(8,20),-1.15244 # DEPENDENCYPART_ARC
(8,21),-1.42244 # DEPENDENCYPART_ARC
(8,22),-1.53244 # DEPENDENCYPART_ARC
(9,5),-1.40485 # DEPENDENCYPART_ARC
(9,6),-1.20996 # DEPENDENCYPART_ARC
(9,7),-0.993898 # DEPENDENCYPART_ARC
(9,10),1.13016 # DEPENDENCYPART_ARC
(9,12),-2.01395 # DEPENDENCYPART_ARC
(9,14),-1.13294 # DEPENDENCYPART_ARC
(9,16),-1.07732 # DEPENDENCYPART_ARC
(9,18),-2.18056 # DEPENDENCYPART_ARC
(10,8),-0.0902684 # DEPENDENCYPART_ARC
(10,15),-0.203778 # DEPENDENCYPART_ARC
(10,16),0.0640861 # DEPENDENCYPART_ARC
(10,20),-0.072512 # DEPENDENCYPART_ARC
(10,21),-0.390146 # DEPENDENCYPART_ARC
(11,8),-2.56926 # DEPENDENCYPART_ARC
(11,13),-5.76824 # DEPENDENCYPART_ARC
(12,1),-1.47454 # DEPENDENCYPART_ARC
(12,2),-0.353884 # DEPENDENCYPART_ARC
(12,4),0.216545 # DEPENDENCYPART_ARC
(12,5),-0.763976 # DEPENDENCYPART_ARC
(12,6),-0.577425 # DEPENDENCYPART_ARC
(12,7),-0.543736 # DEPENDENCYPART_ARC
(12,8),0.0837399 # DEPENDENCYPART_ARC
(12,9),-1.17942 # DEPENDENCYPART_ARC
(12,11),2.50883 # DEPENDENCYPART_ARC
(12,13),3.67266 # DEPENDENCYPART_ARC
(12,14),-0.348779 # DEPENDENCYPART_ARC
(12,15),-0.114324 # DEPENDENCYPART_ARC
(12,16),-0.509165 # DEPENDENCYPART_ARC
(12,17),-0.471672 # DEPENDENCYPART_ARC
(12,18),-0.25966 # DEPENDENCYPART_ARC
(12,20),-1.30434 # DEPENDENCYPART_ARC
(12,21),-1.01638 # DEPENDENCYPART_ARC
(13,14),-0.0189847 # DEPENDENCYPART_ARC
(13,15),-3.17068 # DEPENDENCYPART_ARC
(14,12),-0.693322 # DEPENDENCYPART_ARC
(14,15),-0.825585 # DEPENDENCYPART_ARC
(14,17),-0.544838 # DEPENDENCYPART_ARC
(15,1),-0.167936 # DEPENDENCYPART_ARC
(15,2),-1.764 # DEPENDENCYPART_ARC
(15,3),-2.13321 # DEPENDENCYPART_ARC
(15,4),-1.96005 # DEPENDENCYPART_ARC
(15,5),-0.57312 # DEPENDENCYPART_ARC
(15,6),-2.06151 # DEPENDENCYPART_ARC
(15,7),-0.564891 # DEPENDENCYPART_ARC
(15,8),-0.207617 # DEPENDENCYPART_ARC
(15,9),-0.861098 # DEPENDENCYPART_ARC
(15,11),0.861952 # DEPENDENCYPART_ARC
(15,12),0.443309 # DEPENDENCYPART_ARC
(15,13),2.22836 # DEPENDENCYPART_ARC
(15,14),0.874428 # DEPENDENCYPART_ARC
(15,16),1.58551 # DEPENDENCYPART_ARC
(15,17),-0.49596 # DEPENDENCYPART_ARC
(15,18),-0.216224 # DEPENDENCYPART_ARC
(15,19),-1.10974 # DEPENDENCYPART_ARC
(15,20),-0.580743 # DEPENDENCYPART_ARC
(15,21),-0.701094 # DEPENDENCYPART_ARC
(15,22),-1.00782 # DEPENDENCYPART_ARC
(16,11),-1.42751 # DEPENDENCYPART_ARC
(16,13),-0.941032 # DEPENDENCYPART_ARC
(16,14),-0.744264 # DEPENDENCYPART_ARC
(16,17),1.66033 # DEPENDENCYPART_ARC
(16,18),-1.73235 # DEPENDENCYPART_ARC
(16,19),-2.67212 # DEPENDENCYPART_ARC
(16,20),-1.72826 # DEPENDENCYPART_ARC
(16,22),-1.25439 # DEPENDENCYPART_ARC
(17,11),-0.955217 # DEPENDENCYPART_ARC
(17,12),-0.911091 # DEPENDENCYPART_ARC
(17,13),-0.85782 # DEPENDENCYPART_ARC
(17,16),-0.354239 # DEPENDENCYPART_ARC
(17,18),-0.773626 # DEPENDENCYPART_ARC
(18,1),-1.85849 # DEPENDENCYPART_ARC
(18,2),-1.46127 # DEPENDENCYPART_ARC
