# _root_ horren_ondotik , " gatazka-egoeraren_gainetik " , " geure auzolana indartzeko " deia egiten da .
#goldHeads=13,1,2,1,4,5,6,9,10,12,10,13,0,13,14,
#predictedHeads=0,1,2,10,4,5,6,9,10,12,10,13,2,13,14,
(0,1),-1.58914 # DEPENDENCYPART_ARC
(0,2),-1.39647 # DEPENDENCYPART_ARC
(0,3),-0.532777 # DEPENDENCYPART_ARC
(0,4),-0.910546 # DEPENDENCYPART_ARC
(0,5),-1.36667 # DEPENDENCYPART_ARC
(0,6),-1.13205 # DEPENDENCYPART_ARC
(0,7),-1.29888 # DEPENDENCYPART_ARC
(0,9),-1.1773 # DEPENDENCYPART_ARC
(0,10),-0.992158 # DEPENDENCYPART_ARC
(0,11),-1.78762 # DEPENDENCYPART_ARC
(0,12),-0.494072 # DEPENDENCYPART_ARC
(0,13),-1.6037 # DEPENDENCYPART_ARC
(0,14),-1.26975 # DEPENDENCYPART_ARC
(0,15),-1.87598 # DEPENDENCYPART_ARC
(1,2),0.974469 # DEPENDENCYPART_ARC
(1,4),-1.04835 # DEPENDENCYPART_ARC
(1,12),-0.959392 # DEPENDENCYPART_ARC
(2,3),1.30442 # DEPENDENCYPART_ARC
(2,4),-1.0341 # DEPENDENCYPART_ARC
(2,9),-0.353684 # DEPENDENCYPART_ARC
(2,10),-1.41445 # DEPENDENCYPART_ARC
(2,12),-0.483581 # DEPENDENCYPART_ARC
(2,13),-1.01074 # DEPENDENCYPART_ARC
(3,4),-1.14809 # DEPENDENCYPART_ARC
(3,10),-1.83149 # DEPENDENCYPART_ARC
(3,13),-1.64504 # DEPENDENCYPART_ARC
(4,1),-1.71534 # DEPENDENCYPART_ARC
(4,2),-1.08226 # DEPENDENCYPART_ARC
(4,3),-0.676821 # DEPENDENCYPART_ARC
(4,5),1.78906 # DEPENDENCYPART_ARC
(4,6),0.243529 # DEPENDENCYPART_ARC
(4,9),-1.90335 # DEPENDENCYPART_ARC
(4,10),-1.52522 # DEPENDENCYPART_ARC
(4,12),-2.56352 # DEPENDENCYPART_ARC
(4,13),-0.883329 # DEPENDENCYPART_ARC
(4,15),-0.254247 # DEPENDENCYPART_ARC
(5,4),-0.766494 # DEPENDENCYPART_ARC
(5,6),1.35508 # DEPENDENCYPART_ARC
(5,10),-1.49777 # DEPENDENCYPART_ARC
(5,13),-1.49922 # DEPENDENCYPART_ARC
(6,4),-0.742416 # DEPENDENCYPART_ARC
(6,7),1.39197 # DEPENDENCYPART_ARC
(6,9),-0.405806 # DEPENDENCYPART_ARC
(6,10),-0.937223 # DEPENDENCYPART_ARC
(6,12),-0.778738 # DEPENDENCYPART_ARC
(6,13),-1.02085 # DEPENDENCYPART_ARC
(7,9),-1.25217 # DEPENDENCYPART_ARC
(7,10),-1.32169 # DEPENDENCYPART_ARC
(7,13),-1.54791 # DEPENDENCYPART_ARC
(9,1),-2.31519 # DEPENDENCYPART_ARC
(9,2),-1.77044 # DEPENDENCYPART_ARC
(9,4),-2.05621 # DEPENDENCYPART_ARC
(9,6),-1.31156 # DEPENDENCYPART_ARC
(9,8),1.60521 # DEPENDENCYPART_ARC
(9,10),-0.496268 # DEPENDENCYPART_ARC
(9,12),-1.18317 # DEPENDENCYPART_ARC
(9,14),-1.97003 # DEPENDENCYPART_ARC
(9,15),-1.16027 # DEPENDENCYPART_ARC
(10,1),-2.0055 # DEPENDENCYPART_ARC
(10,2),-1.11953 # DEPENDENCYPART_ARC
(10,4),-0.244342 # DEPENDENCYPART_ARC
(10,6),-1.24108 # DEPENDENCYPART_ARC
(10,8),0.237993 # DEPENDENCYPART_ARC
(10,9),2.20829 # DEPENDENCYPART_ARC
(10,11),1.1951 # DEPENDENCYPART_ARC
(10,12),-2.26998 # DEPENDENCYPART_ARC
(10,13),-1.71545 # DEPENDENCYPART_ARC
(10,14),-1.4191 # DEPENDENCYPART_ARC
(11,9),-0.760609 # DEPENDENCYPART_ARC
(11,12),-0.988003 # DEPENDENCYPART_ARC
(11,13),-1.11659 # DEPENDENCYPART_ARC
(12,6),-1.54893 # DEPENDENCYPART_ARC
(12,9),-1.91524 # DEPENDENCYPART_ARC
(12,10),0.779993 # DEPENDENCYPART_ARC
(12,11),-0.52094 # DEPENDENCYPART_ARC
(12,13),-0.149301 # DEPENDENCYPART_ARC
(12,14),-0.638693 # DEPENDENCYPART_ARC
(12,15),-0.488918 # DEPENDENCYPART_ARC
(13,1),-1.16198 # DEPENDENCYPART_ARC
(13,2),-1.42406 # DEPENDENCYPART_ARC
(13,4),-0.595773 # DEPENDENCYPART_ARC
(13,6),-1.66105 # DEPENDENCYPART_ARC
(13,9),-0.0159258 # DEPENDENCYPART_ARC
(13,10),-0.508754 # DEPENDENCYPART_ARC
(13,12),2.17837 # DEPENDENCYPART_ARC
(13,14),0.924955 # DEPENDENCYPART_ARC
(13,15),-0.486392 # DEPENDENCYPART_ARC
(14,4),-1.58602 # DEPENDENCYPART_ARC
(14,9),-0.910517 # DEPENDENCYPART_ARC
(14,12),-0.933468 # DEPENDENCYPART_ARC
(14,15),1.45374 # DEPENDENCYPART_ARC
