# _root_ giza jendea , sustrai eta guzi , zuhaitz bidaiariak gara .
#goldHeads=2,10,2,10,4,5,6,9,10,0,10,
#predictedHeads=2,5,2,5,9,5,6,9,10,0,10,
(0,1),-0.53545 # DEPENDENCYPART_ARC
(0,2),-1.20402 # DEPENDENCYPART_ARC
(0,3),-1.07423 # DEPENDENCYPART_ARC
(0,4),-1.10673 # DEPENDENCYPART_ARC
(0,5),-0.794614 # DEPENDENCYPART_ARC
(0,6),-1.34795 # DEPENDENCYPART_ARC
(0,7),-1.06404 # DEPENDENCYPART_ARC
(0,8),-1.03484 # DEPENDENCYPART_ARC
(0,9),-0.871389 # DEPENDENCYPART_ARC
(0,10),0.0286104 # DEPENDENCYPART_ARC
(0,11),-1.71721 # DEPENDENCYPART_ARC
(1,2),0.39304 # DEPENDENCYPART_ARC
(1,3),-1.31061 # DEPENDENCYPART_ARC
(1,4),-0.925794 # DEPENDENCYPART_ARC
(1,5),-0.810249 # DEPENDENCYPART_ARC
(1,6),-1.00874 # DEPENDENCYPART_ARC
(1,8),-1.14522 # DEPENDENCYPART_ARC
(1,9),-0.968095 # DEPENDENCYPART_ARC
(1,10),-1.20781 # DEPENDENCYPART_ARC
(2,1),1.66992 # DEPENDENCYPART_ARC
(2,3),1.25485 # DEPENDENCYPART_ARC
(2,4),-0.49218 # DEPENDENCYPART_ARC
(2,5),-0.969884 # DEPENDENCYPART_ARC
(2,6),-0.987899 # DEPENDENCYPART_ARC
(2,8),-1.41768 # DEPENDENCYPART_ARC
(2,9),-1.21557 # DEPENDENCYPART_ARC
(2,10),-1.41607 # DEPENDENCYPART_ARC
(2,11),-1.04854 # DEPENDENCYPART_ARC
(3,1),-0.904341 # DEPENDENCYPART_ARC
(3,2),-0.542501 # DEPENDENCYPART_ARC
(3,4),-0.525051 # DEPENDENCYPART_ARC
(3,5),-1.13402 # DEPENDENCYPART_ARC
(3,8),-0.818038 # DEPENDENCYPART_ARC
(3,9),-0.719422 # DEPENDENCYPART_ARC
(4,1),-1.14557 # DEPENDENCYPART_ARC
(4,2),-0.679202 # DEPENDENCYPART_ARC
(4,3),-0.0944361 # DEPENDENCYPART_ARC
(4,5),0.355067 # DEPENDENCYPART_ARC
(4,6),-0.0034564 # DEPENDENCYPART_ARC
(4,7),-0.849328 # DEPENDENCYPART_ARC
(4,8),-1.12855 # DEPENDENCYPART_ARC
(4,9),-0.954592 # DEPENDENCYPART_ARC
(4,10),-1.27128 # DEPENDENCYPART_ARC
(4,11),-1.03306 # DEPENDENCYPART_ARC
(5,1),-0.284545 # DEPENDENCYPART_ARC
(5,2),0.318862 # DEPENDENCYPART_ARC
(5,3),-1.34393 # DEPENDENCYPART_ARC
(5,4),1.77642 # DEPENDENCYPART_ARC
(5,6),0.344891 # DEPENDENCYPART_ARC
(5,7),-0.208674 # DEPENDENCYPART_ARC
(5,8),-0.435801 # DEPENDENCYPART_ARC
(5,9),1.06736 # DEPENDENCYPART_ARC
(5,10),0.0721931 # DEPENDENCYPART_ARC
(6,7),1.69141 # DEPENDENCYPART_ARC
(7,5),-0.866513 # DEPENDENCYPART_ARC
(7,8),-0.849461 # DEPENDENCYPART_ARC
(7,9),-1.34448 # DEPENDENCYPART_ARC
(7,10),-1.01778 # DEPENDENCYPART_ARC
(8,1),-1.85678 # DEPENDENCYPART_ARC
(8,2),-3.14347 # DEPENDENCYPART_ARC
(8,3),-1.95931 # DEPENDENCYPART_ARC
(8,4),-1.35388 # DEPENDENCYPART_ARC
(8,5),-0.922296 # DEPENDENCYPART_ARC
(8,7),-0.154337 # DEPENDENCYPART_ARC
(8,9),1.24569 # DEPENDENCYPART_ARC
(8,10),-0.910328 # DEPENDENCYPART_ARC
(8,11),-0.566291 # DEPENDENCYPART_ARC
(9,1),-0.965378 # DEPENDENCYPART_ARC
(9,2),-1.99259 # DEPENDENCYPART_ARC
(9,3),-1.81801 # DEPENDENCYPART_ARC
(9,4),-0.928428 # DEPENDENCYPART_ARC
(9,5),0.0427088 # DEPENDENCYPART_ARC
(9,7),-1.02558 # DEPENDENCYPART_ARC
(9,8),1.79395 # DEPENDENCYPART_ARC
(9,10),-0.374905 # DEPENDENCYPART_ARC
(9,11),-0.672613 # DEPENDENCYPART_ARC
(10,1),-1.12887 # DEPENDENCYPART_ARC
(10,2),-0.737956 # DEPENDENCYPART_ARC
(10,3),-1.18739 # DEPENDENCYPART_ARC
(10,4),-1.08102 # DEPENDENCYPART_ARC
(10,5),-0.551836 # DEPENDENCYPART_ARC
(10,6),-0.468687 # DEPENDENCYPART_ARC
(10,7),-0.859396 # DEPENDENCYPART_ARC
(10,8),1.13948 # DEPENDENCYPART_ARC
(10,9),1.81233 # DEPENDENCYPART_ARC
(10,11),1.48245 # DEPENDENCYPART_ARC
(11,5),-1.16744 # DEPENDENCYPART_ARC
(11,8),-1.03804 # DEPENDENCYPART_ARC
(11,9),-1.03886 # DEPENDENCYPART_ARC
