# _root_ gainera , ez da kasu honetan bakarrik ezagutzen zientziaren praktika , baina gutxi_batzuek bakarrik ezagutzen dituzte zientzia horren oinarri diren lege eta arauak .
#goldHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
#predictedHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
(0,1),1.39398 # DEPENDENCYPART_ARC
(0,2),-1.36583 # DEPENDENCYPART_ARC
(0,3),-0.923195 # DEPENDENCYPART_ARC
(0,4),-0.575136 # DEPENDENCYPART_ARC
(0,5),-1.18559 # DEPENDENCYPART_ARC
(0,6),-1.71764 # DEPENDENCYPART_ARC
(0,7),-0.981277 # DEPENDENCYPART_ARC
(0,8),-0.657059 # DEPENDENCYPART_ARC
(0,9),-1.2334 # DEPENDENCYPART_ARC
(0,10),-0.833446 # DEPENDENCYPART_ARC
(0,11),-1.09023 # DEPENDENCYPART_ARC
(0,12),1.36092 # DEPENDENCYPART_ARC
(0,14),-1.31714 # DEPENDENCYPART_ARC
(0,15),-0.666846 # DEPENDENCYPART_ARC
(0,16),-0.895142 # DEPENDENCYPART_ARC
(0,17),-1.70891 # DEPENDENCYPART_ARC
(0,18),-1.91308 # DEPENDENCYPART_ARC
(0,19),-1.14314 # DEPENDENCYPART_ARC
(0,20),-1.16485 # DEPENDENCYPART_ARC
(0,21),-2.35974 # DEPENDENCYPART_ARC
(0,22),-1.59311 # DEPENDENCYPART_ARC
(0,23),-2.24672 # DEPENDENCYPART_ARC
(0,24),-3.50248 # DEPENDENCYPART_ARC
(1,2),-1.28784 # DEPENDENCYPART_ARC
(2,13),-1.41923 # DEPENDENCYPART_ARC
(3,2),-0.28985 # DEPENDENCYPART_ARC
(3,5),-0.587828 # DEPENDENCYPART_ARC
(3,10),-1.01223 # DEPENDENCYPART_ARC
(4,3),-0.227402 # DEPENDENCYPART_ARC
(4,5),-0.647395 # DEPENDENCYPART_ARC
(4,7),-1.07268 # DEPENDENCYPART_ARC
(5,2),-1.23015 # DEPENDENCYPART_ARC
(5,3),-0.369583 # DEPENDENCYPART_ARC
(5,4),-0.583238 # DEPENDENCYPART_ARC
(5,6),2.20419 # DEPENDENCYPART_ARC
(5,7),-0.172218 # DEPENDENCYPART_ARC
(5,13),-1.09174 # DEPENDENCYPART_ARC
(6,8),-1.45619 # DEPENDENCYPART_ARC
(6,9),-1.63646 # DEPENDENCYPART_ARC
(6,10),-1.56886 # DEPENDENCYPART_ARC
(6,13),-1.28015 # DEPENDENCYPART_ARC
(7,1),-0.997704 # DEPENDENCYPART_ARC
(7,5),-0.694 # DEPENDENCYPART_ARC
(7,6),-0.259324 # DEPENDENCYPART_ARC
