# _root_ gai ekonomikoetarako komisario pedro_solbes , hala_ere , pozik azaldu zen ebko ekonomiaren hazkunde tasarekin .
#goldHeads=3,1,4,9,4,0,6,9,0,9,12,13,14,9,14,
#predictedHeads=3,1,4,9,4,0,6,9,0,9,12,13,14,9,14,
(0,1),-0.741066 # DEPENDENCYPART_ARC
(0,2),-2.16457 # DEPENDENCYPART_ARC
(0,3),-1.63794 # DEPENDENCYPART_ARC
(0,4),-1.72392 # DEPENDENCYPART_ARC
(0,5),-1.25778 # DEPENDENCYPART_ARC
(0,6),1.59366 # DEPENDENCYPART_ARC
(0,7),-1.18766 # DEPENDENCYPART_ARC
(0,8),-1.18836 # DEPENDENCYPART_ARC
(0,9),0.428118 # DEPENDENCYPART_ARC
(0,10),-1.41288 # DEPENDENCYPART_ARC
(0,11),-1.8679 # DEPENDENCYPART_ARC
(0,12),-1.56291 # DEPENDENCYPART_ARC
(0,13),-1.81199 # DEPENDENCYPART_ARC
(0,14),-2.11953 # DEPENDENCYPART_ARC
(0,15),-2.44202 # DEPENDENCYPART_ARC
(1,2),2.23865 # DEPENDENCYPART_ARC
(1,3),-0.343146 # DEPENDENCYPART_ARC
(1,4),-0.905309 # DEPENDENCYPART_ARC
(1,6),-1.13555 # DEPENDENCYPART_ARC
(1,8),-1.14754 # DEPENDENCYPART_ARC
(1,9),-0.90902 # DEPENDENCYPART_ARC
(1,13),-1.06256 # DEPENDENCYPART_ARC
(2,1),-0.167709 # DEPENDENCYPART_ARC
(2,3),-0.441795 # DEPENDENCYPART_ARC
(2,5),-0.884594 # DEPENDENCYPART_ARC
(3,1),0.385752 # DEPENDENCYPART_ARC
(3,2),0.490853 # DEPENDENCYPART_ARC
(3,4),0.461146 # DEPENDENCYPART_ARC
(3,5),0.00477789 # DEPENDENCYPART_ARC
(3,6),-0.696541 # DEPENDENCYPART_ARC
(3,8),-0.986181 # DEPENDENCYPART_ARC
(3,9),-0.514647 # DEPENDENCYPART_ARC
(3,10),-1.11093 # DEPENDENCYPART_ARC
(3,11),-1.04467 # DEPENDENCYPART_ARC
(3,12),-0.897303 # DEPENDENCYPART_ARC
(3,13),-0.889431 # DEPENDENCYPART_ARC
(3,14),-1.00064 # DEPENDENCYPART_ARC
(3,15),-0.607747 # DEPENDENCYPART_ARC
(4,1),-0.317707 # DEPENDENCYPART_ARC
(4,3),1.16559 # DEPENDENCYPART_ARC
(4,5),2.04039 # DEPENDENCYPART_ARC
(4,9),-1.33489 # DEPENDENCYPART_ARC
(5,3),-0.943687 # DEPENDENCYPART_ARC
(5,4),-0.751035 # DEPENDENCYPART_ARC
(5,9),-0.818717 # DEPENDENCYPART_ARC
(5,14),-1.06411 # DEPENDENCYPART_ARC
(6,5),-0.230203 # DEPENDENCYPART_ARC
(6,7),2.41571 # DEPENDENCYPART_ARC
(6,9),0.242363 # DEPENDENCYPART_ARC
(7,4),-1.27908 # DEPENDENCYPART_ARC
(7,9),-1.3054 # DEPENDENCYPART_ARC
(7,12),-1.6625 # DEPENDENCYPART_ARC
(7,14),-1.72696 # DEPENDENCYPART_ARC
(8,3),-1.06921 # DEPENDENCYPART_ARC
(8,6),-0.625412 # DEPENDENCYPART_ARC
(8,7),-0.000236162 # DEPENDENCYPART_ARC
(8,9),-0.827057 # DEPENDENCYPART_ARC
(8,12),-1.32016 # DEPENDENCYPART_ARC
(8,13),-1.30119 # DEPENDENCYPART_ARC
(8,14),-1.18366 # DEPENDENCYPART_ARC
(9,1),-0.203469 # DEPENDENCYPART_ARC
(9,2),-1.69832 # DEPENDENCYPART_ARC
(9,3),-0.822512 # DEPENDENCYPART_ARC
(9,4),-0.86433 # DEPENDENCYPART_ARC
(9,5),-1.23972 # DEPENDENCYPART_ARC
(9,6),-0.390554 # DEPENDENCYPART_ARC
(9,7),-1.06164 # DEPENDENCYPART_ARC
(9,8),1.15724 # DEPENDENCYPART_ARC
(9,10),1.72151 # DEPENDENCYPART_ARC
(9,11),-0.606795 # DEPENDENCYPART_ARC
(9,12),-0.5057 # DEPENDENCYPART_ARC
(9,13),-0.238926 # DEPENDENCYPART_ARC
(9,14),1.02917 # DEPENDENCYPART_ARC
(10,1),-1.58372 # DEPENDENCYPART_ARC
(10,4),-2.31741 # DEPENDENCYPART_ARC
(10,8),-1.12452 # DEPENDENCYPART_ARC
(10,11),-0.800529 # DEPENDENCYPART_ARC
(10,12),-1.12046 # DEPENDENCYPART_ARC
(10,13),-1.10333 # DEPENDENCYPART_ARC
(10,14),-1.10083 # DEPENDENCYPART_ARC
(11,1),-2.74224 # DEPENDENCYPART_ARC
(11,5),-2.16202 # DEPENDENCYPART_ARC
(11,7),-2.05374 # DEPENDENCYPART_ARC
(11,9),-2.09362 # DEPENDENCYPART_ARC
(11,12),-1.42497 # DEPENDENCYPART_ARC
(11,13),-0.795029 # DEPENDENCYPART_ARC
(11,14),-1.40799 # DEPENDENCYPART_ARC
(12,1),-1.37857 # DEPENDENCYPART_ARC
(12,2),-1.49574 # DEPENDENCYPART_ARC
(12,3),-1.48356 # DEPENDENCYPART_ARC
(12,5),-1.91651 # DEPENDENCYPART_ARC
(12,7),-1.95921 # DEPENDENCYPART_ARC
(12,8),-1.4262 # DEPENDENCYPART_ARC
(12,9),-1.29983 # DEPENDENCYPART_ARC
(12,10),-1.62248 # DEPENDENCYPART_ARC
(12,11),2.1267 # DEPENDENCYPART_ARC
(12,13),0.259876 # DEPENDENCYPART_ARC
(12,14),-1.10922 # DEPENDENCYPART_ARC
(12,15),-0.939318 # DEPENDENCYPART_ARC
(13,1),-1.81733 # DEPENDENCYPART_ARC
(13,2),-2.09843 # DEPENDENCYPART_ARC
(13,3),-1.73997 # DEPENDENCYPART_ARC
(13,7),-2.17274 # DEPENDENCYPART_ARC
(13,8),-1.70788 # DEPENDENCYPART_ARC
(13,11),0.0392511 # DEPENDENCYPART_ARC
(13,12),1.05225 # DEPENDENCYPART_ARC
(13,14),0.115202 # DEPENDENCYPART_ARC
(13,15),-0.0888304 # DEPENDENCYPART_ARC
(14,1),-1.27135 # DEPENDENCYPART_ARC
(14,2),-3.48158 # DEPENDENCYPART_ARC
(14,3),-1.78307 # DEPENDENCYPART_ARC
(14,7),-2.18798 # DEPENDENCYPART_ARC
(14,8),-1.58048 # DEPENDENCYPART_ARC
(14,11),-0.0716948 # DEPENDENCYPART_ARC
