# _root_ erresistentzia talde tipitan antolatzen zen han_hemenka , baina gure jendeak ez zuen apenas harmarik enperadoreari aurre_egiteko , eta bere harmada handiak bere larderia ezarri zuen nahinon .
#goldHeads=4,4,2,8,4,4,6,0,10,12,12,18,12,12,16,12,16,8,20,24,20,23,24,18,24,24,26,
#predictedHeads=4,4,2,8,4,4,6,0,10,12,12,8,12,12,16,18,16,0,20,24,20,23,24,18,24,24,26,
(0,1),0.12479 # DEPENDENCYPART_ARC
(0,2),-1.06482 # DEPENDENCYPART_ARC
(0,3),-1.23731 # DEPENDENCYPART_ARC
(0,4),-0.110238 # DEPENDENCYPART_ARC
(0,5),-0.861078 # DEPENDENCYPART_ARC
(0,6),-0.908464 # DEPENDENCYPART_ARC
(0,7),-1.08257 # DEPENDENCYPART_ARC
(0,8),1.40536 # DEPENDENCYPART_ARC
(0,9),-2.00692 # DEPENDENCYPART_ARC
(0,11),-1.05903 # DEPENDENCYPART_ARC
(0,12),0.112749 # DEPENDENCYPART_ARC
(0,13),-0.962802 # DEPENDENCYPART_ARC
(0,16),-1.65799 # DEPENDENCYPART_ARC
(0,17),-0.984732 # DEPENDENCYPART_ARC
(0,18),0.632742 # DEPENDENCYPART_ARC
(0,21),-2.33794 # DEPENDENCYPART_ARC
(0,24),-0.717518 # DEPENDENCYPART_ARC
(0,25),-1.95705 # DEPENDENCYPART_ARC
(0,26),-1.25933 # DEPENDENCYPART_ARC
(0,27),-3.62776 # DEPENDENCYPART_ARC
(1,2),-1.10158 # DEPENDENCYPART_ARC
(1,3),-2.58207 # DEPENDENCYPART_ARC
(1,5),-2.68124 # DEPENDENCYPART_ARC
(2,1),0.34845 # DEPENDENCYPART_ARC
(2,3),2.49146 # DEPENDENCYPART_ARC
(2,4),-0.81661 # DEPENDENCYPART_ARC
(2,5),-1.00973 # DEPENDENCYPART_ARC
(2,8),-0.584565 # DEPENDENCYPART_ARC
(2,16),-0.91627 # DEPENDENCYPART_ARC
(2,18),-0.760759 # DEPENDENCYPART_ARC
(2,24),-1.32667 # DEPENDENCYPART_ARC
(3,1),-0.616073 # DEPENDENCYPART_ARC
(3,2),-0.0165753 # DEPENDENCYPART_ARC
(3,4),-1.11722 # DEPENDENCYPART_ARC
(4,1),1.52843 # DEPENDENCYPART_ARC
(4,2),1.37972 # DEPENDENCYPART_ARC
(4,3),0.642965 # DEPENDENCYPART_ARC
(4,5),1.32623 # DEPENDENCYPART_ARC
(4,6),0.866767 # DEPENDENCYPART_ARC
(4,7),-0.608654 # DEPENDENCYPART_ARC
(4,8),-0.381723 # DEPENDENCYPART_ARC
(4,9),-0.728628 # DEPENDENCYPART_ARC
(4,10),-0.657898 # DEPENDENCYPART_ARC
(4,12),-0.675494 # DEPENDENCYPART_ARC
(4,13),-0.598023 # DEPENDENCYPART_ARC
