# _root_ cgtko jean_marc_philipo idazkariak , aldiz , begi_onez hartu zituen zerga murrizkeak .
#goldHeads=3,3,8,3,0,5,8,0,8,11,0,11,
#predictedHeads=3,3,8,3,0,5,8,0,8,11,8,11,
(0,1),-0.689231 # DEPENDENCYPART_ARC
(0,2),-0.803231 # DEPENDENCYPART_ARC
(0,3),-1.49796 # DEPENDENCYPART_ARC
(0,4),-1.33876 # DEPENDENCYPART_ARC
(0,5),1.79966 # DEPENDENCYPART_ARC
(0,6),-1.27269 # DEPENDENCYPART_ARC
(0,7),-1.03806 # DEPENDENCYPART_ARC
(0,8),-0.127889 # DEPENDENCYPART_ARC
(0,9),-1.59873 # DEPENDENCYPART_ARC
(0,10),-1.71159 # DEPENDENCYPART_ARC
(0,11),-1.54664 # DEPENDENCYPART_ARC
(0,12),-1.96764 # DEPENDENCYPART_ARC
(1,2),-1.79923 # DEPENDENCYPART_ARC
(1,3),-1.55935 # DEPENDENCYPART_ARC
(2,1),1.19133 # DEPENDENCYPART_ARC
(2,3),0.348821 # DEPENDENCYPART_ARC
(2,8),-2.33252 # DEPENDENCYPART_ARC
(2,10),-0.630229 # DEPENDENCYPART_ARC
(3,1),1.85732 # DEPENDENCYPART_ARC
(3,2),2.79664 # DEPENDENCYPART_ARC
(3,4),1.40106 # DEPENDENCYPART_ARC
(3,5),-0.232815 # DEPENDENCYPART_ARC
(3,6),-0.630383 # DEPENDENCYPART_ARC
(3,7),-1.73032 # DEPENDENCYPART_ARC
(3,8),-1.72622 # DEPENDENCYPART_ARC
(3,9),-2.37992 # DEPENDENCYPART_ARC
(3,10),-0.758198 # DEPENDENCYPART_ARC
(3,11),-1.94018 # DEPENDENCYPART_ARC
(3,12),-1.01138 # DEPENDENCYPART_ARC
(4,3),-0.78637 # DEPENDENCYPART_ARC
(4,8),-0.96014 # DEPENDENCYPART_ARC
(4,10),-1.33602 # DEPENDENCYPART_ARC
(4,11),-1.29798 # DEPENDENCYPART_ARC
(5,4),0.230815 # DEPENDENCYPART_ARC
(5,6),1.27538 # DEPENDENCYPART_ARC
(5,8),-0.441797 # DEPENDENCYPART_ARC
(5,11),-1.61266 # DEPENDENCYPART_ARC
(6,8),-1.31317 # DEPENDENCYPART_ARC
(6,10),-1.66524 # DEPENDENCYPART_ARC
(6,11),-1.54646 # DEPENDENCYPART_ARC
(7,3),-1.12427 # DEPENDENCYPART_ARC
(7,5),-0.533465 # DEPENDENCYPART_ARC
(7,6),0.0429136 # DEPENDENCYPART_ARC
(7,8),-0.418598 # DEPENDENCYPART_ARC
(7,10),-0.750155 # DEPENDENCYPART_ARC
(8,1),-1.65354 # DEPENDENCYPART_ARC
(8,2),-0.642638 # DEPENDENCYPART_ARC
(8,3),0.146759 # DEPENDENCYPART_ARC
(8,4),-1.35242 # DEPENDENCYPART_ARC
(8,5),-0.5589 # DEPENDENCYPART_ARC
(8,6),-1.16031 # DEPENDENCYPART_ARC
(8,7),0.912797 # DEPENDENCYPART_ARC
(8,9),1.46491 # DEPENDENCYPART_ARC
(8,10),0.182929 # DEPENDENCYPART_ARC
(8,11),0.959773 # DEPENDENCYPART_ARC
(9,3),-1.76423 # DEPENDENCYPART_ARC
(9,7),-1.11116 # DEPENDENCYPART_ARC
(9,8),-1.40591 # DEPENDENCYPART_ARC
(9,10),-0.781523 # DEPENDENCYPART_ARC
(9,11),0.274336 # DEPENDENCYPART_ARC
(10,1),-1.84194 # DEPENDENCYPART_ARC
(10,2),-1.67156 # DEPENDENCYPART_ARC
(10,3),-1.62542 # DEPENDENCYPART_ARC
(10,4),-1.64301 # DEPENDENCYPART_ARC
(10,6),-1.49961 # DEPENDENCYPART_ARC
(10,7),-1.11887 # DEPENDENCYPART_ARC
(10,8),0.496773 # DEPENDENCYPART_ARC
(10,9),-0.231732 # DEPENDENCYPART_ARC
(10,11),0.702995 # DEPENDENCYPART_ARC
(10,12),-0.262417 # DEPENDENCYPART_ARC
(11,1),-3.00317 # DEPENDENCYPART_ARC
(11,2),-1.62225 # DEPENDENCYPART_ARC
(11,3),-2.05745 # DEPENDENCYPART_ARC
(11,4),-0.983954 # DEPENDENCYPART_ARC
(11,5),-0.728639 # DEPENDENCYPART_ARC
(11,6),-1.16032 # DEPENDENCYPART_ARC
(11,7),0.218441 # DEPENDENCYPART_ARC
(11,8),-0.86783 # DEPENDENCYPART_ARC
(11,9),-1.75217 # DEPENDENCYPART_ARC
(11,10),2.08666 # DEPENDENCYPART_ARC
(11,12),1.38007 # DEPENDENCYPART_ARC
(12,10),-0.810849 # DEPENDENCYPART_ARC
(12,11),-0.591285 # DEPENDENCYPART_ARC
