# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,3,7,3,6,7,10,7,8,0,12,14,12,10,0,17,10,17,
(0,1),-1.10825 # DEPENDENCYPART_ARC
(0,2),-1.33295 # DEPENDENCYPART_ARC
(0,3),-1.01671 # DEPENDENCYPART_ARC
(0,4),-1.22078 # DEPENDENCYPART_ARC
(0,5),-1.21348 # DEPENDENCYPART_ARC
(0,7),-0.814632 # DEPENDENCYPART_ARC
(0,8),-1.72283 # DEPENDENCYPART_ARC
(0,9),-1.57398 # DEPENDENCYPART_ARC
(0,10),0.250529 # DEPENDENCYPART_ARC
(0,11),-1.84104 # DEPENDENCYPART_ARC
(0,12),-1.65086 # DEPENDENCYPART_ARC
(0,13),-2.14904 # DEPENDENCYPART_ARC
(0,14),-1.41258 # DEPENDENCYPART_ARC
(0,15),1.90855 # DEPENDENCYPART_ARC
(0,16),-1.30211 # DEPENDENCYPART_ARC
(0,17),0.259499 # DEPENDENCYPART_ARC
(0,18),-3.02294 # DEPENDENCYPART_ARC
(1,2),-0.693955 # DEPENDENCYPART_ARC
(1,3),-0.627137 # DEPENDENCYPART_ARC
(1,4),-1.13644 # DEPENDENCYPART_ARC
(1,5),-0.810996 # DEPENDENCYPART_ARC
(1,6),-1.39247 # DEPENDENCYPART_ARC
(1,7),-2.92152 # DEPENDENCYPART_ARC
(1,8),-1.69012 # DEPENDENCYPART_ARC
(1,10),-1.7137 # DEPENDENCYPART_ARC
(2,1),-0.687217 # DEPENDENCYPART_ARC
(2,7),-1.02958 # DEPENDENCYPART_ARC
(3,1),-2.27104 # DEPENDENCYPART_ARC
(3,2),-0.607472 # DEPENDENCYPART_ARC
(3,4),1.93984 # DEPENDENCYPART_ARC
(3,5),0.12964 # DEPENDENCYPART_ARC
(3,6),-0.283131 # DEPENDENCYPART_ARC
(4,1),-3.42173 # DEPENDENCYPART_ARC
(4,2),-1.60075 # DEPENDENCYPART_ARC
(4,3),-0.129011 # DEPENDENCYPART_ARC
(4,5),-0.549416 # DEPENDENCYPART_ARC
(4,6),-1.13467 # DEPENDENCYPART_ARC
(5,1),-2.59696 # DEPENDENCYPART_ARC
(5,2),-1.63122 # DEPENDENCYPART_ARC
(5,3),0.279328 # DEPENDENCYPART_ARC
(5,4),0.584998 # DEPENDENCYPART_ARC
(5,6),-1.08951 # DEPENDENCYPART_ARC
(5,8),-2.73526 # DEPENDENCYPART_ARC
(5,10),-1.79426 # DEPENDENCYPART_ARC
(5,11),-2.19072 # DEPENDENCYPART_ARC
(5,17),-2.87428 # DEPENDENCYPART_ARC
(6,1),-1.64646 # DEPENDENCYPART_ARC
(6,2),-1.84748 # DEPENDENCYPART_ARC
