# _root_ hasieran bazirudien hegan_egitera zihoala , baina laster_egin zuen goitik_behera , harriak bezala
#goldHeads=2,6,4,2,4,0,6,7,7,9,7,11,
#predictedHeads=2,4,4,6,4,0,6,7,7,9,7,11,
(0,1),-0.693015 # DEPENDENCYPART_ARC
(0,2),-0.762114 # DEPENDENCYPART_ARC
(0,3),-1.34197 # DEPENDENCYPART_ARC
(0,4),-1.62127 # DEPENDENCYPART_ARC
(0,5),-0.972361 # DEPENDENCYPART_ARC
(0,6),1.20032 # DEPENDENCYPART_ARC
(0,7),0.115602 # DEPENDENCYPART_ARC
(0,8),-1.26573 # DEPENDENCYPART_ARC
(0,9),-2.10114 # DEPENDENCYPART_ARC
(0,10),-0.767534 # DEPENDENCYPART_ARC
(0,11),-1.19196 # DEPENDENCYPART_ARC
(0,12),-0.807624 # DEPENDENCYPART_ARC
(1,2),-0.873703 # DEPENDENCYPART_ARC
(1,3),-1.94535 # DEPENDENCYPART_ARC
(1,4),-1.41182 # DEPENDENCYPART_ARC
(1,7),-2.35656 # DEPENDENCYPART_ARC
(2,1),2.74487 # DEPENDENCYPART_ARC
(2,3),0.000378105 # DEPENDENCYPART_ARC
(2,4),-0.467284 # DEPENDENCYPART_ARC
(2,5),-0.113075 # DEPENDENCYPART_ARC
(2,6),-0.529014 # DEPENDENCYPART_ARC
(2,7),0.361289 # DEPENDENCYPART_ARC
(2,8),-1.51773 # DEPENDENCYPART_ARC
(2,9),1.24537 # DEPENDENCYPART_ARC
(2,11),-0.88819 # DEPENDENCYPART_ARC
(3,1),0.168579 # DEPENDENCYPART_ARC
(3,2),-0.122932 # DEPENDENCYPART_ARC
(3,4),0.730632 # DEPENDENCYPART_ARC
(3,6),-0.785859 # DEPENDENCYPART_ARC
(3,7),-2.19182 # DEPENDENCYPART_ARC
(3,8),-2.34951 # DEPENDENCYPART_ARC
(3,9),-1.40444 # DEPENDENCYPART_ARC
(3,11),-1.8082 # DEPENDENCYPART_ARC
(4,1),0.911778 # DEPENDENCYPART_ARC
(4,2),0.320597 # DEPENDENCYPART_ARC
(4,3),2.29959 # DEPENDENCYPART_ARC
(4,5),1.23729 # DEPENDENCYPART_ARC
(4,6),-0.0317356 # DEPENDENCYPART_ARC
(4,7),-0.587825 # DEPENDENCYPART_ARC
(4,8),-1.22345 # DEPENDENCYPART_ARC
(4,9),0.135327 # DEPENDENCYPART_ARC
(4,11),-1.97908 # DEPENDENCYPART_ARC
(5,2),-0.744932 # DEPENDENCYPART_ARC
(5,3),-0.866946 # DEPENDENCYPART_ARC
(5,4),-0.146812 # DEPENDENCYPART_ARC
(5,6),-0.452186 # DEPENDENCYPART_ARC
(5,7),-1.03235 # DEPENDENCYPART_ARC
(6,1),-2.00138 # DEPENDENCYPART_ARC
(6,2),0.257775 # DEPENDENCYPART_ARC
(6,3),-0.345082 # DEPENDENCYPART_ARC
(6,4),0.468701 # DEPENDENCYPART_ARC
(6,5),-0.206405 # DEPENDENCYPART_ARC
(6,7),1.10838 # DEPENDENCYPART_ARC
(6,8),-0.710786 # DEPENDENCYPART_ARC
(6,9),0.170207 # DEPENDENCYPART_ARC
(6,10),-0.236437 # DEPENDENCYPART_ARC
(6,11),-0.875556 # DEPENDENCYPART_ARC
(7,1),-0.834886 # DEPENDENCYPART_ARC
(7,2),-0.979614 # DEPENDENCYPART_ARC
(7,3),0.453987 # DEPENDENCYPART_ARC
(7,4),-0.392132 # DEPENDENCYPART_ARC
(7,6),-0.667896 # DEPENDENCYPART_ARC
(7,8),1.79178 # DEPENDENCYPART_ARC
(7,9),1.8435 # DEPENDENCYPART_ARC
(7,11),0.115847 # DEPENDENCYPART_ARC
(8,1),-2.16278 # DEPENDENCYPART_ARC
(8,6),-1.27697 # DEPENDENCYPART_ARC
(8,9),-1.2174 # DEPENDENCYPART_ARC
(8,11),-1.26526 # DEPENDENCYPART_ARC
(8,12),-0.596814 # DEPENDENCYPART_ARC
(9,1),-5.77395 # DEPENDENCYPART_ARC
(9,2),-4.46765 # DEPENDENCYPART_ARC
(9,3),-2.52114 # DEPENDENCYPART_ARC
(9,4),-4.47972 # DEPENDENCYPART_ARC
(9,5),-1.55841 # DEPENDENCYPART_ARC
(9,6),-0.895554 # DEPENDENCYPART_ARC
(9,7),-1.98841 # DEPENDENCYPART_ARC
(9,8),-1.72223 # DEPENDENCYPART_ARC
(9,10),1.35477 # DEPENDENCYPART_ARC
(9,11),-1.54652 # DEPENDENCYPART_ARC
(9,12),-0.590805 # DEPENDENCYPART_ARC
(10,2),-0.63049 # DEPENDENCYPART_ARC
(10,3),-0.744564 # DEPENDENCYPART_ARC
(10,4),-0.849722 # DEPENDENCYPART_ARC
(10,6),-0.687381 # DEPENDENCYPART_ARC
(10,7),-0.315865 # DEPENDENCYPART_ARC
(10,8),-0.900259 # DEPENDENCYPART_ARC
(10,9),-0.145427 # DEPENDENCYPART_ARC
(10,11),-0.543521 # DEPENDENCYPART_ARC
(11,1),-3.78466 # DEPENDENCYPART_ARC
(11,4),-2.90442 # DEPENDENCYPART_ARC
(11,5),-1.60398 # DEPENDENCYPART_ARC
(11,6),-0.878601 # DEPENDENCYPART_ARC
(11,7),-1.1632 # DEPENDENCYPART_ARC
(11,9),-0.610232 # DEPENDENCYPART_ARC
(11,10),-0.026032 # DEPENDENCYPART_ARC
(11,12),0.536251 # DEPENDENCYPART_ARC
(12,9),-1.307 # DEPENDENCYPART_ARC
(12,11),-0.598739 # DEPENDENCYPART_ARC
