# _root_ zergatik oroitu behar_zuen nitaz , bere bizitzan_zehar , gainean eta azpian izandako ehundaka haietariko beste bat gehiago ez banintz bezala ? .
#goldHeads=3,3,0,2,4,7,3,7,10,12,10,16,14,16,16,19,16,19,3,19,20,21,
#predictedHeads=2,3,0,2,4,7,3,7,10,2,10,14,12,15,16,17,19,19,10,19,20,21,
(0,1),0.164404 # DEPENDENCYPART_ARC
(0,2),-0.251465 # DEPENDENCYPART_ARC
(0,3),1.19333 # DEPENDENCYPART_ARC
(0,4),-0.857657 # DEPENDENCYPART_ARC
(0,5),-0.510448 # DEPENDENCYPART_ARC
(0,7),-1.14013 # DEPENDENCYPART_ARC
(0,8),-0.580522 # DEPENDENCYPART_ARC
(0,9),-0.827329 # DEPENDENCYPART_ARC
(0,10),-0.82696 # DEPENDENCYPART_ARC
(0,11),-0.88967 # DEPENDENCYPART_ARC
(0,12),-0.877536 # DEPENDENCYPART_ARC
(0,13),-1.51148 # DEPENDENCYPART_ARC
(0,14),-1.83999 # DEPENDENCYPART_ARC
(0,15),-1.07184 # DEPENDENCYPART_ARC
(0,16),-1.39208 # DEPENDENCYPART_ARC
(0,17),-1.73155 # DEPENDENCYPART_ARC
(0,18),-0.543097 # DEPENDENCYPART_ARC
(0,19),-0.669419 # DEPENDENCYPART_ARC
(0,20),-0.319467 # DEPENDENCYPART_ARC
(0,21),-2.29955 # DEPENDENCYPART_ARC
(0,22),-2.27015 # DEPENDENCYPART_ARC
(2,1),0.960611 # DEPENDENCYPART_ARC
(2,3),-0.147198 # DEPENDENCYPART_ARC
(2,4),-0.128338 # DEPENDENCYPART_ARC
(2,5),-0.463525 # DEPENDENCYPART_ARC
(2,6),-1.25508 # DEPENDENCYPART_ARC
(2,7),0.378214 # DEPENDENCYPART_ARC
(2,8),-0.63868 # DEPENDENCYPART_ARC
(2,9),-0.673757 # DEPENDENCYPART_ARC
(2,10),-0.284622 # DEPENDENCYPART_ARC
(2,11),-1.22906 # DEPENDENCYPART_ARC
(2,12),-1.0025 # DEPENDENCYPART_ARC
(2,13),-0.767358 # DEPENDENCYPART_ARC
(2,19),-1.30008 # DEPENDENCYPART_ARC
(3,1),0.419534 # DEPENDENCYPART_ARC
(3,2),1.69267 # DEPENDENCYPART_ARC
(3,7),0.577331 # DEPENDENCYPART_ARC
(3,9),0.0788119 # DEPENDENCYPART_ARC
(3,10),-0.516265 # DEPENDENCYPART_ARC
(3,11),-0.556304 # DEPENDENCYPART_ARC
(3,12),-1.75179 # DEPENDENCYPART_ARC
(3,18),-0.975679 # DEPENDENCYPART_ARC
(4,5),0.908656 # DEPENDENCYPART_ARC
(5,2),-0.576742 # DEPENDENCYPART_ARC
(5,3),-0.609294 # DEPENDENCYPART_ARC
(5,7),-0.755196 # DEPENDENCYPART_ARC
(5,9),-0.666484 # DEPENDENCYPART_ARC
(5,10),-0.956514 # DEPENDENCYPART_ARC
(5,12),-1.1244 # DEPENDENCYPART_ARC
(5,13),-1.14999 # DEPENDENCYPART_ARC
(5,15),-1.14674 # DEPENDENCYPART_ARC
(5,17),-1.20226 # DEPENDENCYPART_ARC
(6,5),-0.381939 # DEPENDENCYPART_ARC
(7,2),-1.7299 # DEPENDENCYPART_ARC
(7,3),-1.76343 # DEPENDENCYPART_ARC
(7,4),-1.70027 # DEPENDENCYPART_ARC
(7,5),-1.17153 # DEPENDENCYPART_ARC
(7,6),1.04374 # DEPENDENCYPART_ARC
(7,8),1.16081 # DEPENDENCYPART_ARC
(7,9),-1.53011 # DEPENDENCYPART_ARC
(7,10),-1.31881 # DEPENDENCYPART_ARC
(7,11),-2.21317 # DEPENDENCYPART_ARC
(7,12),-1.77314 # DEPENDENCYPART_ARC
(7,13),-2.82171 # DEPENDENCYPART_ARC
(7,15),-1.70781 # DEPENDENCYPART_ARC
(7,16),-2.46659 # DEPENDENCYPART_ARC
(7,17),-4.83734 # DEPENDENCYPART_ARC
(7,19),-1.16556 # DEPENDENCYPART_ARC
(8,3),-1.1203 # DEPENDENCYPART_ARC
(8,7),-0.216466 # DEPENDENCYPART_ARC
(8,9),-0.36047 # DEPENDENCYPART_ARC
(8,12),-0.580393 # DEPENDENCYPART_ARC
(8,13),-0.95451 # DEPENDENCYPART_ARC
(8,17),-1.17457 # DEPENDENCYPART_ARC
(9,2),-2.47478 # DEPENDENCYPART_ARC
(9,3),-2.62455 # DEPENDENCYPART_ARC
(9,5),-2.02426 # DEPENDENCYPART_ARC
(9,6),-0.609363 # DEPENDENCYPART_ARC
(9,7),-1.62884 # DEPENDENCYPART_ARC
(9,8),-0.212055 # DEPENDENCYPART_ARC
(9,10),-0.805581 # DEPENDENCYPART_ARC
(9,11),-2.07942 # DEPENDENCYPART_ARC
(9,13),-2.62893 # DEPENDENCYPART_ARC
(9,15),-2.07774 # DEPENDENCYPART_ARC
(9,16),-2.63654 # DEPENDENCYPART_ARC
(9,17),-3.96905 # DEPENDENCYPART_ARC
(9,19),-2.13654 # DEPENDENCYPART_ARC
(10,2),-1.16472 # DEPENDENCYPART_ARC
(10,3),-1.04786 # DEPENDENCYPART_ARC
(10,5),-1.7091 # DEPENDENCYPART_ARC
(10,7),0.462333 # DEPENDENCYPART_ARC
(10,8),-1.37202 # DEPENDENCYPART_ARC
(10,9),1.79623 # DEPENDENCYPART_ARC
(10,11),2.89415 # DEPENDENCYPART_ARC
(10,12),-0.598452 # DEPENDENCYPART_ARC
(10,13),-0.316228 # DEPENDENCYPART_ARC
(10,16),-0.244282 # DEPENDENCYPART_ARC
(10,19),0.218958 # DEPENDENCYPART_ARC
(11,2),-2.89827 # DEPENDENCYPART_ARC
(11,5),-2.79837 # DEPENDENCYPART_ARC
(11,7),-2.82266 # DEPENDENCYPART_ARC
(11,8),-2.28802 # DEPENDENCYPART_ARC
(11,9),-3.34756 # DEPENDENCYPART_ARC
(11,10),-0.536824 # DEPENDENCYPART_ARC
(11,12),-0.920997 # DEPENDENCYPART_ARC
(11,13),-1.55488 # DEPENDENCYPART_ARC
(11,14),-3.45052 # DEPENDENCYPART_ARC
(11,15),-1.58807 # DEPENDENCYPART_ARC
(11,16),-2.16186 # DEPENDENCYPART_ARC
(11,17),-3.55228 # DEPENDENCYPART_ARC
(11,19),-1.81631 # DEPENDENCYPART_ARC
(11,22),-1.48426 # DEPENDENCYPART_ARC
(12,2),-1.5569 # DEPENDENCYPART_ARC
(12,3),-2.18356 # DEPENDENCYPART_ARC
(12,4),-0.835629 # DEPENDENCYPART_ARC
(12,5),-1.90466 # DEPENDENCYPART_ARC
(12,6),-1.93732 # DEPENDENCYPART_ARC
(12,7),0.184775 # DEPENDENCYPART_ARC
(12,8),-1.80939 # DEPENDENCYPART_ARC
(12,9),0.0992746 # DEPENDENCYPART_ARC
