# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,0,4,5,10,10,10,11,4,13,14,11,14,14,16,0,23,19,23,23,11,23,
(0,1),-0.708139 # DEPENDENCYPART_ARC
(0,2),-0.343791 # DEPENDENCYPART_ARC
(0,3),-0.673012 # DEPENDENCYPART_ARC
(0,4),0.047342 # DEPENDENCYPART_ARC
(0,5),-1.17804 # DEPENDENCYPART_ARC
(0,6),-0.930585 # DEPENDENCYPART_ARC
(0,8),-0.729031 # DEPENDENCYPART_ARC
(0,9),-0.969794 # DEPENDENCYPART_ARC
(0,10),-1.18229 # DEPENDENCYPART_ARC
(0,11),-0.381285 # DEPENDENCYPART_ARC
(0,13),-1.17689 # DEPENDENCYPART_ARC
(0,14),-1.00921 # DEPENDENCYPART_ARC
(0,15),-1.32621 # DEPENDENCYPART_ARC
(0,16),-1.59688 # DEPENDENCYPART_ARC
(0,17),-1.59682 # DEPENDENCYPART_ARC
(0,18),0.812002 # DEPENDENCYPART_ARC
(0,20),-1.64765 # DEPENDENCYPART_ARC
(0,21),-1.20878 # DEPENDENCYPART_ARC
(0,22),-1.35694 # DEPENDENCYPART_ARC
(0,23),-2.8405 # DEPENDENCYPART_ARC
(0,24),-3.80069 # DEPENDENCYPART_ARC
(1,2),-0.817531 # DEPENDENCYPART_ARC
(2,1),1.9507 # DEPENDENCYPART_ARC
(2,3),0.0754544 # DEPENDENCYPART_ARC
(2,5),-1.527 # DEPENDENCYPART_ARC
(2,11),-0.97549 # DEPENDENCYPART_ARC
(3,2),-0.432573 # DEPENDENCYPART_ARC
(3,4),-0.656512 # DEPENDENCYPART_ARC
(3,6),-0.303558 # DEPENDENCYPART_ARC
(3,21),-0.97629 # DEPENDENCYPART_ARC
(3,22),-1.01073 # DEPENDENCYPART_ARC
(4,1),0.00320444 # DEPENDENCYPART_ARC
(4,2),1.57621 # DEPENDENCYPART_ARC
(4,3),1.11746 # DEPENDENCYPART_ARC
(4,5),2.14816 # DEPENDENCYPART_ARC
(4,6),-0.50292 # DEPENDENCYPART_ARC
(4,7),-0.377725 # DEPENDENCYPART_ARC
(4,8),-0.21464 # DEPENDENCYPART_ARC
(4,9),-1.09436 # DEPENDENCYPART_ARC
(4,10),-0.296259 # DEPENDENCYPART_ARC
(4,11),-0.171459 # DEPENDENCYPART_ARC
(4,12),-2.06865 # DEPENDENCYPART_ARC
(4,13),-1.15094 # DEPENDENCYPART_ARC
(4,14),-1.02574 # DEPENDENCYPART_ARC
(4,15),-0.666003 # DEPENDENCYPART_ARC
(4,16),-0.319076 # DEPENDENCYPART_ARC
(4,19),-2.09357 # DEPENDENCYPART_ARC
(4,23),-0.782979 # DEPENDENCYPART_ARC
(5,2),-0.718457 # DEPENDENCYPART_ARC
(5,3),-0.787755 # DEPENDENCYPART_ARC
(5,6),1.2279 # DEPENDENCYPART_ARC
(5,7),-1.98894 # DEPENDENCYPART_ARC
(5,8),-1.56724 # DEPENDENCYPART_ARC
(5,9),-0.967175 # DEPENDENCYPART_ARC
(5,11),-1.47662 # DEPENDENCYPART_ARC
(6,4),-0.254782 # DEPENDENCYPART_ARC
(6,5),-0.0607963 # DEPENDENCYPART_ARC
(6,7),-0.816981 # DEPENDENCYPART_ARC
(7,1),-0.948206 # DEPENDENCYPART_ARC
(7,4),-1.25838 # DEPENDENCYPART_ARC
(7,5),-1.92747 # DEPENDENCYPART_ARC
(7,6),-0.375363 # DEPENDENCYPART_ARC
