# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,9,12,15,16,9,16,17,18,0,20,21,
(0,1),-1.00387 # DEPENDENCYPART_ARC
(0,2),-1.80895 # DEPENDENCYPART_ARC
(0,3),-0.405575 # DEPENDENCYPART_ARC
(0,5),-2.44695 # DEPENDENCYPART_ARC
(0,6),-0.0522599 # DEPENDENCYPART_ARC
(0,7),-1.46275 # DEPENDENCYPART_ARC
(0,8),-1.11317 # DEPENDENCYPART_ARC
(0,9),0.549436 # DEPENDENCYPART_ARC
(0,13),-1.64327 # DEPENDENCYPART_ARC
(0,16),-2.81635 # DEPENDENCYPART_ARC
(0,17),-1.7395 # DEPENDENCYPART_ARC
(0,18),-3.76828 # DEPENDENCYPART_ARC
(0,19),-1.36684 # DEPENDENCYPART_ARC
(0,20),0.0140496 # DEPENDENCYPART_ARC
(0,21),-1.71646 # DEPENDENCYPART_ARC
(0,22),-3.77333 # DEPENDENCYPART_ARC
(1,2),2.0506 # DEPENDENCYPART_ARC
(1,3),-0.672482 # DEPENDENCYPART_ARC
(1,4),-1.04333 # DEPENDENCYPART_ARC
(1,5),-0.991712 # DEPENDENCYPART_ARC
(1,7),-1.78866 # DEPENDENCYPART_ARC
(2,3),-0.925808 # DEPENDENCYPART_ARC
(2,4),-1.46615 # DEPENDENCYPART_ARC
(2,16),-1.61919 # DEPENDENCYPART_ARC
(2,20),-1.58658 # DEPENDENCYPART_ARC
(3,1),0.534163 # DEPENDENCYPART_ARC
(3,2),-1.79 # DEPENDENCYPART_ARC
(3,4),-0.947447 # DEPENDENCYPART_ARC
(3,5),-1.78921 # DEPENDENCYPART_ARC
(3,7),-2.49747 # DEPENDENCYPART_ARC
(4,1),-0.23539 # DEPENDENCYPART_ARC
(4,2),-1.27692 # DEPENDENCYPART_ARC
(4,3),-0.233195 # DEPENDENCYPART_ARC
(4,5),2.09913 # DEPENDENCYPART_ARC
(4,7),-1.37233 # DEPENDENCYPART_ARC
(4,10),-1.16889 # DEPENDENCYPART_ARC
(4,11),-1.0979 # DEPENDENCYPART_ARC
(5,1),-0.786604 # DEPENDENCYPART_ARC
(5,3),-0.528076 # DEPENDENCYPART_ARC
(5,4),0.528557 # DEPENDENCYPART_ARC
(5,6),-1.71748 # DEPENDENCYPART_ARC
(5,7),-0.441622 # DEPENDENCYPART_ARC
(6,1),0.995688 # DEPENDENCYPART_ARC
(6,2),-0.118996 # DEPENDENCYPART_ARC
(6,3),1.59285 # DEPENDENCYPART_ARC
(6,4),1.30967 # DEPENDENCYPART_ARC
(6,5),0.385322 # DEPENDENCYPART_ARC
(6,7),1.29094 # DEPENDENCYPART_ARC
(6,8),-0.277699 # DEPENDENCYPART_ARC
(6,9),-0.133665 # DEPENDENCYPART_ARC
(6,10),-1.86481 # DEPENDENCYPART_ARC
(6,11),-0.209287 # DEPENDENCYPART_ARC
(6,12),-0.402646 # DEPENDENCYPART_ARC
(6,13),-0.995065 # DEPENDENCYPART_ARC
(6,14),-1.35161 # DEPENDENCYPART_ARC
(6,15),-0.502942 # DEPENDENCYPART_ARC
(6,16),-1.00538 # DEPENDENCYPART_ARC
(6,17),-0.782132 # DEPENDENCYPART_ARC
(6,20),-1.71953 # DEPENDENCYPART_ARC
(6,21),-1.70465 # DEPENDENCYPART_ARC
(7,1),-0.371982 # DEPENDENCYPART_ARC
(7,3),-0.651189 # DEPENDENCYPART_ARC
(7,4),-0.0467319 # DEPENDENCYPART_ARC
(7,8),1.60004 # DEPENDENCYPART_ARC
(7,9),-1.20724 # DEPENDENCYPART_ARC
(7,13),-1.29435 # DEPENDENCYPART_ARC
(7,16),-2.04035 # DEPENDENCYPART_ARC
(8,6),-0.565353 # DEPENDENCYPART_ARC
(8,7),-0.50033 # DEPENDENCYPART_ARC
(8,9),-0.731339 # DEPENDENCYPART_ARC
(9,1),-0.131122 # DEPENDENCYPART_ARC
(9,2),-1.31731 # DEPENDENCYPART_ARC
(9,3),-1.089 # DEPENDENCYPART_ARC
(9,4),-0.549543 # DEPENDENCYPART_ARC
(9,5),-1.05208 # DEPENDENCYPART_ARC
(9,6),1.77384 # DEPENDENCYPART_ARC
(9,7),-0.458487 # DEPENDENCYPART_ARC
(9,8),-0.480296 # DEPENDENCYPART_ARC
(9,10),0.281501 # DEPENDENCYPART_ARC
(9,11),0.187072 # DEPENDENCYPART_ARC
(9,12),-0.166551 # DEPENDENCYPART_ARC
(9,13),-0.136367 # DEPENDENCYPART_ARC
(9,14),-1.16548 # DEPENDENCYPART_ARC
(9,15),-0.56213 # DEPENDENCYPART_ARC
(9,16),0.489613 # DEPENDENCYPART_ARC
(9,20),-0.898966 # DEPENDENCYPART_ARC
(10,11),-0.838453 # DEPENDENCYPART_ARC
(10,12),-1.16366 # DEPENDENCYPART_ARC
(11,2),-2.59101 # DEPENDENCYPART_ARC
(11,6),-1.01091 # DEPENDENCYPART_ARC
(11,8),-1.51563 # DEPENDENCYPART_ARC
(11,9),0.00542821 # DEPENDENCYPART_ARC
(11,10),1.56398 # DEPENDENCYPART_ARC
(11,12),-0.481658 # DEPENDENCYPART_ARC
(11,13),-1.67151 # DEPENDENCYPART_ARC
(11,14),-2.48088 # DEPENDENCYPART_ARC
(11,15),-1.42698 # DEPENDENCYPART_ARC
(11,17),-2.77313 # DEPENDENCYPART_ARC
(12,1),-0.203609 # DEPENDENCYPART_ARC
(12,2),-3.09837 # DEPENDENCYPART_ARC
(12,4),-0.306677 # DEPENDENCYPART_ARC
(12,6),-1.11531 # DEPENDENCYPART_ARC
(12,8),-1.36326 # DEPENDENCYPART_ARC
(12,9),-0.245327 # DEPENDENCYPART_ARC
(12,10),1.46816 # DEPENDENCYPART_ARC
(12,11),0.243386 # DEPENDENCYPART_ARC
(12,13),1.13277 # DEPENDENCYPART_ARC
(12,14),-1.81361 # DEPENDENCYPART_ARC
(12,15),-0.766498 # DEPENDENCYPART_ARC
(12,16),-2.00221 # DEPENDENCYPART_ARC
(12,17),-1.5331 # DEPENDENCYPART_ARC
(12,20),-2.07762 # DEPENDENCYPART_ARC
(12,22),-1.47763 # DEPENDENCYPART_ARC
(13,10),-0.246927 # DEPENDENCYPART_ARC
(13,11),0.0546781 # DEPENDENCYPART_ARC
(13,12),0.514046 # DEPENDENCYPART_ARC
(13,14),-0.239184 # DEPENDENCYPART_ARC
(13,15),-0.193856 # DEPENDENCYPART_ARC
(13,17),-0.983917 # DEPENDENCYPART_ARC
(13,21),-1.10286 # DEPENDENCYPART_ARC
(14,6),-0.885988 # DEPENDENCYPART_ARC
(14,8),-1.24967 # DEPENDENCYPART_ARC
(14,9),-0.573849 # DEPENDENCYPART_ARC
(14,10),0.808253 # DEPENDENCYPART_ARC
(14,11),-2.13321 # DEPENDENCYPART_ARC
(14,12),-0.910358 # DEPENDENCYPART_ARC
(14,13),-0.877577 # DEPENDENCYPART_ARC
(14,15),1.44494 # DEPENDENCYPART_ARC
(14,17),-2.45533 # DEPENDENCYPART_ARC
(14,21),-2.03698 # DEPENDENCYPART_ARC
(15,6),-1.46252 # DEPENDENCYPART_ARC
(15,8),-1.9007 # DEPENDENCYPART_ARC
(15,9),-1.09875 # DEPENDENCYPART_ARC
(15,10),-0.402362 # DEPENDENCYPART_ARC
(15,11),-1.99077 # DEPENDENCYPART_ARC
(15,12),-0.772584 # DEPENDENCYPART_ARC
(15,13),-1.56034 # DEPENDENCYPART_ARC
(15,14),1.71034 # DEPENDENCYPART_ARC
(15,16),-0.282877 # DEPENDENCYPART_ARC
(15,17),0.193198 # DEPENDENCYPART_ARC
(15,20),-1.31327 # DEPENDENCYPART_ARC
(15,21),-0.0743424 # DEPENDENCYPART_ARC
(15,22),-0.697379 # DEPENDENCYPART_ARC
(16,1),-0.821817 # DEPENDENCYPART_ARC
(16,2),-0.746419 # DEPENDENCYPART_ARC
(16,3),-0.755375 # DEPENDENCYPART_ARC
(16,4),-1.64388 # DEPENDENCYPART_ARC
(16,6),-1.12448 # DEPENDENCYPART_ARC
(16,7),-0.645319 # DEPENDENCYPART_ARC
(16,8),-2.26828 # DEPENDENCYPART_ARC
(16,9),-1.26769 # DEPENDENCYPART_ARC
(16,10),-1.53175 # DEPENDENCYPART_ARC
(16,11),0.12764 # DEPENDENCYPART_ARC
(16,12),-0.268538 # DEPENDENCYPART_ARC
(16,13),-0.785653 # DEPENDENCYPART_ARC
(16,14),-0.602772 # DEPENDENCYPART_ARC
(16,15),1.51757 # DEPENDENCYPART_ARC
(16,17),0.939471 # DEPENDENCYPART_ARC
(16,19),-1.6285 # DEPENDENCYPART_ARC
(16,20),-1.73762 # DEPENDENCYPART_ARC
(16,21),-1.74513 # DEPENDENCYPART_ARC
(17,12),-0.532852 # DEPENDENCYPART_ARC
(17,14),-0.678508 # DEPENDENCYPART_ARC
(17,15),-0.505975 # DEPENDENCYPART_ARC
(17,18),1.04873 # DEPENDENCYPART_ARC
(17,20),-2.19295 # DEPENDENCYPART_ARC
(17,21),-1.66828 # DEPENDENCYPART_ARC
(18,14),-0.818431 # DEPENDENCYPART_ARC
(18,15),-0.554658 # DEPENDENCYPART_ARC
(18,19),1.70735 # DEPENDENCYPART_ARC
(18,20),-1.42286 # DEPENDENCYPART_ARC
(19,16),-0.33471 # DEPENDENCYPART_ARC
(19,17),-0.549768 # DEPENDENCYPART_ARC
(19,20),-0.869425 # DEPENDENCYPART_ARC
(20,1),-2.07554 # DEPENDENCYPART_ARC
(20,3),-1.57377 # DEPENDENCYPART_ARC
(20,4),-2.57241 # DEPENDENCYPART_ARC
(20,6),-0.039217 # DEPENDENCYPART_ARC
(20,8),-1.49395 # DEPENDENCYPART_ARC
(20,9),0.0256282 # DEPENDENCYPART_ARC
(20,10),-2.58212 # DEPENDENCYPART_ARC
(20,11),-0.946766 # DEPENDENCYPART_ARC
(20,12),-1.5109 # DEPENDENCYPART_ARC
(20,13),-0.867325 # DEPENDENCYPART_ARC
(20,14),-2.20188 # DEPENDENCYPART_ARC
(20,15),-1.06005 # DEPENDENCYPART_ARC
(20,16),-0.215866 # DEPENDENCYPART_ARC
(20,17),-0.90082 # DEPENDENCYPART_ARC
(20,19),-0.338304 # DEPENDENCYPART_ARC
(20,21),1.62328 # DEPENDENCYPART_ARC
(20,22),-0.028744 # DEPENDENCYPART_ARC
(21,16),-2.71277 # DEPENDENCYPART_ARC
(21,22),1.6224 # DEPENDENCYPART_ARC
