# _root_ bestalde , benegasek eajko buruzagiei aurkeztu zien proposamena duela bi aste , iñaki_anasagastik atzo jakitera_eman zuenez .
#goldHeads=0,3,6,5,6,0,6,6,6,11,9,11,15,15,6,15,16,
#predictedHeads=0,3,6,5,6,0,6,9,6,11,9,11,15,15,6,15,16,
(0,1),1.34019 # DEPENDENCYPART_ARC
(0,2),-1.4432 # DEPENDENCYPART_ARC
(0,3),-1.04959 # DEPENDENCYPART_ARC
(0,4),-0.824077 # DEPENDENCYPART_ARC
(0,5),-1.13084 # DEPENDENCYPART_ARC
(0,6),0.506574 # DEPENDENCYPART_ARC
(0,7),-0.835367 # DEPENDENCYPART_ARC
(0,8),-1.37927 # DEPENDENCYPART_ARC
(0,9),-2.19919 # DEPENDENCYPART_ARC
(0,10),-1.74256 # DEPENDENCYPART_ARC
(0,11),-1.18245 # DEPENDENCYPART_ARC
(0,12),-1.2428 # DEPENDENCYPART_ARC
(0,13),-2.39278 # DEPENDENCYPART_ARC
(0,14),-1.77323 # DEPENDENCYPART_ARC
(0,15),-1.39865 # DEPENDENCYPART_ARC
(0,16),-1.44319 # DEPENDENCYPART_ARC
(0,17),-2.74026 # DEPENDENCYPART_ARC
(1,2),-1.14161 # DEPENDENCYPART_ARC
(1,6),-2.99312 # DEPENDENCYPART_ARC
(1,15),-3.76961 # DEPENDENCYPART_ARC
(2,5),-1.3578 # DEPENDENCYPART_ARC
(2,6),-1.76312 # DEPENDENCYPART_ARC
(2,8),-1.79847 # DEPENDENCYPART_ARC
(2,11),-1.75964 # DEPENDENCYPART_ARC
(2,15),-2.67469 # DEPENDENCYPART_ARC
(3,2),-0.262213 # DEPENDENCYPART_ARC
(3,4),-3.41517 # DEPENDENCYPART_ARC
(3,5),-1.44491 # DEPENDENCYPART_ARC
(3,6),-2.88781 # DEPENDENCYPART_ARC
(3,8),-2.91056 # DEPENDENCYPART_ARC
(4,3),-6.05038 # DEPENDENCYPART_ARC
(4,5),0.70777 # DEPENDENCYPART_ARC
(4,6),-3.09026 # DEPENDENCYPART_ARC
(4,9),-4.40827 # DEPENDENCYPART_ARC
(5,2),-1.46665 # DEPENDENCYPART_ARC
(5,3),-1.76989 # DEPENDENCYPART_ARC
(5,4),2.48452 # DEPENDENCYPART_ARC
(5,6),-1.59986 # DEPENDENCYPART_ARC
(5,7),-0.503091 # DEPENDENCYPART_ARC
(5,8),-0.898621 # DEPENDENCYPART_ARC
(5,9),-2.84835 # DEPENDENCYPART_ARC
(5,10),-2.65031 # DEPENDENCYPART_ARC
(5,15),-2.0172 # DEPENDENCYPART_ARC
(6,1),-0.213311 # DEPENDENCYPART_ARC
(6,2),-1.76634 # DEPENDENCYPART_ARC
(6,3),1.18733 # DEPENDENCYPART_ARC
(6,4),0.661497 # DEPENDENCYPART_ARC
(6,5),2.09902 # DEPENDENCYPART_ARC
(6,7),1.6304 # DEPENDENCYPART_ARC
(6,8),0.73801 # DEPENDENCYPART_ARC
(6,9),0.577454 # DEPENDENCYPART_ARC
(6,10),-0.887824 # DEPENDENCYPART_ARC
(6,11),0.989314 # DEPENDENCYPART_ARC
(6,12),-0.524091 # DEPENDENCYPART_ARC
(6,14),-0.622377 # DEPENDENCYPART_ARC
(6,15),-0.465269 # DEPENDENCYPART_ARC
