# _root_ agian , bizpahiru urte gehiago izan zitzakeen , kirolariak erretiratu baina profesionariek gailurra jotzen duteneko adina .
#goldHeads=6,3,4,6,4,0,6,7,10,11,16,14,14,11,14,4,16,
#predictedHeads=6,3,4,6,4,0,6,7,10,11,0,14,14,11,14,14,16,
(0,1),-0.0828444 # DEPENDENCYPART_ARC
(0,2),-1.29011 # DEPENDENCYPART_ARC
(0,3),-1.24092 # DEPENDENCYPART_ARC
(0,4),-0.74072 # DEPENDENCYPART_ARC
(0,5),-1.78654 # DEPENDENCYPART_ARC
(0,6),-0.33775 # DEPENDENCYPART_ARC
(0,7),-0.994354 # DEPENDENCYPART_ARC
(0,8),-0.922332 # DEPENDENCYPART_ARC
(0,9),-1.20349 # DEPENDENCYPART_ARC
(0,10),-0.879158 # DEPENDENCYPART_ARC
(0,11),0.257667 # DEPENDENCYPART_ARC
(0,12),-1.43906 # DEPENDENCYPART_ARC
(0,13),-0.959903 # DEPENDENCYPART_ARC
(0,14),-0.829808 # DEPENDENCYPART_ARC
(0,15),-1.2292 # DEPENDENCYPART_ARC
(0,16),-1.51569 # DEPENDENCYPART_ARC
(0,17),-2.63709 # DEPENDENCYPART_ARC
(1,2),-0.483782 # DEPENDENCYPART_ARC
(2,3),-0.629243 # DEPENDENCYPART_ARC
(2,5),-1.19952 # DEPENDENCYPART_ARC
(2,6),-0.712616 # DEPENDENCYPART_ARC
(2,14),-1.52316 # DEPENDENCYPART_ARC
(3,1),-0.871345 # DEPENDENCYPART_ARC
(3,2),-0.234984 # DEPENDENCYPART_ARC
(3,4),-0.466864 # DEPENDENCYPART_ARC
(4,1),-0.977675 # DEPENDENCYPART_ARC
(4,2),-0.900099 # DEPENDENCYPART_ARC
(4,3),0.930155 # DEPENDENCYPART_ARC
(4,5),2.18684 # DEPENDENCYPART_ARC
(4,7),-1.16809 # DEPENDENCYPART_ARC
(4,9),-0.90134 # DEPENDENCYPART_ARC
(4,11),-0.591752 # DEPENDENCYPART_ARC
(4,13),-0.599927 # DEPENDENCYPART_ARC
(4,14),-1.22372 # DEPENDENCYPART_ARC
(4,16),-0.761566 # DEPENDENCYPART_ARC
(5,1),-1.20453 # DEPENDENCYPART_ARC
(5,4),-0.604653 # DEPENDENCYPART_ARC
(5,6),-0.528621 # DEPENDENCYPART_ARC
(5,10),-1.02099 # DEPENDENCYPART_ARC
(6,1),0.342042 # DEPENDENCYPART_ARC
(6,2),-1.02825 # DEPENDENCYPART_ARC
(6,3),-0.117388 # DEPENDENCYPART_ARC
(6,4),1.66143 # DEPENDENCYPART_ARC
(6,5),0.805972 # DEPENDENCYPART_ARC
(6,7),1.88825 # DEPENDENCYPART_ARC
(6,8),-0.645141 # DEPENDENCYPART_ARC
(6,9),-0.722805 # DEPENDENCYPART_ARC
(6,10),-0.353749 # DEPENDENCYPART_ARC
(6,11),-0.154578 # DEPENDENCYPART_ARC
(6,12),-1.20547 # DEPENDENCYPART_ARC
(6,13),-1.22361 # DEPENDENCYPART_ARC
(6,14),-0.95845 # DEPENDENCYPART_ARC
(6,15),-0.00818853 # DEPENDENCYPART_ARC
(6,16),-0.221557 # DEPENDENCYPART_ARC
(7,4),-0.210235 # DEPENDENCYPART_ARC
(7,8),1.15588 # DEPENDENCYPART_ARC
(7,9),-1.41105 # DEPENDENCYPART_ARC
(7,11),-0.971478 # DEPENDENCYPART_ARC
(7,12),-1.37892 # DEPENDENCYPART_ARC
(7,15),-1.19766 # DEPENDENCYPART_ARC
(8,6),0.0870636 # DEPENDENCYPART_ARC
(8,7),0.161767 # DEPENDENCYPART_ARC
(8,9),-0.756662 # DEPENDENCYPART_ARC
(8,10),-0.789855 # DEPENDENCYPART_ARC
(8,14),-1.05975 # DEPENDENCYPART_ARC
(9,2),-1.72481 # DEPENDENCYPART_ARC
(9,3),-0.969894 # DEPENDENCYPART_ARC
(9,4),-0.890325 # DEPENDENCYPART_ARC
(9,6),-0.861661 # DEPENDENCYPART_ARC
(9,7),-1.60081 # DEPENDENCYPART_ARC
(9,8),-0.300042 # DEPENDENCYPART_ARC
(9,10),-0.195943 # DEPENDENCYPART_ARC
(9,11),-0.332397 # DEPENDENCYPART_ARC
(9,12),-1.26023 # DEPENDENCYPART_ARC
(9,13),-1.41118 # DEPENDENCYPART_ARC
(9,14),-1.46248 # DEPENDENCYPART_ARC
(9,15),-2.06827 # DEPENDENCYPART_ARC
(9,16),-1.69265 # DEPENDENCYPART_ARC
(9,17),-0.924957 # DEPENDENCYPART_ARC
(10,1),-0.918818 # DEPENDENCYPART_ARC
(10,2),-1.60918 # DEPENDENCYPART_ARC
(10,3),-1.12456 # DEPENDENCYPART_ARC
(10,4),-0.764669 # DEPENDENCYPART_ARC
(10,5),-1.50861 # DEPENDENCYPART_ARC
(10,6),-0.636006 # DEPENDENCYPART_ARC
(10,7),-1.00477 # DEPENDENCYPART_ARC
(10,8),-1.3314 # DEPENDENCYPART_ARC
(10,9),2.07159 # DEPENDENCYPART_ARC
(10,11),-0.29707 # DEPENDENCYPART_ARC
(10,12),-0.788963 # DEPENDENCYPART_ARC
(10,13),-0.560096 # DEPENDENCYPART_ARC
(10,14),-1.1147 # DEPENDENCYPART_ARC
(10,15),0.0319304 # DEPENDENCYPART_ARC
(10,16),-0.73428 # DEPENDENCYPART_ARC
(11,1),-0.93161 # DEPENDENCYPART_ARC
(11,3),-1.12634 # DEPENDENCYPART_ARC
(11,4),-0.742564 # DEPENDENCYPART_ARC
(11,6),-0.375224 # DEPENDENCYPART_ARC
(11,7),-1.28426 # DEPENDENCYPART_ARC
(11,8),-0.966089 # DEPENDENCYPART_ARC
(11,9),-0.471181 # DEPENDENCYPART_ARC
(11,10),2.12592 # DEPENDENCYPART_ARC
(11,12),-0.582458 # DEPENDENCYPART_ARC
(11,13),-0.0125933 # DEPENDENCYPART_ARC
(11,14),0.297032 # DEPENDENCYPART_ARC
(11,15),-0.733286 # DEPENDENCYPART_ARC
(11,16),-0.719267 # DEPENDENCYPART_ARC
(12,8),-2.23109 # DEPENDENCYPART_ARC
(12,9),-2.01221 # DEPENDENCYPART_ARC
(12,10),-0.308731 # DEPENDENCYPART_ARC
(12,11),-0.522796 # DEPENDENCYPART_ARC
(12,13),-0.369397 # DEPENDENCYPART_ARC
(12,15),-2.11301 # DEPENDENCYPART_ARC
(12,16),-2.2875 # DEPENDENCYPART_ARC
(12,17),-0.96851 # DEPENDENCYPART_ARC
(13,1),-1.08877 # DEPENDENCYPART_ARC
(13,4),-0.710637 # DEPENDENCYPART_ARC
(13,6),-1.31956 # DEPENDENCYPART_ARC
(13,8),-1.51355 # DEPENDENCYPART_ARC
(13,9),-1.29083 # DEPENDENCYPART_ARC
(13,10),-0.0706008 # DEPENDENCYPART_ARC
(13,11),-0.244008 # DEPENDENCYPART_ARC
(13,12),-0.544229 # DEPENDENCYPART_ARC
(13,14),-0.796226 # DEPENDENCYPART_ARC
(13,15),-1.00477 # DEPENDENCYPART_ARC
(13,16),-1.60677 # DEPENDENCYPART_ARC
(13,17),-1.02875 # DEPENDENCYPART_ARC
(14,1),-0.444092 # DEPENDENCYPART_ARC
(14,2),-1.88252 # DEPENDENCYPART_ARC
(14,4),-0.809305 # DEPENDENCYPART_ARC
(14,5),-1.14201 # DEPENDENCYPART_ARC
(14,6),-0.604647 # DEPENDENCYPART_ARC
(14,7),-1.0974 # DEPENDENCYPART_ARC
(14,8),-1.90509 # DEPENDENCYPART_ARC
(14,9),0.00386662 # DEPENDENCYPART_ARC
(14,10),-0.692507 # DEPENDENCYPART_ARC
(14,11),-0.328178 # DEPENDENCYPART_ARC
(14,12),1.35897 # DEPENDENCYPART_ARC
(14,13),1.80781 # DEPENDENCYPART_ARC
(14,15),2.56215 # DEPENDENCYPART_ARC
(14,16),1.30557 # DEPENDENCYPART_ARC
(15,12),-1.11301 # DEPENDENCYPART_ARC
(15,13),-1.19441 # DEPENDENCYPART_ARC
(15,16),-1.97862 # DEPENDENCYPART_ARC
(16,1),-1.3572 # DEPENDENCYPART_ARC
(16,6),-1.7481 # DEPENDENCYPART_ARC
(16,10),-0.575148 # DEPENDENCYPART_ARC
(16,11),-0.865913 # DEPENDENCYPART_ARC
(16,12),-2.78261 # DEPENDENCYPART_ARC
(16,13),-2.72561 # DEPENDENCYPART_ARC
(16,14),0.565589 # DEPENDENCYPART_ARC
(16,15),-1.24072 # DEPENDENCYPART_ARC
(16,17),1.41839 # DEPENDENCYPART_ARC
