# _root_ gasteizko_udaleko alderdi guztietako ordezkariek , ehkoak izan_ezik , isilean iragan zituzten bilkurak iraun zituen hamabost minutuak ;
#goldHeads=2,4,2,7,4,7,10,7,10,0,10,13,16,13,16,10,16,
#predictedHeads=4,4,2,10,4,12,6,7,10,12,10,13,0,13,16,13,16,
(0,1),-0.768388 # DEPENDENCYPART_ARC
(0,2),-1.23297 # DEPENDENCYPART_ARC
(0,3),-1.84257 # DEPENDENCYPART_ARC
(0,4),-1.7953 # DEPENDENCYPART_ARC
(0,5),-1.29565 # DEPENDENCYPART_ARC
(0,6),-1.00825 # DEPENDENCYPART_ARC
(0,7),-0.288684 # DEPENDENCYPART_ARC
(0,8),-1.41843 # DEPENDENCYPART_ARC
(0,9),-1.17168 # DEPENDENCYPART_ARC
(0,10),-0.230388 # DEPENDENCYPART_ARC
(0,11),-1.38741 # DEPENDENCYPART_ARC
(0,12),-1.73806 # DEPENDENCYPART_ARC
(0,13),-0.459262 # DEPENDENCYPART_ARC
(0,14),-1.7346 # DEPENDENCYPART_ARC
(0,15),-1.37157 # DEPENDENCYPART_ARC
(0,16),-1.92148 # DEPENDENCYPART_ARC
(0,17),-1.14463 # DEPENDENCYPART_ARC
(1,2),-0.0944654 # DEPENDENCYPART_ARC
(1,3),-2.86335 # DEPENDENCYPART_ARC
(1,6),-1.64774 # DEPENDENCYPART_ARC
(1,15),-5.09677 # DEPENDENCYPART_ARC
(2,1),1.15712 # DEPENDENCYPART_ARC
(2,3),1.86688 # DEPENDENCYPART_ARC
(2,4),-0.298759 # DEPENDENCYPART_ARC
(2,5),-0.209297 # DEPENDENCYPART_ARC
(2,6),-0.600088 # DEPENDENCYPART_ARC
(2,7),-0.812679 # DEPENDENCYPART_ARC
(2,9),-0.79721 # DEPENDENCYPART_ARC
(2,15),-1.00042 # DEPENDENCYPART_ARC
(3,2),-0.353386 # DEPENDENCYPART_ARC
(4,1),2.15597 # DEPENDENCYPART_ARC
(4,2),0.603831 # DEPENDENCYPART_ARC
(4,3),0.227061 # DEPENDENCYPART_ARC
(4,5),1.24293 # DEPENDENCYPART_ARC
(4,6),-0.706634 # DEPENDENCYPART_ARC
(4,7),-0.635497 # DEPENDENCYPART_ARC
(4,9),-1.13865 # DEPENDENCYPART_ARC
(4,10),-1.79473 # DEPENDENCYPART_ARC
(4,11),-2.84848 # DEPENDENCYPART_ARC
(4,12),-0.625739 # DEPENDENCYPART_ARC
(4,13),-2.08684 # DEPENDENCYPART_ARC
(4,15),-2.92803 # DEPENDENCYPART_ARC
(4,16),-1.60752 # DEPENDENCYPART_ARC
(5,4),-0.256816 # DEPENDENCYPART_ARC
(6,1),-1.68936 # DEPENDENCYPART_ARC
(6,2),-1.47926 # DEPENDENCYPART_ARC
(6,4),-4.89404 # DEPENDENCYPART_ARC
(6,5),-0.221068 # DEPENDENCYPART_ARC
(6,7),0.215817 # DEPENDENCYPART_ARC
(6,10),-3.06758 # DEPENDENCYPART_ARC
(7,1),-2.42459 # DEPENDENCYPART_ARC
(7,2),-0.513164 # DEPENDENCYPART_ARC
(7,4),-0.988626 # DEPENDENCYPART_ARC
(7,5),-0.789998 # DEPENDENCYPART_ARC
(7,6),0.424014 # DEPENDENCYPART_ARC
(7,8),1.90561 # DEPENDENCYPART_ARC
(7,9),-0.113005 # DEPENDENCYPART_ARC
