# _root_ aparicio ez zen atzoko bileran izan , haren menpeko juan chozas_lan idazkaria baizik , eta chozasek auzia bideratu beharra dagoela onartu du .
#goldHeads=6,6,6,5,6,13,6,9,12,12,10,13,15,13,0,21,18,19,20,21,15,21,22,
#predictedHeads=6,6,6,5,6,13,6,9,10,12,10,13,18,13,0,18,18,19,20,21,15,21,22,
(0,1),-0.666875 # DEPENDENCYPART_ARC
(0,2),-1.25021 # DEPENDENCYPART_ARC
(0,3),-0.974118 # DEPENDENCYPART_ARC
(0,4),-0.996196 # DEPENDENCYPART_ARC
(0,6),-0.426939 # DEPENDENCYPART_ARC
(0,7),-0.844767 # DEPENDENCYPART_ARC
(0,13),-0.0556512 # DEPENDENCYPART_ARC
(0,14),-1.64202 # DEPENDENCYPART_ARC
(0,15),0.343798 # DEPENDENCYPART_ARC
(0,16),-1.97721 # DEPENDENCYPART_ARC
(0,18),-0.678826 # DEPENDENCYPART_ARC
(0,19),-1.49374 # DEPENDENCYPART_ARC
(0,20),-2.58572 # DEPENDENCYPART_ARC
(0,21),-0.402905 # DEPENDENCYPART_ARC
(0,22),-1.97629 # DEPENDENCYPART_ARC
(0,23),-3.75023 # DEPENDENCYPART_ARC
(2,5),-0.939655 # DEPENDENCYPART_ARC
(3,1),-0.953254 # DEPENDENCYPART_ARC
(3,2),-0.56774 # DEPENDENCYPART_ARC
(3,4),-0.549615 # DEPENDENCYPART_ARC
(4,5),-0.769805 # DEPENDENCYPART_ARC
(4,7),-0.45334 # DEPENDENCYPART_ARC
(5,1),-2.38482 # DEPENDENCYPART_ARC
(5,2),-0.79142 # DEPENDENCYPART_ARC
(5,3),-0.760527 # DEPENDENCYPART_ARC
(5,4),1.64359 # DEPENDENCYPART_ARC
(5,6),-0.97574 # DEPENDENCYPART_ARC
(5,7),-0.334987 # DEPENDENCYPART_ARC
(5,8),-2.10428 # DEPENDENCYPART_ARC
(5,10),-1.19297 # DEPENDENCYPART_ARC
(6,1),0.365333 # DEPENDENCYPART_ARC
(6,2),1.28237 # DEPENDENCYPART_ARC
(6,3),1.1105 # DEPENDENCYPART_ARC
(6,4),-0.222085 # DEPENDENCYPART_ARC
(6,5),2.87064 # DEPENDENCYPART_ARC
(6,7),1.37256 # DEPENDENCYPART_ARC
(6,8),-0.907294 # DEPENDENCYPART_ARC
(6,9),-0.49086 # DEPENDENCYPART_ARC
(6,10),-0.87059 # DEPENDENCYPART_ARC
(6,11),-0.592419 # DEPENDENCYPART_ARC
