# _root_ kadira bat zuhirin mortziloekin , ispilu handi bat argazkiz estalia , altzari zurrun batzuk ( )
#goldHeads=5,1,1,3,0,5,6,6,10,6,10,5,12,12,0,0,
#predictedHeads=3,1,15,3,4,9,6,6,10,3,10,10,12,12,0,0,
(0,1),-0.913982 # DEPENDENCYPART_ARC
(0,2),-1.62465 # DEPENDENCYPART_ARC
(0,3),-1.32424 # DEPENDENCYPART_ARC
(0,4),-1.67043 # DEPENDENCYPART_ARC
(0,5),-1.1387 # DEPENDENCYPART_ARC
(0,6),-1.59564 # DEPENDENCYPART_ARC
(0,7),-1.32898 # DEPENDENCYPART_ARC
(0,8),-1.78959 # DEPENDENCYPART_ARC
(0,9),-2.06588 # DEPENDENCYPART_ARC
(0,10),-0.827324 # DEPENDENCYPART_ARC
(0,11),-0.727939 # DEPENDENCYPART_ARC
(0,12),-2.18916 # DEPENDENCYPART_ARC
(0,13),-1.44353 # DEPENDENCYPART_ARC
(0,14),-2.33185 # DEPENDENCYPART_ARC
(0,15),6.62405 # DEPENDENCYPART_ARC
(0,16),4.80752 # DEPENDENCYPART_ARC
(1,2),2.12332 # DEPENDENCYPART_ARC
(1,3),-0.736385 # DEPENDENCYPART_ARC
(1,4),-0.693925 # DEPENDENCYPART_ARC
(1,7),-1.40761 # DEPENDENCYPART_ARC
(1,8),0.193737 # DEPENDENCYPART_ARC
(1,14),-1.09634 # DEPENDENCYPART_ARC
(2,1),-0.362859 # DEPENDENCYPART_ARC
(2,3),-0.806198 # DEPENDENCYPART_ARC
(3,1),0.675887 # DEPENDENCYPART_ARC
(3,2),-0.130398 # DEPENDENCYPART_ARC
(3,4),1.64863 # DEPENDENCYPART_ARC
(3,5),-0.272222 # DEPENDENCYPART_ARC
(3,6),-0.67411 # DEPENDENCYPART_ARC
(3,7),-0.27647 # DEPENDENCYPART_ARC
(3,8),0.787015 # DEPENDENCYPART_ARC
(3,10),0.0632696 # DEPENDENCYPART_ARC
(3,12),-1.00546 # DEPENDENCYPART_ARC
(3,14),-0.236008 # DEPENDENCYPART_ARC
(4,1),-0.983032 # DEPENDENCYPART_ARC
(4,3),-0.114216 # DEPENDENCYPART_ARC
(4,5),1.25485 # DEPENDENCYPART_ARC
(4,6),-1.38635 # DEPENDENCYPART_ARC
(4,7),-0.801927 # DEPENDENCYPART_ARC
(4,10),-1.75892 # DEPENDENCYPART_ARC
(5,4),0.0982538 # DEPENDENCYPART_ARC
(5,6),-0.854236 # DEPENDENCYPART_ARC
(5,7),-0.570457 # DEPENDENCYPART_ARC
(5,10),-0.91958 # DEPENDENCYPART_ARC
(5,14),-1.10652 # DEPENDENCYPART_ARC
(6,1),-1.17415 # DEPENDENCYPART_ARC
(6,2),-2.24228 # DEPENDENCYPART_ARC
(6,3),-0.777168 # DEPENDENCYPART_ARC
(6,4),-0.63781 # DEPENDENCYPART_ARC
(6,5),-0.287754 # DEPENDENCYPART_ARC
(6,7),1.82268 # DEPENDENCYPART_ARC
(6,8),1.92437 # DEPENDENCYPART_ARC
(6,9),-0.435422 # DEPENDENCYPART_ARC
(6,10),0.431661 # DEPENDENCYPART_ARC
(6,12),-0.860152 # DEPENDENCYPART_ARC
(6,14),0.111014 # DEPENDENCYPART_ARC
(7,1),-1.67623 # DEPENDENCYPART_ARC
(7,3),-1.3803 # DEPENDENCYPART_ARC
(7,6),-0.0639587 # DEPENDENCYPART_ARC
(7,8),0.311164 # DEPENDENCYPART_ARC
(7,9),-0.428283 # DEPENDENCYPART_ARC
(7,10),-0.859583 # DEPENDENCYPART_ARC
(8,6),-1.01798 # DEPENDENCYPART_ARC
(8,9),-0.266044 # DEPENDENCYPART_ARC
(9,1),-0.68671 # DEPENDENCYPART_ARC
(9,2),-2.1537 # DEPENDENCYPART_ARC
(9,3),-0.303257 # DEPENDENCYPART_ARC
(9,4),-1.77363 # DEPENDENCYPART_ARC
(9,5),-1.20372 # DEPENDENCYPART_ARC
(9,6),0.114134 # DEPENDENCYPART_ARC
(9,7),0.196118 # DEPENDENCYPART_ARC
(9,8),-0.160009 # DEPENDENCYPART_ARC
(9,10),-0.259119 # DEPENDENCYPART_ARC
(9,11),-0.536305 # DEPENDENCYPART_ARC
(9,12),-0.859025 # DEPENDENCYPART_ARC
