# _root_ bestalde , atzo jakinarazi zuenez , psoek uztailean eztabaidatuko duen ponentziari " adiziozko zuzenketa " aurkeztuko diote .
#goldHeads=0,3,4,16,4,5,9,9,11,9,16,11,14,16,14,0,16,17,
#predictedHeads=0,3,4,0,4,5,9,9,11,9,4,11,14,16,14,0,16,17,
(0,1),1.34019 # DEPENDENCYPART_ARC
(0,2),-1.45531 # DEPENDENCYPART_ARC
(0,3),-1.04016 # DEPENDENCYPART_ARC
(0,4),0.133962 # DEPENDENCYPART_ARC
(0,5),-0.760707 # DEPENDENCYPART_ARC
(0,6),-0.947956 # DEPENDENCYPART_ARC
(0,7),-1.14296 # DEPENDENCYPART_ARC
(0,8),-1.33808 # DEPENDENCYPART_ARC
(0,9),-0.058433 # DEPENDENCYPART_ARC
(0,10),-0.400819 # DEPENDENCYPART_ARC
(0,11),-1.72186 # DEPENDENCYPART_ARC
(0,12),-1.98764 # DEPENDENCYPART_ARC
(0,13),-1.4458 # DEPENDENCYPART_ARC
(0,14),-1.7426 # DEPENDENCYPART_ARC
(0,15),-2.8223 # DEPENDENCYPART_ARC
(0,16),-0.96547 # DEPENDENCYPART_ARC
(0,17),0.510684 # DEPENDENCYPART_ARC
(0,18),-2.8142 # DEPENDENCYPART_ARC
(1,2),-1.48048 # DEPENDENCYPART_ARC
(2,9),-2.21914 # DEPENDENCYPART_ARC
(2,16),-2.90712 # DEPENDENCYPART_ARC
(3,1),-0.83866 # DEPENDENCYPART_ARC
(3,2),-0.191569 # DEPENDENCYPART_ARC
(3,6),-0.470117 # DEPENDENCYPART_ARC
(3,8),-1.14312 # DEPENDENCYPART_ARC
(3,11),-1.19805 # DEPENDENCYPART_ARC
(4,1),-0.206512 # DEPENDENCYPART_ARC
(4,2),-1.21068 # DEPENDENCYPART_ARC
(4,3),1.08967 # DEPENDENCYPART_ARC
(4,5),1.79462 # DEPENDENCYPART_ARC
(4,6),-0.59651 # DEPENDENCYPART_ARC
(4,7),-0.0494932 # DEPENDENCYPART_ARC
(4,8),-0.484462 # DEPENDENCYPART_ARC
(4,9),-0.354231 # DEPENDENCYPART_ARC
(4,10),-0.630102 # DEPENDENCYPART_ARC
(4,11),0.406038 # DEPENDENCYPART_ARC
(4,13),-1.69779 # DEPENDENCYPART_ARC
(4,14),-0.200554 # DEPENDENCYPART_ARC
(4,16),-0.966573 # DEPENDENCYPART_ARC
(4,17),-1.04533 # DEPENDENCYPART_ARC
(5,3),-0.594317 # DEPENDENCYPART_ARC
(5,6),1.43808 # DEPENDENCYPART_ARC
(5,7),-1.83212 # DEPENDENCYPART_ARC
(5,8),-0.522656 # DEPENDENCYPART_ARC
(5,9),-1.70401 # DEPENDENCYPART_ARC
(5,10),-1.05955 # DEPENDENCYPART_ARC
(6,5),0.0421671 # DEPENDENCYPART_ARC
(6,8),-1.56568 # DEPENDENCYPART_ARC
(6,9),-1.13898 # DEPENDENCYPART_ARC
(6,11),-1.64988 # DEPENDENCYPART_ARC
(6,14),-1.66328 # DEPENDENCYPART_ARC
(6,16),-2.0578 # DEPENDENCYPART_ARC
(7,2),-1.90586 # DEPENDENCYPART_ARC
(7,6),-0.460446 # DEPENDENCYPART_ARC
(7,8),-1.01356 # DEPENDENCYPART_ARC
(7,14),-2.11696 # DEPENDENCYPART_ARC
(8,2),-1.85834 # DEPENDENCYPART_ARC
(8,3),-1.59761 # DEPENDENCYPART_ARC
(8,6),-1.24636 # DEPENDENCYPART_ARC
(8,7),-0.895919 # DEPENDENCYPART_ARC
(8,9),-1.00647 # DEPENDENCYPART_ARC
(8,10),-2.32983 # DEPENDENCYPART_ARC
(8,13),-1.33035 # DEPENDENCYPART_ARC
(9,1),-0.565702 # DEPENDENCYPART_ARC
(9,2),-1.60171 # DEPENDENCYPART_ARC
(9,3),-0.624864 # DEPENDENCYPART_ARC
(9,4),-0.271297 # DEPENDENCYPART_ARC
(9,5),-0.988737 # DEPENDENCYPART_ARC
(9,6),-1.16636 # DEPENDENCYPART_ARC
(9,7),1.7302 # DEPENDENCYPART_ARC
(9,8),2.14651 # DEPENDENCYPART_ARC
(9,10),1.99503 # DEPENDENCYPART_ARC
(9,11),0.870854 # DEPENDENCYPART_ARC
(9,13),-1.54821 # DEPENDENCYPART_ARC
(9,14),0.0497796 # DEPENDENCYPART_ARC
(9,16),-1.12621 # DEPENDENCYPART_ARC
(9,17),-0.831645 # DEPENDENCYPART_ARC
(10,7),0.0685474 # DEPENDENCYPART_ARC
(10,8),-1.23933 # DEPENDENCYPART_ARC
(10,11),-1.09856 # DEPENDENCYPART_ARC
(10,17),-1.64465 # DEPENDENCYPART_ARC
(11,3),-1.08608 # DEPENDENCYPART_ARC
(11,6),-1.27861 # DEPENDENCYPART_ARC
(11,7),-1.48378 # DEPENDENCYPART_ARC
(11,8),-1.58094 # DEPENDENCYPART_ARC
(11,9),0.745062 # DEPENDENCYPART_ARC
(11,10),-0.580027 # DEPENDENCYPART_ARC
(11,12),1.46463 # DEPENDENCYPART_ARC
(11,13),-0.373177 # DEPENDENCYPART_ARC
(11,14),-0.894807 # DEPENDENCYPART_ARC
(11,16),-1.26591 # DEPENDENCYPART_ARC
(11,17),-2.35217 # DEPENDENCYPART_ARC
(11,18),-0.564637 # DEPENDENCYPART_ARC
(12,13),-0.835054 # DEPENDENCYPART_ARC
(12,14),-1.25152 # DEPENDENCYPART_ARC
(12,16),-1.6631 # DEPENDENCYPART_ARC
(13,3),-1.72319 # DEPENDENCYPART_ARC
(13,6),-1.71194 # DEPENDENCYPART_ARC
(13,7),-3.38995 # DEPENDENCYPART_ARC
(13,9),-1.52196 # DEPENDENCYPART_ARC
(13,11),-2.15684 # DEPENDENCYPART_ARC
(13,12),-0.489028 # DEPENDENCYPART_ARC
(13,14),0.361782 # DEPENDENCYPART_ARC
(13,17),-1.62499 # DEPENDENCYPART_ARC
(13,18),-1.13548 # DEPENDENCYPART_ARC
(14,3),-1.70444 # DEPENDENCYPART_ARC
(14,7),-2.55921 # DEPENDENCYPART_ARC
(14,9),-0.977296 # DEPENDENCYPART_ARC
(14,11),-2.30563 # DEPENDENCYPART_ARC
(14,13),1.31577 # DEPENDENCYPART_ARC
(14,15),1.58512 # DEPENDENCYPART_ARC
(14,16),-0.94593 # DEPENDENCYPART_ARC
(14,17),-2.36952 # DEPENDENCYPART_ARC
(14,18),-0.685717 # DEPENDENCYPART_ARC
(15,11),-1.30574 # DEPENDENCYPART_ARC
(15,13),-0.952583 # DEPENDENCYPART_ARC
(15,16),-1.0165 # DEPENDENCYPART_ARC
(15,17),-0.590947 # DEPENDENCYPART_ARC
(16,1),-0.612851 # DEPENDENCYPART_ARC
(16,2),-1.25885 # DEPENDENCYPART_ARC
(16,3),-1.39379 # DEPENDENCYPART_ARC
(16,4),-0.316331 # DEPENDENCYPART_ARC
(16,5),-1.05607 # DEPENDENCYPART_ARC
(16,6),-1.09556 # DEPENDENCYPART_ARC
(16,7),0.0632645 # DEPENDENCYPART_ARC
(16,8),-0.327579 # DEPENDENCYPART_ARC
(16,9),-0.0648877 # DEPENDENCYPART_ARC
(16,10),-0.680819 # DEPENDENCYPART_ARC
(16,11),0.394966 # DEPENDENCYPART_ARC
(16,13),-0.329546 # DEPENDENCYPART_ARC
(16,14),1.48226 # DEPENDENCYPART_ARC
(16,17),2.17127 # DEPENDENCYPART_ARC
(16,18),-0.168863 # DEPENDENCYPART_ARC
(17,13),-1.19495 # DEPENDENCYPART_ARC
(17,14),-0.434046 # DEPENDENCYPART_ARC
(17,16),-1.53237 # DEPENDENCYPART_ARC
(17,18),1.51437 # DEPENDENCYPART_ARC
