# _root_ adierazi zuenez , " oso erantzun ona " jaso du orain_arte egindako sinadura bilketak , eta hori oso itxaropentsua da .
#goldHeads=16,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
#predictedHeads=9,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
(0,1),0.0137723 # DEPENDENCYPART_ARC
(0,2),-0.350876 # DEPENDENCYPART_ARC
(0,3),-0.970714 # DEPENDENCYPART_ARC
(0,4),-0.644231 # DEPENDENCYPART_ARC
(0,5),-1.22673 # DEPENDENCYPART_ARC
(0,6),-1.00426 # DEPENDENCYPART_ARC
(0,7),-1.81336 # DEPENDENCYPART_ARC
(0,8),-1.21949 # DEPENDENCYPART_ARC
(0,9),0.143604 # DEPENDENCYPART_ARC
(0,10),-0.34461 # DEPENDENCYPART_ARC
(0,11),-1.04537 # DEPENDENCYPART_ARC
(0,12),-1.90018 # DEPENDENCYPART_ARC
(0,13),-1.83744 # DEPENDENCYPART_ARC
(0,14),-2.11857 # DEPENDENCYPART_ARC
(0,15),-1.21668 # DEPENDENCYPART_ARC
(0,16),0.447433 # DEPENDENCYPART_ARC
(0,17),-1.98973 # DEPENDENCYPART_ARC
(0,18),-1.02066 # DEPENDENCYPART_ARC
(0,19),-1.83264 # DEPENDENCYPART_ARC
(0,20),-0.0106775 # DEPENDENCYPART_ARC
(0,21),-2.64278 # DEPENDENCYPART_ARC
(1,2),1.29943 # DEPENDENCYPART_ARC
(1,3),-1.24037 # DEPENDENCYPART_ARC
(1,6),-1.52626 # DEPENDENCYPART_ARC
(1,9),-1.80757 # DEPENDENCYPART_ARC
(1,10),-2.14822 # DEPENDENCYPART_ARC
(1,14),-1.55539 # DEPENDENCYPART_ARC
(2,3),1.36955 # DEPENDENCYPART_ARC
(2,5),-1.06269 # DEPENDENCYPART_ARC
(2,10),-1.45434 # DEPENDENCYPART_ARC
(3,2),-0.115041 # DEPENDENCYPART_ARC
(3,4),1.39689 # DEPENDENCYPART_ARC
(3,6),-0.882508 # DEPENDENCYPART_ARC
(3,9),-1.23531 # DEPENDENCYPART_ARC
(4,9),-1.98498 # DEPENDENCYPART_ARC
(5,4),-0.276108 # DEPENDENCYPART_ARC
(5,6),-0.691147 # DEPENDENCYPART_ARC
(5,18),-1.53683 # DEPENDENCYPART_ARC
(6,3),-1.20593 # DEPENDENCYPART_ARC
(6,5),-0.0110808 # DEPENDENCYPART_ARC
(6,7),2.40538 # DEPENDENCYPART_ARC
(6,10),-0.992303 # DEPENDENCYPART_ARC
(6,12),-0.491701 # DEPENDENCYPART_ARC
(6,13),-0.656644 # DEPENDENCYPART_ARC
(6,14),-0.772792 # DEPENDENCYPART_ARC
(6,16),-0.118428 # DEPENDENCYPART_ARC
(7,5),0.516438 # DEPENDENCYPART_ARC
(7,6),-0.552524 # DEPENDENCYPART_ARC
(7,8),1.12943 # DEPENDENCYPART_ARC
(7,12),-1.50242 # DEPENDENCYPART_ARC
