# _root_ ondoren , kamera ilunari aplikatu zizkion bere argazki-emultsioak , benetako erretratuak lortuz .
#goldHeads=0,3,5,3,0,5,8,5,8,11,12,5,12,
#predictedHeads=5,3,5,3,0,5,8,5,8,11,12,5,12,
(0,1),-0.310827 # DEPENDENCYPART_ARC
(0,2),-1.62178 # DEPENDENCYPART_ARC
(0,3),-0.859908 # DEPENDENCYPART_ARC
(0,4),-1.91606 # DEPENDENCYPART_ARC
(0,5),-0.101459 # DEPENDENCYPART_ARC
(0,6),-1.01184 # DEPENDENCYPART_ARC
(0,8),-1.50043 # DEPENDENCYPART_ARC
(0,9),-1.14056 # DEPENDENCYPART_ARC
(0,10),-1.67729 # DEPENDENCYPART_ARC
(0,11),-2.07391 # DEPENDENCYPART_ARC
(0,12),-1.01708 # DEPENDENCYPART_ARC
(0,13),-1.95752 # DEPENDENCYPART_ARC
(1,2),-0.798311 # DEPENDENCYPART_ARC
(1,3),-1.56456 # DEPENDENCYPART_ARC
(1,8),-1.65095 # DEPENDENCYPART_ARC
(2,3),-1.24766 # DEPENDENCYPART_ARC
(2,4),-0.959651 # DEPENDENCYPART_ARC
(2,5),-1.16856 # DEPENDENCYPART_ARC
(2,12),-1.59 # DEPENDENCYPART_ARC
(3,1),-0.825269 # DEPENDENCYPART_ARC
(3,2),-0.0929107 # DEPENDENCYPART_ARC
(3,4),2.39608 # DEPENDENCYPART_ARC
(3,5),-0.970542 # DEPENDENCYPART_ARC
(3,6),-1.3086 # DEPENDENCYPART_ARC
(3,7),-0.550933 # DEPENDENCYPART_ARC
(3,8),-0.835284 # DEPENDENCYPART_ARC
(3,11),-1.11965 # DEPENDENCYPART_ARC
(3,12),-0.853711 # DEPENDENCYPART_ARC
(3,13),-0.974795 # DEPENDENCYPART_ARC
(4,1),-0.551931 # DEPENDENCYPART_ARC
(4,3),0.173739 # DEPENDENCYPART_ARC
(4,5),-1.63111 # DEPENDENCYPART_ARC
(4,8),-1.19228 # DEPENDENCYPART_ARC
(4,11),-1.81076 # DEPENDENCYPART_ARC
(4,12),-2.03451 # DEPENDENCYPART_ARC
(5,1),0.623357 # DEPENDENCYPART_ARC
(5,2),-0.916299 # DEPENDENCYPART_ARC
(5,3),1.20982 # DEPENDENCYPART_ARC
(5,4),0.387103 # DEPENDENCYPART_ARC
(5,6),1.99553 # DEPENDENCYPART_ARC
(5,7),-0.697282 # DEPENDENCYPART_ARC
(5,8),0.789122 # DEPENDENCYPART_ARC
(5,9),-0.487464 # DEPENDENCYPART_ARC
(5,10),-0.823909 # DEPENDENCYPART_ARC
(5,11),-0.924976 # DEPENDENCYPART_ARC
(5,12),1.1415 # DEPENDENCYPART_ARC
(6,3),-0.603176 # DEPENDENCYPART_ARC
(6,4),-1.14304 # DEPENDENCYPART_ARC
(6,5),-1.36253 # DEPENDENCYPART_ARC
(6,8),-2.40563 # DEPENDENCYPART_ARC
(6,11),-1.52911 # DEPENDENCYPART_ARC
(6,12),-1.4947 # DEPENDENCYPART_ARC
(8,1),-1.13233 # DEPENDENCYPART_ARC
(8,2),-1.40001 # DEPENDENCYPART_ARC
(8,3),-0.00530261 # DEPENDENCYPART_ARC
(8,4),-3.25059 # DEPENDENCYPART_ARC
(8,5),-0.853867 # DEPENDENCYPART_ARC
(8,6),-1.68185 # DEPENDENCYPART_ARC
(8,7),1.04223 # DEPENDENCYPART_ARC
(8,9),1.0861 # DEPENDENCYPART_ARC
(8,10),-1.77599 # DEPENDENCYPART_ARC
(8,11),-2.38971 # DEPENDENCYPART_ARC
(8,12),-1.79504 # DEPENDENCYPART_ARC
(8,13),-0.947097 # DEPENDENCYPART_ARC
(9,5),-0.308375 # DEPENDENCYPART_ARC
(9,6),-0.633022 # DEPENDENCYPART_ARC
(9,8),-0.059801 # DEPENDENCYPART_ARC
(9,10),-0.543661 # DEPENDENCYPART_ARC
(9,11),-0.732229 # DEPENDENCYPART_ARC
(9,12),-0.73986 # DEPENDENCYPART_ARC
(10,3),-1.44089 # DEPENDENCYPART_ARC
(10,8),-1.12904 # DEPENDENCYPART_ARC
(10,9),-0.559004 # DEPENDENCYPART_ARC
(10,11),-0.123292 # DEPENDENCYPART_ARC
(10,12),-0.556536 # DEPENDENCYPART_ARC
(11,1),-0.97637 # DEPENDENCYPART_ARC
(11,3),-0.175021 # DEPENDENCYPART_ARC
(11,4),-2.70676 # DEPENDENCYPART_ARC
(11,5),-0.232518 # DEPENDENCYPART_ARC
(11,8),-1.62715 # DEPENDENCYPART_ARC
(11,9),-0.617267 # DEPENDENCYPART_ARC
(11,10),2.07489 # DEPENDENCYPART_ARC
(11,12),-0.659256 # DEPENDENCYPART_ARC
(11,13),-0.75406 # DEPENDENCYPART_ARC
(12,1),-0.0838158 # DEPENDENCYPART_ARC
(12,2),-1.38448 # DEPENDENCYPART_ARC
(12,3),-0.317905 # DEPENDENCYPART_ARC
(12,4),-1.03098 # DEPENDENCYPART_ARC
(12,5),-0.821161 # DEPENDENCYPART_ARC
(12,6),-1.72429 # DEPENDENCYPART_ARC
(12,7),-1.53756 # DEPENDENCYPART_ARC
(12,8),0.657954 # DEPENDENCYPART_ARC
(12,9),-0.791765 # DEPENDENCYPART_ARC
(12,10),0.489619 # DEPENDENCYPART_ARC
(12,11),2.14016 # DEPENDENCYPART_ARC
(12,13),1.79204 # DEPENDENCYPART_ARC
(13,11),-0.830909 # DEPENDENCYPART_ARC
