# _root_ jose_antonio_alvarez_kaperotxipik , afera daraman epaileak , castejonek " ez duela zerikusirik eta gaizki aholkatua " zegoela argudiatu du .
#goldHeads=17,1,4,5,1,5,10,7,10,12,10,17,14,16,14,12,0,17,18,
#predictedHeads=12,3,4,5,10,5,10,7,10,17,10,16,14,16,14,17,0,17,18,
(0,1),-1.28488 # DEPENDENCYPART_ARC
(0,2),-1.23738 # DEPENDENCYPART_ARC
(0,3),-0.321397 # DEPENDENCYPART_ARC
(0,4),-1.50261 # DEPENDENCYPART_ARC
(0,5),-1.5524 # DEPENDENCYPART_ARC
(0,6),-1.0979 # DEPENDENCYPART_ARC
(0,7),-1.8186 # DEPENDENCYPART_ARC
(0,8),-2.01052 # DEPENDENCYPART_ARC
(0,9),-1.50246 # DEPENDENCYPART_ARC
(0,10),-2.23569 # DEPENDENCYPART_ARC
(0,11),-1.20589 # DEPENDENCYPART_ARC
(0,12),-1.07057 # DEPENDENCYPART_ARC
(0,13),-1.42071 # DEPENDENCYPART_ARC
(0,14),-1.25103 # DEPENDENCYPART_ARC
(0,15),-2.39891 # DEPENDENCYPART_ARC
(0,16),-1.81031 # DEPENDENCYPART_ARC
(0,17),-0.219235 # DEPENDENCYPART_ARC
(0,18),-1.20805 # DEPENDENCYPART_ARC
(0,19),-2.15634 # DEPENDENCYPART_ARC
(1,2),-0.149031 # DEPENDENCYPART_ARC
(1,3),-1.68914 # DEPENDENCYPART_ARC
(2,1),-0.684262 # DEPENDENCYPART_ARC
(2,3),-0.476508 # DEPENDENCYPART_ARC
(3,1),-1.69901 # DEPENDENCYPART_ARC
(3,2),0.0784656 # DEPENDENCYPART_ARC
(3,4),-1.67489 # DEPENDENCYPART_ARC
(3,5),-1.04271 # DEPENDENCYPART_ARC
(3,6),-0.993375 # DEPENDENCYPART_ARC
(3,7),-2.6335 # DEPENDENCYPART_ARC
(3,12),-1.45477 # DEPENDENCYPART_ARC
(4,1),-0.715121 # DEPENDENCYPART_ARC
(4,2),-0.841531 # DEPENDENCYPART_ARC
(4,3),2.2396 # DEPENDENCYPART_ARC
(4,5),-0.78336 # DEPENDENCYPART_ARC
(4,6),-0.565173 # DEPENDENCYPART_ARC
(4,7),-2.53916 # DEPENDENCYPART_ARC
(4,9),-0.733972 # DEPENDENCYPART_ARC
(4,10),-1.70366 # DEPENDENCYPART_ARC
(4,11),-0.675827 # DEPENDENCYPART_ARC
(4,12),-0.903695 # DEPENDENCYPART_ARC
(4,14),-2.0353 # DEPENDENCYPART_ARC
(4,16),-2.02444 # DEPENDENCYPART_ARC
(4,17),-2.96 # DEPENDENCYPART_ARC
(5,1),-0.952592 # DEPENDENCYPART_ARC
(5,2),-1.05997 # DEPENDENCYPART_ARC
(5,3),-0.776019 # DEPENDENCYPART_ARC
(5,4),0.974108 # DEPENDENCYPART_ARC
(5,6),1.07448 # DEPENDENCYPART_ARC
(5,7),-1.02327 # DEPENDENCYPART_ARC
(5,10),-2.32139 # DEPENDENCYPART_ARC
(5,11),-1.53315 # DEPENDENCYPART_ARC
(5,12),-1.3414 # DEPENDENCYPART_ARC
(5,14),-1.06894 # DEPENDENCYPART_ARC
(5,16),-1.59329 # DEPENDENCYPART_ARC
(5,17),-2.06572 # DEPENDENCYPART_ARC
(6,1),-1.29198 # DEPENDENCYPART_ARC
