# _root_ lau euskal_herritar horiek 1996an epaitu zituzten , eta sei urteko zigorra ezarri zieten , etari laguntza ematea leporatuta .
#goldHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
#predictedHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
(0,1),-0.662935 # DEPENDENCYPART_ARC
(0,2),-0.981275 # DEPENDENCYPART_ARC
(0,3),-1.89659 # DEPENDENCYPART_ARC
(0,4),-1.44357 # DEPENDENCYPART_ARC
(0,5),0.311631 # DEPENDENCYPART_ARC
(0,6),-1.41597 # DEPENDENCYPART_ARC
(0,7),-0.953205 # DEPENDENCYPART_ARC
(0,8),1.11459 # DEPENDENCYPART_ARC
(0,9),-1.62237 # DEPENDENCYPART_ARC
(0,10),-1.45191 # DEPENDENCYPART_ARC
(0,12),-0.166657 # DEPENDENCYPART_ARC
(0,13),-1.82205 # DEPENDENCYPART_ARC
(0,14),-1.09323 # DEPENDENCYPART_ARC
(0,15),-1.29912 # DEPENDENCYPART_ARC
(0,17),-2.02737 # DEPENDENCYPART_ARC
(0,18),-1.8262 # DEPENDENCYPART_ARC
(0,19),-3.05419 # DEPENDENCYPART_ARC
(1,2),-0.797976 # DEPENDENCYPART_ARC
(2,1),0.929774 # DEPENDENCYPART_ARC
(2,3),1.72979 # DEPENDENCYPART_ARC
(2,5),-1.14757 # DEPENDENCYPART_ARC
(2,6),-1.43708 # DEPENDENCYPART_ARC
(2,9),-1.31549 # DEPENDENCYPART_ARC
(3,5),-1.60794 # DEPENDENCYPART_ARC
(3,11),-1.34598 # DEPENDENCYPART_ARC
(3,12),-1.62758 # DEPENDENCYPART_ARC
(3,18),-1.24444 # DEPENDENCYPART_ARC
(5,1),-0.234788 # DEPENDENCYPART_ARC
(5,2),0.956518 # DEPENDENCYPART_ARC
(5,3),0.153969 # DEPENDENCYPART_ARC
(5,4),2.43343 # DEPENDENCYPART_ARC
(5,6),1.81937 # DEPENDENCYPART_ARC
(5,7),-0.469798 # DEPENDENCYPART_ARC
(5,8),-0.196817 # DEPENDENCYPART_ARC
(5,9),-1.11483 # DEPENDENCYPART_ARC
(5,10),-1.5844 # DEPENDENCYPART_ARC
(5,11),-0.743099 # DEPENDENCYPART_ARC
(5,12),-1.10598 # DEPENDENCYPART_ARC
(5,13),-0.702395 # DEPENDENCYPART_ARC
(5,14),-1.13001 # DEPENDENCYPART_ARC
(5,16),-1.33893 # DEPENDENCYPART_ARC
(5,17),-0.943425 # DEPENDENCYPART_ARC
(5,18),-0.293111 # DEPENDENCYPART_ARC
(6,2),-0.818737 # DEPENDENCYPART_ARC
(6,7),1.46424 # DEPENDENCYPART_ARC
(6,8),-1.34313 # DEPENDENCYPART_ARC
(6,13),-1.53586 # DEPENDENCYPART_ARC
(7,5),-0.424101 # DEPENDENCYPART_ARC
(7,6),-0.285735 # DEPENDENCYPART_ARC
(7,8),-0.710569 # DEPENDENCYPART_ARC
(7,9),-1.62794 # DEPENDENCYPART_ARC
(8,1),-0.687613 # DEPENDENCYPART_ARC
(8,2),-0.661721 # DEPENDENCYPART_ARC
(8,3),-1.15397 # DEPENDENCYPART_ARC
(8,5),1.43094 # DEPENDENCYPART_ARC
(8,6),-0.804652 # DEPENDENCYPART_ARC
(8,7),-0.415034 # DEPENDENCYPART_ARC
(8,9),-0.713792 # DEPENDENCYPART_ARC
(8,10),-0.0812561 # DEPENDENCYPART_ARC
(8,11),0.102951 # DEPENDENCYPART_ARC
(8,12),1.16894 # DEPENDENCYPART_ARC
(8,14),-0.479382 # DEPENDENCYPART_ARC
(8,16),-0.978676 # DEPENDENCYPART_ARC
(8,17),0.0641375 # DEPENDENCYPART_ARC
(8,18),-0.496644 # DEPENDENCYPART_ARC
(9,10),-0.165829 # DEPENDENCYPART_ARC
(9,11),-0.663282 # DEPENDENCYPART_ARC
(10,2),-1.56652 # DEPENDENCYPART_ARC
(10,3),-3.38722 # DEPENDENCYPART_ARC
(10,5),-1.36122 # DEPENDENCYPART_ARC
(10,7),-1.27241 # DEPENDENCYPART_ARC
(10,8),-0.590584 # DEPENDENCYPART_ARC
(10,9),1.68221 # DEPENDENCYPART_ARC
(10,11),-1.2283 # DEPENDENCYPART_ARC
(10,13),-3.6221 # DEPENDENCYPART_ARC
(10,15),-3.49854 # DEPENDENCYPART_ARC
(10,16),-2.59204 # DEPENDENCYPART_ARC
(10,19),-1.76989 # DEPENDENCYPART_ARC
(11,2),-1.20107 # DEPENDENCYPART_ARC
(11,3),-3.45677 # DEPENDENCYPART_ARC
(11,5),-0.934841 # DEPENDENCYPART_ARC
(11,7),-1.20337 # DEPENDENCYPART_ARC
(11,8),-0.615212 # DEPENDENCYPART_ARC
(11,9),0.379348 # DEPENDENCYPART_ARC
(11,10),2.4405 # DEPENDENCYPART_ARC
(11,12),-1.72244 # DEPENDENCYPART_ARC
(11,13),-1.8144 # DEPENDENCYPART_ARC
(11,14),-1.06911 # DEPENDENCYPART_ARC
(11,15),-2.54394 # DEPENDENCYPART_ARC
(11,16),-1.4458 # DEPENDENCYPART_ARC
(11,17),-1.24832 # DEPENDENCYPART_ARC
(11,18),-1.91004 # DEPENDENCYPART_ARC
(11,19),-1.61144 # DEPENDENCYPART_ARC
(12,2),0.27949 # DEPENDENCYPART_ARC
(12,3),-0.699688 # DEPENDENCYPART_ARC
(12,4),0.536013 # DEPENDENCYPART_ARC
(12,5),0.123097 # DEPENDENCYPART_ARC
(12,6),-1.07531 # DEPENDENCYPART_ARC
(12,7),-1.11655 # DEPENDENCYPART_ARC
(12,8),0.0730987 # DEPENDENCYPART_ARC
(12,9),-0.0149284 # DEPENDENCYPART_ARC
(12,10),0.262416 # DEPENDENCYPART_ARC
(12,11),2.43112 # DEPENDENCYPART_ARC
(12,13),1.61987 # DEPENDENCYPART_ARC
(12,14),-0.632961 # DEPENDENCYPART_ARC
(12,15),-0.225961 # DEPENDENCYPART_ARC
(12,16),-0.599867 # DEPENDENCYPART_ARC
(12,17),-0.262812 # DEPENDENCYPART_ARC
(12,18),0.437732 # DEPENDENCYPART_ARC
(13,10),-1.01947 # DEPENDENCYPART_ARC
(13,11),-1.1031 # DEPENDENCYPART_ARC
(13,14),1.09691 # DEPENDENCYPART_ARC
(13,16),-2.51238 # DEPENDENCYPART_ARC
(13,17),-1.89566 # DEPENDENCYPART_ARC
(13,18),-1.81884 # DEPENDENCYPART_ARC
(14,12),-0.216103 # DEPENDENCYPART_ARC
(14,13),0.0494472 # DEPENDENCYPART_ARC
(14,16),-1.33565 # DEPENDENCYPART_ARC
(14,17),-0.798918 # DEPENDENCYPART_ARC
(14,18),-0.866137 # DEPENDENCYPART_ARC
(15,12),-1.8862 # DEPENDENCYPART_ARC
(15,14),-0.578615 # DEPENDENCYPART_ARC
(15,16),0.857601 # DEPENDENCYPART_ARC
(16,8),-1.71184 # DEPENDENCYPART_ARC
(16,9),-1.41397 # DEPENDENCYPART_ARC
(16,10),-0.760802 # DEPENDENCYPART_ARC
(16,11),-3.26978 # DEPENDENCYPART_ARC
(16,12),-1.21159 # DEPENDENCYPART_ARC
(16,14),-1.30466 # DEPENDENCYPART_ARC
(16,15),-1.02376 # DEPENDENCYPART_ARC
(16,17),0.469013 # DEPENDENCYPART_ARC
(16,18),-1.12681 # DEPENDENCYPART_ARC
(16,19),-0.982425 # DEPENDENCYPART_ARC
(17,2),-0.98379 # DEPENDENCYPART_ARC
(17,3),-0.571103 # DEPENDENCYPART_ARC
(17,4),-0.757788 # DEPENDENCYPART_ARC
(17,5),-1.31026 # DEPENDENCYPART_ARC
(17,6),-1.85998 # DEPENDENCYPART_ARC
(17,7),-1.53029 # DEPENDENCYPART_ARC
(17,8),-0.742225 # DEPENDENCYPART_ARC
(17,10),-1.35546 # DEPENDENCYPART_ARC
(17,11),0.423181 # DEPENDENCYPART_ARC
(17,12),-0.691355 # DEPENDENCYPART_ARC
(17,13),-1.41371 # DEPENDENCYPART_ARC
(17,14),-1.07417 # DEPENDENCYPART_ARC
(17,15),1.0671 # DEPENDENCYPART_ARC
(17,16),2.84704 # DEPENDENCYPART_ARC
(17,18),0.999988 # DEPENDENCYPART_ARC
(17,19),-0.199235 # DEPENDENCYPART_ARC
(18,2),-1.60974 # DEPENDENCYPART_ARC
(18,3),-1.19439 # DEPENDENCYPART_ARC
(18,4),-2.15991 # DEPENDENCYPART_ARC
(18,5),-1.21533 # DEPENDENCYPART_ARC
(18,7),-1.64549 # DEPENDENCYPART_ARC
(18,8),-0.200453 # DEPENDENCYPART_ARC
(18,10),-2.57746 # DEPENDENCYPART_ARC
(18,11),-1.23587 # DEPENDENCYPART_ARC
(18,12),-0.872284 # DEPENDENCYPART_ARC
(18,13),-1.36618 # DEPENDENCYPART_ARC
(18,14),-1.32561 # DEPENDENCYPART_ARC
(18,15),0.283714 # DEPENDENCYPART_ARC
(18,16),0.453693 # DEPENDENCYPART_ARC
(18,17),1.10329 # DEPENDENCYPART_ARC
(18,19),1.85792 # DEPENDENCYPART_ARC
(19,17),-1.17916 # DEPENDENCYPART_ARC
