# _root_ otsailean egindako bileran , arabera , giza_eskubideak urratzen dituen ekintzarik ez babesteko konpromisoa hartu zuten sinatzaileek .
#goldHeads=2,3,14,3,14,5,8,10,8,12,12,13,14,0,14,14,16,
#predictedHeads=2,3,12,3,8,5,8,10,8,12,12,13,14,0,14,14,16,
(0,1),-0.781472 # DEPENDENCYPART_ARC
(0,2),-1.36603 # DEPENDENCYPART_ARC
(0,3),-1.4525 # DEPENDENCYPART_ARC
(0,4),-1.1954 # DEPENDENCYPART_ARC
(0,5),-1.35374 # DEPENDENCYPART_ARC
(0,6),-1.21571 # DEPENDENCYPART_ARC
(0,7),-0.701232 # DEPENDENCYPART_ARC
(0,8),-0.307183 # DEPENDENCYPART_ARC
(0,9),-0.396219 # DEPENDENCYPART_ARC
(0,10),-1.65267 # DEPENDENCYPART_ARC
(0,11),-1.5751 # DEPENDENCYPART_ARC
(0,12),-1.65497 # DEPENDENCYPART_ARC
(0,13),-2.03009 # DEPENDENCYPART_ARC
(0,14),-0.601515 # DEPENDENCYPART_ARC
(0,15),-0.632757 # DEPENDENCYPART_ARC
(0,16),-2.59863 # DEPENDENCYPART_ARC
(0,17),-2.96132 # DEPENDENCYPART_ARC
(1,4),-1.64875 # DEPENDENCYPART_ARC
(1,5),-1.23149 # DEPENDENCYPART_ARC
(2,1),2.51269 # DEPENDENCYPART_ARC
(2,3),-0.354229 # DEPENDENCYPART_ARC
(2,4),-0.82231 # DEPENDENCYPART_ARC
(2,5),-1.18105 # DEPENDENCYPART_ARC
(2,6),-1.59648 # DEPENDENCYPART_ARC
(2,7),-3.78911 # DEPENDENCYPART_ARC
(2,8),-2.09196 # DEPENDENCYPART_ARC
(2,9),-1.13043 # DEPENDENCYPART_ARC
(2,10),-3.20113 # DEPENDENCYPART_ARC
(2,12),-2.30131 # DEPENDENCYPART_ARC
(2,14),-2.4928 # DEPENDENCYPART_ARC
(2,15),-1.93934 # DEPENDENCYPART_ARC
(2,16),-2.99649 # DEPENDENCYPART_ARC
(3,1),-1.6401 # DEPENDENCYPART_ARC
(3,2),2.47567 # DEPENDENCYPART_ARC
(3,4),0.84142 # DEPENDENCYPART_ARC
(3,5),-0.864879 # DEPENDENCYPART_ARC
(3,6),-0.829411 # DEPENDENCYPART_ARC
(3,7),-1.66506 # DEPENDENCYPART_ARC
(3,8),-1.28787 # DEPENDENCYPART_ARC
(3,9),-3.80464 # DEPENDENCYPART_ARC
(3,12),-1.96831 # DEPENDENCYPART_ARC
(3,13),-2.63848 # DEPENDENCYPART_ARC
(3,14),-2.54875 # DEPENDENCYPART_ARC
(3,16),-2.59743 # DEPENDENCYPART_ARC
(4,2),-0.530947 # DEPENDENCYPART_ARC
(4,3),-0.261966 # DEPENDENCYPART_ARC
(4,8),-0.684413 # DEPENDENCYPART_ARC
(4,14),-1.00715 # DEPENDENCYPART_ARC
(4,16),-1.15807 # DEPENDENCYPART_ARC
(5,1),-1.1984 # DEPENDENCYPART_ARC
(5,2),-1.05295 # DEPENDENCYPART_ARC
(5,3),-0.862153 # DEPENDENCYPART_ARC
(5,4),0.0622709 # DEPENDENCYPART_ARC
(5,6),1.53494 # DEPENDENCYPART_ARC
(5,7),-0.829487 # DEPENDENCYPART_ARC
(5,10),-0.998583 # DEPENDENCYPART_ARC
(5,13),-0.929198 # DEPENDENCYPART_ARC
(6,2),-1.0216 # DEPENDENCYPART_ARC
(6,7),-0.759917 # DEPENDENCYPART_ARC
(6,14),-1.42155 # DEPENDENCYPART_ARC
(7,1),-3.28739 # DEPENDENCYPART_ARC
(7,2),0.249694 # DEPENDENCYPART_ARC
(7,3),-3.14892 # DEPENDENCYPART_ARC
(7,4),-1.16819 # DEPENDENCYPART_ARC
(7,5),-0.724018 # DEPENDENCYPART_ARC
(7,6),0.235302 # DEPENDENCYPART_ARC
(7,8),-0.792096 # DEPENDENCYPART_ARC
(7,9),-1.55505 # DEPENDENCYPART_ARC
(7,12),-2.1971 # DEPENDENCYPART_ARC
(7,17),-0.947016 # DEPENDENCYPART_ARC
(8,1),-0.200283 # DEPENDENCYPART_ARC
(8,2),-1.19111 # DEPENDENCYPART_ARC
(8,3),-0.339017 # DEPENDENCYPART_ARC
(8,4),-1.29032 # DEPENDENCYPART_ARC
(8,5),0.0374056 # DEPENDENCYPART_ARC
(8,6),-1.23213 # DEPENDENCYPART_ARC
(8,7),2.13591 # DEPENDENCYPART_ARC
(8,9),2.39359 # DEPENDENCYPART_ARC
(8,10),-0.0708168 # DEPENDENCYPART_ARC
(8,11),-0.204371 # DEPENDENCYPART_ARC
(8,12),-0.522951 # DEPENDENCYPART_ARC
(8,13),-0.28622 # DEPENDENCYPART_ARC
(8,14),-1.10173 # DEPENDENCYPART_ARC
(8,15),-1.36401 # DEPENDENCYPART_ARC
(8,16),0.00764387 # DEPENDENCYPART_ARC
(9,1),-2.10607 # DEPENDENCYPART_ARC
(9,3),-2.05974 # DEPENDENCYPART_ARC
(9,7),-0.600897 # DEPENDENCYPART_ARC
(9,10),-1.32221 # DEPENDENCYPART_ARC
(9,11),-0.595786 # DEPENDENCYPART_ARC
(9,15),-1.45453 # DEPENDENCYPART_ARC
(10,1),-3.07468 # DEPENDENCYPART_ARC
(10,2),-0.156528 # DEPENDENCYPART_ARC
(10,3),-3.03942 # DEPENDENCYPART_ARC
(10,4),-1.40383 # DEPENDENCYPART_ARC
(10,5),-1.19866 # DEPENDENCYPART_ARC
(10,6),-1.25086 # DEPENDENCYPART_ARC
(10,7),-1.75266 # DEPENDENCYPART_ARC
(10,8),0.794046 # DEPENDENCYPART_ARC
(10,9),-0.89577 # DEPENDENCYPART_ARC
(10,11),-0.737272 # DEPENDENCYPART_ARC
(10,12),-1.65069 # DEPENDENCYPART_ARC
(10,13),-1.45683 # DEPENDENCYPART_ARC
(10,14),-2.41345 # DEPENDENCYPART_ARC
(10,15),-2.33372 # DEPENDENCYPART_ARC
(10,17),-0.892905 # DEPENDENCYPART_ARC
(11,10),-0.584905 # DEPENDENCYPART_ARC
(11,12),-0.445533 # DEPENDENCYPART_ARC
(11,13),-1.27926 # DEPENDENCYPART_ARC
(11,16),-1.3825 # DEPENDENCYPART_ARC
(12,1),-0.278896 # DEPENDENCYPART_ARC
(12,2),-0.915626 # DEPENDENCYPART_ARC
(12,3),-0.22467 # DEPENDENCYPART_ARC
(12,4),-1.4033 # DEPENDENCYPART_ARC
(12,5),-0.807281 # DEPENDENCYPART_ARC
(12,6),-1.55798 # DEPENDENCYPART_ARC
(12,7),0.841883 # DEPENDENCYPART_ARC
(12,8),-0.680159 # DEPENDENCYPART_ARC
(12,9),-0.74375 # DEPENDENCYPART_ARC
(12,10),1.89817 # DEPENDENCYPART_ARC
(12,11),1.22829 # DEPENDENCYPART_ARC
(12,13),-0.697216 # DEPENDENCYPART_ARC
(12,14),-1.69952 # DEPENDENCYPART_ARC
(12,15),-1.82455 # DEPENDENCYPART_ARC
(12,16),-1.30644 # DEPENDENCYPART_ARC
(13,5),-1.36292 # DEPENDENCYPART_ARC
(13,6),-1.46236 # DEPENDENCYPART_ARC
(13,8),-0.405771 # DEPENDENCYPART_ARC
(13,10),-0.567113 # DEPENDENCYPART_ARC
(13,11),-0.112194 # DEPENDENCYPART_ARC
(13,12),1.85767 # DEPENDENCYPART_ARC
(13,14),-0.753703 # DEPENDENCYPART_ARC
(13,15),-1.30423 # DEPENDENCYPART_ARC
(13,16),-1.15055 # DEPENDENCYPART_ARC
(13,17),-0.77652 # DEPENDENCYPART_ARC
(14,1),-0.411928 # DEPENDENCYPART_ARC
(14,2),-0.887573 # DEPENDENCYPART_ARC
(14,3),-0.711972 # DEPENDENCYPART_ARC
(14,4),-1.87824 # DEPENDENCYPART_ARC
(14,5),-0.731713 # DEPENDENCYPART_ARC
(14,6),-2.00451 # DEPENDENCYPART_ARC
(14,7),-0.292929 # DEPENDENCYPART_ARC
(14,8),-0.493543 # DEPENDENCYPART_ARC
(14,9),-0.947167 # DEPENDENCYPART_ARC
(14,10),-0.440305 # DEPENDENCYPART_ARC
(14,11),-0.269817 # DEPENDENCYPART_ARC
(14,12),0.217193 # DEPENDENCYPART_ARC
(14,13),1.74263 # DEPENDENCYPART_ARC
(14,15),1.52373 # DEPENDENCYPART_ARC
(14,16),1.43795 # DEPENDENCYPART_ARC
(15,11),-1.33782 # DEPENDENCYPART_ARC
(15,13),-0.503613 # DEPENDENCYPART_ARC
(15,16),-0.929232 # DEPENDENCYPART_ARC
(16,8),-0.514898 # DEPENDENCYPART_ARC
(16,10),-0.990866 # DEPENDENCYPART_ARC
(16,12),-0.962282 # DEPENDENCYPART_ARC
(16,13),-1.75594 # DEPENDENCYPART_ARC
(16,14),0.451604 # DEPENDENCYPART_ARC
(16,15),-1.0738 # DEPENDENCYPART_ARC
(16,17),1.57935 # DEPENDENCYPART_ARC
