# _root_ jaurlaritzak prezioak hitzartzen dituztela irizten badio , europako_batzordera jotzeko asmoa du , hark azter dezan europako lehia askearen gaineko legedia betetzen den ala ez .
#goldHeads=5,3,5,3,11,5,6,9,10,11,0,11,14,11,14,17,20,17,18,21,23,21,14,21,24,
#predictedHeads=3,3,5,3,23,5,6,9,10,11,0,11,14,23,14,17,20,17,20,21,23,21,11,23,24,
(0,1),-0.800098 # DEPENDENCYPART_ARC
(0,2),-0.865422 # DEPENDENCYPART_ARC
(0,3),-0.171825 # DEPENDENCYPART_ARC
(0,4),-0.921797 # DEPENDENCYPART_ARC
(0,5),-0.353142 # DEPENDENCYPART_ARC
(0,6),-0.709477 # DEPENDENCYPART_ARC
(0,7),-0.827173 # DEPENDENCYPART_ARC
(0,8),-1.89324 # DEPENDENCYPART_ARC
(0,9),-2.03229 # DEPENDENCYPART_ARC
(0,10),-1.33803 # DEPENDENCYPART_ARC
(0,11),-0.532805 # DEPENDENCYPART_ARC
(0,12),-0.950414 # DEPENDENCYPART_ARC
(0,13),-1.98937 # DEPENDENCYPART_ARC
(0,14),-1.45377 # DEPENDENCYPART_ARC
(0,15),-0.79426 # DEPENDENCYPART_ARC
(0,18),-2.29204 # DEPENDENCYPART_ARC
(0,21),-1.05118 # DEPENDENCYPART_ARC
(0,22),-1.88487 # DEPENDENCYPART_ARC
(0,23),-3.21413 # DEPENDENCYPART_ARC
(0,24),-2.70081 # DEPENDENCYPART_ARC
(0,25),-4.03593 # DEPENDENCYPART_ARC
(1,2),-0.480719 # DEPENDENCYPART_ARC
(1,4),-2.67422 # DEPENDENCYPART_ARC
(1,6),-3.22325 # DEPENDENCYPART_ARC
(2,1),-0.616138 # DEPENDENCYPART_ARC
(2,3),-0.996005 # DEPENDENCYPART_ARC
(2,4),-1.39049 # DEPENDENCYPART_ARC
(2,6),-2.24677 # DEPENDENCYPART_ARC
(3,1),1.94807 # DEPENDENCYPART_ARC
(3,2),2.36632 # DEPENDENCYPART_ARC
(3,4),1.99909 # DEPENDENCYPART_ARC
(3,5),-0.580676 # DEPENDENCYPART_ARC
(3,6),0.265446 # DEPENDENCYPART_ARC
(3,7),-1.39909 # DEPENDENCYPART_ARC
(3,8),-2.19984 # DEPENDENCYPART_ARC
(3,9),-1.15075 # DEPENDENCYPART_ARC
(3,10),-1.11832 # DEPENDENCYPART_ARC
(3,11),-1.46634 # DEPENDENCYPART_ARC
(3,12),-1.17434 # DEPENDENCYPART_ARC
(3,15),-0.907831 # DEPENDENCYPART_ARC
(3,16),-2.8199 # DEPENDENCYPART_ARC
(3,19),-2.81998 # DEPENDENCYPART_ARC
(3,20),-2.11268 # DEPENDENCYPART_ARC
(3,21),-1.81316 # DEPENDENCYPART_ARC
(3,23),-0.518683 # DEPENDENCYPART_ARC
(4,1),-1.25404 # DEPENDENCYPART_ARC
(4,2),-0.872969 # DEPENDENCYPART_ARC
(4,5),-1.87902 # DEPENDENCYPART_ARC
(4,6),-1.26764 # DEPENDENCYPART_ARC
(5,1),1.30252 # DEPENDENCYPART_ARC
(5,2),0.634067 # DEPENDENCYPART_ARC
(5,3),1.27446 # DEPENDENCYPART_ARC
(5,4),0.0826934 # DEPENDENCYPART_ARC
(5,6),2.27285 # DEPENDENCYPART_ARC
(5,7),-0.575472 # DEPENDENCYPART_ARC
(5,8),-1.78263 # DEPENDENCYPART_ARC
(5,9),-0.668258 # DEPENDENCYPART_ARC
(5,10),-0.604422 # DEPENDENCYPART_ARC
(5,11),-1.23372 # DEPENDENCYPART_ARC
(5,12),-0.83369 # DEPENDENCYPART_ARC
(5,14),-0.700956 # DEPENDENCYPART_ARC
(5,15),-0.668481 # DEPENDENCYPART_ARC
(5,16),-2.1335 # DEPENDENCYPART_ARC
(5,17),-1.56109 # DEPENDENCYPART_ARC
(5,19),-2.37103 # DEPENDENCYPART_ARC
(5,20),-1.79821 # DEPENDENCYPART_ARC
(5,21),-1.53297 # DEPENDENCYPART_ARC
(5,23),-0.483562 # DEPENDENCYPART_ARC
(6,1),-1.46216 # DEPENDENCYPART_ARC
(6,2),-1.04011 # DEPENDENCYPART_ARC
(6,7),1.47295 # DEPENDENCYPART_ARC
(6,8),-2.3005 # DEPENDENCYPART_ARC
(6,11),-1.9996 # DEPENDENCYPART_ARC
(6,15),-1.30766 # DEPENDENCYPART_ARC
(6,23),-1.06659 # DEPENDENCYPART_ARC
(7,3),-0.280953 # DEPENDENCYPART_ARC
(7,4),-0.478684 # DEPENDENCYPART_ARC
(7,6),0.16134 # DEPENDENCYPART_ARC
(8,5),-2.05214 # DEPENDENCYPART_ARC
(8,7),-0.739412 # DEPENDENCYPART_ARC
(8,9),-0.4086 # DEPENDENCYPART_ARC
(8,10),-0.734257 # DEPENDENCYPART_ARC
(9,1),-1.73276 # DEPENDENCYPART_ARC
(9,2),-0.528959 # DEPENDENCYPART_ARC
(9,3),-1.62269 # DEPENDENCYPART_ARC
(9,4),-1.58198 # DEPENDENCYPART_ARC
(9,5),-1.29654 # DEPENDENCYPART_ARC
(9,6),-1.57997 # DEPENDENCYPART_ARC
(9,7),-1.38292 # DEPENDENCYPART_ARC
(9,8),2.23607 # DEPENDENCYPART_ARC
(9,10),-1.27495 # DEPENDENCYPART_ARC
(9,11),-1.90487 # DEPENDENCYPART_ARC
(9,12),-1.15263 # DEPENDENCYPART_ARC
(9,14),-1.64099 # DEPENDENCYPART_ARC
(9,15),-2.46008 # DEPENDENCYPART_ARC
(9,18),-2.52362 # DEPENDENCYPART_ARC
(9,21),-2.93898 # DEPENDENCYPART_ARC
(9,22),-2.48219 # DEPENDENCYPART_ARC
(9,23),-1.02936 # DEPENDENCYPART_ARC
(10,3),-1.00403 # DEPENDENCYPART_ARC
(10,5),-0.914991 # DEPENDENCYPART_ARC
(10,7),-1.12702 # DEPENDENCYPART_ARC
(10,8),0.702197 # DEPENDENCYPART_ARC
(10,9),2.18364 # DEPENDENCYPART_ARC
(10,11),-0.261813 # DEPENDENCYPART_ARC
(10,12),-0.440195 # DEPENDENCYPART_ARC
(10,13),-2.10225 # DEPENDENCYPART_ARC
(10,15),-1.89847 # DEPENDENCYPART_ARC
(11,1),-0.116282 # DEPENDENCYPART_ARC
(11,2),-0.878911 # DEPENDENCYPART_ARC
(11,3),-0.484433 # DEPENDENCYPART_ARC
(11,5),-0.372478 # DEPENDENCYPART_ARC
(11,7),-0.954193 # DEPENDENCYPART_ARC
(11,8),0.960069 # DEPENDENCYPART_ARC
(11,9),0.163761 # DEPENDENCYPART_ARC
(11,10),2.26434 # DEPENDENCYPART_ARC
(11,12),1.38518 # DEPENDENCYPART_ARC
(11,14),-0.115873 # DEPENDENCYPART_ARC
(11,15),-0.857061 # DEPENDENCYPART_ARC
(11,17),-0.874131 # DEPENDENCYPART_ARC
(11,18),-2.94963 # DEPENDENCYPART_ARC
(11,19),-1.87021 # DEPENDENCYPART_ARC
(11,20),-0.906608 # DEPENDENCYPART_ARC
(11,21),-0.833569 # DEPENDENCYPART_ARC
(11,22),-0.736996 # DEPENDENCYPART_ARC
(11,23),0.0557002 # DEPENDENCYPART_ARC
(12,10),-0.713035 # DEPENDENCYPART_ARC
(12,11),0.295004 # DEPENDENCYPART_ARC
(12,21),-1.43054 # DEPENDENCYPART_ARC
(13,9),-0.769698 # DEPENDENCYPART_ARC
(13,12),-0.232688 # DEPENDENCYPART_ARC
(13,14),-0.931945 # DEPENDENCYPART_ARC
(13,17),-1.3651 # DEPENDENCYPART_ARC
(13,21),-1.84743 # DEPENDENCYPART_ARC
(14,1),-1.17843 # DEPENDENCYPART_ARC
(14,2),-1.52473 # DEPENDENCYPART_ARC
(14,3),-1.23847 # DEPENDENCYPART_ARC
(14,4),-1.44368 # DEPENDENCYPART_ARC
(14,5),-0.983992 # DEPENDENCYPART_ARC
(14,6),-1.32065 # DEPENDENCYPART_ARC
(14,7),-1.28987 # DEPENDENCYPART_ARC
(14,8),-1.04746 # DEPENDENCYPART_ARC
(14,9),-0.199593 # DEPENDENCYPART_ARC
(14,10),-0.181425 # DEPENDENCYPART_ARC
(14,11),-0.772843 # DEPENDENCYPART_ARC
(14,12),-0.819244 # DEPENDENCYPART_ARC
(14,13),0.80524 # DEPENDENCYPART_ARC
(14,15),2.78409 # DEPENDENCYPART_ARC
(14,16),0.351157 # DEPENDENCYPART_ARC
(14,17),0.356971 # DEPENDENCYPART_ARC
(14,18),-1.51248 # DEPENDENCYPART_ARC
(14,19),-0.200124 # DEPENDENCYPART_ARC
(14,20),-0.410664 # DEPENDENCYPART_ARC
(14,21),-0.25954 # DEPENDENCYPART_ARC
(14,22),0.214944 # DEPENDENCYPART_ARC
(14,23),-0.023471 # DEPENDENCYPART_ARC
(15,13),-0.669614 # DEPENDENCYPART_ARC
(15,16),-1.98307 # DEPENDENCYPART_ARC
(15,22),-1.55697 # DEPENDENCYPART_ARC
(16,14),-1.05192 # DEPENDENCYPART_ARC
(16,17),-1.28767 # DEPENDENCYPART_ARC
(17,12),-1.7178 # DEPENDENCYPART_ARC
(17,13),-2.25989 # DEPENDENCYPART_ARC
(17,14),-0.191273 # DEPENDENCYPART_ARC
(17,15),-1.1501 # DEPENDENCYPART_ARC
(17,16),1.03919 # DEPENDENCYPART_ARC
(17,18),2.12183 # DEPENDENCYPART_ARC
(17,19),-0.142776 # DEPENDENCYPART_ARC
(17,20),-0.631537 # DEPENDENCYPART_ARC
(17,22),-1.41784 # DEPENDENCYPART_ARC
(17,23),-0.828791 # DEPENDENCYPART_ARC
(17,25),-1.09341 # DEPENDENCYPART_ARC
(18,16),-0.1384 # DEPENDENCYPART_ARC
(18,17),0.12363 # DEPENDENCYPART_ARC
(18,19),0.322719 # DEPENDENCYPART_ARC
(18,20),-1.03943 # DEPENDENCYPART_ARC
(19,12),-1.97535 # DEPENDENCYPART_ARC
(19,13),-3.79079 # DEPENDENCYPART_ARC
(19,14),-1.46605 # DEPENDENCYPART_ARC
(19,16),-0.571717 # DEPENDENCYPART_ARC
(19,17),0.192346 # DEPENDENCYPART_ARC
(19,18),0.229471 # DEPENDENCYPART_ARC
(19,20),-1.27762 # DEPENDENCYPART_ARC
(19,22),-3.03365 # DEPENDENCYPART_ARC
(19,25),-1.41331 # DEPENDENCYPART_ARC
(20,13),-3.68223 # DEPENDENCYPART_ARC
(20,16),0.415089 # DEPENDENCYPART_ARC
(20,17),0.407309 # DEPENDENCYPART_ARC
(20,18),0.0960025 # DEPENDENCYPART_ARC
(20,19),2.08401 # DEPENDENCYPART_ARC
(20,21),-0.774645 # DEPENDENCYPART_ARC
(20,22),-1.13405 # DEPENDENCYPART_ARC
(20,25),-1.25276 # DEPENDENCYPART_ARC
(21,1),-1.46843 # DEPENDENCYPART_ARC
(21,2),-2.0311 # DEPENDENCYPART_ARC
(21,3),-1.50382 # DEPENDENCYPART_ARC
(21,5),-1.59481 # DEPENDENCYPART_ARC
(21,7),-1.79385 # DEPENDENCYPART_ARC
(21,8),-1.77535 # DEPENDENCYPART_ARC
(21,9),-1.08549 # DEPENDENCYPART_ARC
(21,10),-1.35466 # DEPENDENCYPART_ARC
(21,11),-1.20639 # DEPENDENCYPART_ARC
(21,13),-0.364851 # DEPENDENCYPART_ARC
(21,14),-0.355509 # DEPENDENCYPART_ARC
(21,15),-0.75995 # DEPENDENCYPART_ARC
(21,16),-1.21162 # DEPENDENCYPART_ARC
(21,17),0.0123251 # DEPENDENCYPART_ARC
(21,18),-1.34709 # DEPENDENCYPART_ARC
(21,19),-0.254056 # DEPENDENCYPART_ARC
(21,20),1.85999 # DEPENDENCYPART_ARC
(21,22),1.70792 # DEPENDENCYPART_ARC
(21,23),-0.742914 # DEPENDENCYPART_ARC
(21,24),-1.01533 # DEPENDENCYPART_ARC
(22,19),-0.777991 # DEPENDENCYPART_ARC
(22,20),-0.400444 # DEPENDENCYPART_ARC
(22,23),-0.30481 # DEPENDENCYPART_ARC
(22,24),-0.389807 # DEPENDENCYPART_ARC
(23,3),-0.210901 # DEPENDENCYPART_ARC
(23,5),-0.200105 # DEPENDENCYPART_ARC
(23,8),-0.665328 # DEPENDENCYPART_ARC
(23,9),-0.532551 # DEPENDENCYPART_ARC
(23,10),-0.0748218 # DEPENDENCYPART_ARC
(23,11),-1.43973 # DEPENDENCYPART_ARC
(23,13),-0.655807 # DEPENDENCYPART_ARC
(23,14),0.570029 # DEPENDENCYPART_ARC
(23,16),-0.305986 # DEPENDENCYPART_ARC
(23,17),-0.254016 # DEPENDENCYPART_ARC
(23,19),-0.0949329 # DEPENDENCYPART_ARC
(23,20),0.576581 # DEPENDENCYPART_ARC
(23,21),1.30566 # DEPENDENCYPART_ARC
(23,22),0.618697 # DEPENDENCYPART_ARC
(23,24),1.18509 # DEPENDENCYPART_ARC
(24,25),1.34657 # DEPENDENCYPART_ARC
