# _root_ beraz , koazerbatuek materiaren antolamenduaren nolabaiteko hastapen-forma eskaintzen digutela ikusten dugu , nahiz_eta antolamendu hau oraindik oso primitiboa eta erabat ezegonkorra izan .
#goldHeads=10,3,8,5,7,7,8,10,8,0,10,11,10,22,14,22,0,19,22,21,19,10,22,
#predictedHeads=0,3,8,5,7,7,8,10,8,0,10,11,0,22,14,18,18,19,22,21,22,10,22,
(0,1),1.35314 # DEPENDENCYPART_ARC
(0,2),-1.26531 # DEPENDENCYPART_ARC
(0,3),-0.70172 # DEPENDENCYPART_ARC
(0,4),-0.621394 # DEPENDENCYPART_ARC
(0,5),-0.976693 # DEPENDENCYPART_ARC
(0,6),-1.05146 # DEPENDENCYPART_ARC
(0,7),-0.467487 # DEPENDENCYPART_ARC
(0,8),-0.701801 # DEPENDENCYPART_ARC
(0,9),-1.24807 # DEPENDENCYPART_ARC
(0,10),-0.0245108 # DEPENDENCYPART_ARC
(0,11),-1.31048 # DEPENDENCYPART_ARC
(0,12),-1.26046 # DEPENDENCYPART_ARC
(0,13),0.485241 # DEPENDENCYPART_ARC
(0,15),-1.85186 # DEPENDENCYPART_ARC
(0,16),-1.05644 # DEPENDENCYPART_ARC
(0,17),-0.883453 # DEPENDENCYPART_ARC
(0,18),-1.65842 # DEPENDENCYPART_ARC
(0,19),-0.790003 # DEPENDENCYPART_ARC
(0,20),-0.660222 # DEPENDENCYPART_ARC
(0,21),-1.90187 # DEPENDENCYPART_ARC
(0,22),-2.40441 # DEPENDENCYPART_ARC
(0,23),-2.99936 # DEPENDENCYPART_ARC
(1,2),-0.447687 # DEPENDENCYPART_ARC
(1,3),-2.51705 # DEPENDENCYPART_ARC
(1,4),-2.89996 # DEPENDENCYPART_ARC
(1,8),-3.48025 # DEPENDENCYPART_ARC
(1,10),-3.85316 # DEPENDENCYPART_ARC
(2,3),-1.11738 # DEPENDENCYPART_ARC
(2,10),-2.2908 # DEPENDENCYPART_ARC
(3,2),-0.264886 # DEPENDENCYPART_ARC
(3,4),-0.641983 # DEPENDENCYPART_ARC
(3,5),-1.61539 # DEPENDENCYPART_ARC
(3,6),-1.40314 # DEPENDENCYPART_ARC
(3,7),-2.64077 # DEPENDENCYPART_ARC
(3,9),-2.21552 # DEPENDENCYPART_ARC
(4,2),-1.36188 # DEPENDENCYPART_ARC
(4,3),-0.722348 # DEPENDENCYPART_ARC
(4,5),-0.272978 # DEPENDENCYPART_ARC
(4,6),-0.851124 # DEPENDENCYPART_ARC
(4,7),-1.56854 # DEPENDENCYPART_ARC
(4,9),-2.52877 # DEPENDENCYPART_ARC
(4,11),-2.28053 # DEPENDENCYPART_ARC
(5,2),-1.69979 # DEPENDENCYPART_ARC
(5,3),-1.80631 # DEPENDENCYPART_ARC
(5,4),1.61818 # DEPENDENCYPART_ARC
(5,6),-0.238457 # DEPENDENCYPART_ARC
(5,7),-1.20069 # DEPENDENCYPART_ARC
(5,9),-2.55386 # DEPENDENCYPART_ARC
