# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,0,5,12,12,11,9,12,5,12,15,16,18,18,20,20,12,20,
(0,1),-0.617533 # DEPENDENCYPART_ARC
(0,2),-0.64998 # DEPENDENCYPART_ARC
(0,3),-1.04749 # DEPENDENCYPART_ARC
(0,4),-1.84814 # DEPENDENCYPART_ARC
(0,5),-0.425523 # DEPENDENCYPART_ARC
(0,6),-0.686416 # DEPENDENCYPART_ARC
(0,7),-1.31634 # DEPENDENCYPART_ARC
(0,8),-1.13662 # DEPENDENCYPART_ARC
(0,9),-1.6351 # DEPENDENCYPART_ARC
(0,10),-2.05597 # DEPENDENCYPART_ARC
(0,11),-0.956736 # DEPENDENCYPART_ARC
(0,12),-0.497261 # DEPENDENCYPART_ARC
(0,13),-0.61934 # DEPENDENCYPART_ARC
(0,14),-1.91625 # DEPENDENCYPART_ARC
(0,15),-1.65519 # DEPENDENCYPART_ARC
(0,16),-1.75388 # DEPENDENCYPART_ARC
(0,17),-0.969193 # DEPENDENCYPART_ARC
(0,18),-1.06606 # DEPENDENCYPART_ARC
(0,19),-1.18593 # DEPENDENCYPART_ARC
(0,20),-1.53581 # DEPENDENCYPART_ARC
(0,21),-3.03857 # DEPENDENCYPART_ARC
(1,3),-1.34488 # DEPENDENCYPART_ARC
(2,1),-0.655254 # DEPENDENCYPART_ARC
(2,3),-0.546131 # DEPENDENCYPART_ARC
(2,5),-1.61786 # DEPENDENCYPART_ARC
(2,8),-0.827227 # DEPENDENCYPART_ARC
(3,1),-0.183784 # DEPENDENCYPART_ARC
(3,2),-0.34868 # DEPENDENCYPART_ARC
(3,4),2.48447 # DEPENDENCYPART_ARC
(3,5),-0.198448 # DEPENDENCYPART_ARC
(3,6),-0.548443 # DEPENDENCYPART_ARC
(3,8),-1.12287 # DEPENDENCYPART_ARC
(3,10),0.265231 # DEPENDENCYPART_ARC
(3,12),-0.769291 # DEPENDENCYPART_ARC
(3,14),-0.436981 # DEPENDENCYPART_ARC
(3,20),-0.591346 # DEPENDENCYPART_ARC
(4,1),-0.13784 # DEPENDENCYPART_ARC
(4,3),-0.257327 # DEPENDENCYPART_ARC
(5,1),1.30483 # DEPENDENCYPART_ARC
(5,2),1.10183 # DEPENDENCYPART_ARC
(5,3),1.55801 # DEPENDENCYPART_ARC
(5,4),1.01333 # DEPENDENCYPART_ARC
(5,6),1.4305 # DEPENDENCYPART_ARC
(5,7),0.335018 # DEPENDENCYPART_ARC
(5,8),0.0388618 # DEPENDENCYPART_ARC
(5,9),-0.561518 # DEPENDENCYPART_ARC
(5,11),-0.281245 # DEPENDENCYPART_ARC
(5,12),-0.455988 # DEPENDENCYPART_ARC
(5,15),-1.61262 # DEPENDENCYPART_ARC
(5,16),-0.823946 # DEPENDENCYPART_ARC
(5,20),-0.0247819 # DEPENDENCYPART_ARC
(6,2),-0.930145 # DEPENDENCYPART_ARC
(6,5),0.0446353 # DEPENDENCYPART_ARC
(6,10),-1.24209 # DEPENDENCYPART_ARC
(6,11),-0.878338 # DEPENDENCYPART_ARC
(6,12),-0.777195 # DEPENDENCYPART_ARC
(6,20),-1.31728 # DEPENDENCYPART_ARC
(7,3),-1.36713 # DEPENDENCYPART_ARC
(7,6),-0.523019 # DEPENDENCYPART_ARC
(7,9),-0.567969 # DEPENDENCYPART_ARC
(8,1),-1.60679 # DEPENDENCYPART_ARC
(8,7),-0.541415 # DEPENDENCYPART_ARC
(8,9),-0.323445 # DEPENDENCYPART_ARC
(9,5),-0.524441 # DEPENDENCYPART_ARC
(9,6),-1.30389 # DEPENDENCYPART_ARC
(9,7),-0.327193 # DEPENDENCYPART_ARC
(9,8),-0.178112 # DEPENDENCYPART_ARC
