# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
(0,1),-0.378958 # DEPENDENCYPART_ARC
(0,2),-1.55936 # DEPENDENCYPART_ARC
(0,3),-0.610482 # DEPENDENCYPART_ARC
(0,4),-1.8509 # DEPENDENCYPART_ARC
(0,5),-1.12339 # DEPENDENCYPART_ARC
(0,6),-1.46877 # DEPENDENCYPART_ARC
(0,7),-0.869987 # DEPENDENCYPART_ARC
(0,8),-0.532907 # DEPENDENCYPART_ARC
(0,9),-0.100028 # DEPENDENCYPART_ARC
(0,10),-1.27072 # DEPENDENCYPART_ARC
(0,11),-1.06848 # DEPENDENCYPART_ARC
(0,12),-1.12079 # DEPENDENCYPART_ARC
(0,13),-1.6626 # DEPENDENCYPART_ARC
(0,14),-0.0137288 # DEPENDENCYPART_ARC
(0,15),-0.633641 # DEPENDENCYPART_ARC
(0,16),-1.12341 # DEPENDENCYPART_ARC
(0,17),-2.96081 # DEPENDENCYPART_ARC
(1,2),-0.82291 # DEPENDENCYPART_ARC
(1,3),-1.21286 # DEPENDENCYPART_ARC
(1,8),-1.40099 # DEPENDENCYPART_ARC
(1,16),-1.55385 # DEPENDENCYPART_ARC
(2,3),-1.29958 # DEPENDENCYPART_ARC
(2,7),-1.70139 # DEPENDENCYPART_ARC
(3,1),-1.04111 # DEPENDENCYPART_ARC
(3,2),-0.244544 # DEPENDENCYPART_ARC
(3,4),2.07928 # DEPENDENCYPART_ARC
(3,5),-0.507676 # DEPENDENCYPART_ARC
(3,6),-0.96594 # DEPENDENCYPART_ARC
(3,8),-0.772855 # DEPENDENCYPART_ARC
(3,10),-1.52368 # DEPENDENCYPART_ARC
(4,5),-0.720519 # DEPENDENCYPART_ARC
(4,6),-1.86769 # DEPENDENCYPART_ARC
(4,9),-1.88424 # DEPENDENCYPART_ARC
(4,14),-1.88896 # DEPENDENCYPART_ARC
(5,1),-1.3816 # DEPENDENCYPART_ARC
(5,2),-1.28679 # DEPENDENCYPART_ARC
(5,3),0.552203 # DEPENDENCYPART_ARC
(5,4),-1.37446 # DEPENDENCYPART_ARC
(5,6),-1.3724 # DEPENDENCYPART_ARC
(5,17),-1.23955 # DEPENDENCYPART_ARC
(6,1),-1.33883 # DEPENDENCYPART_ARC
(6,2),-1.68917 # DEPENDENCYPART_ARC
(6,3),-0.292625 # DEPENDENCYPART_ARC
