# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(0,1),-0.351214 # DEPENDENCYPART_ARC
(0,2),-0.96156 # DEPENDENCYPART_ARC
(0,3),-1.1061 # DEPENDENCYPART_ARC
(0,4),-2.06761 # DEPENDENCYPART_ARC
(0,5),-1.37994 # DEPENDENCYPART_ARC
(0,6),-1.9892 # DEPENDENCYPART_ARC
(0,7),-1.36505 # DEPENDENCYPART_ARC
(0,9),-1.43478 # DEPENDENCYPART_ARC
(0,10),-1.85378 # DEPENDENCYPART_ARC
(0,11),0.252446 # DEPENDENCYPART_ARC
(0,12),-1.26391 # DEPENDENCYPART_ARC
(0,13),-1.55904 # DEPENDENCYPART_ARC
(0,14),-1.47064 # DEPENDENCYPART_ARC
(0,15),0.513974 # DEPENDENCYPART_ARC
(0,16),-1.96326 # DEPENDENCYPART_ARC
(0,17),-2.45298 # DEPENDENCYPART_ARC
(1,2),-0.606217 # DEPENDENCYPART_ARC
(1,7),-1.5187 # DEPENDENCYPART_ARC
(2,3),0.332033 # DEPENDENCYPART_ARC
(2,4),0.459761 # DEPENDENCYPART_ARC
(2,6),-1.15159 # DEPENDENCYPART_ARC
(3,1),-0.731261 # DEPENDENCYPART_ARC
(3,2),1.29537 # DEPENDENCYPART_ARC
(3,4),1.94888 # DEPENDENCYPART_ARC
(3,5),-0.250007 # DEPENDENCYPART_ARC
(3,6),-1.01615 # DEPENDENCYPART_ARC
(3,8),-0.9095 # DEPENDENCYPART_ARC
(3,9),-0.661762 # DEPENDENCYPART_ARC
(3,11),-1.31089 # DEPENDENCYPART_ARC
(3,13),-1.01497 # DEPENDENCYPART_ARC
(3,15),-1.27731 # DEPENDENCYPART_ARC
(3,16),-1.35986 # DEPENDENCYPART_ARC
(4,1),-0.450287 # DEPENDENCYPART_ARC
(4,2),0.317467 # DEPENDENCYPART_ARC
(4,3),0.227164 # DEPENDENCYPART_ARC
(4,5),-0.171509 # DEPENDENCYPART_ARC
(4,6),-1.81604 # DEPENDENCYPART_ARC
(4,7),-0.721051 # DEPENDENCYPART_ARC
(4,10),-0.81683 # DEPENDENCYPART_ARC
(5,1),-1.28246 # DEPENDENCYPART_ARC
(5,2),-1.14961 # DEPENDENCYPART_ARC
(5,3),0.28499 # DEPENDENCYPART_ARC
(5,4),-1.43256 # DEPENDENCYPART_ARC
(5,6),-0.889943 # DEPENDENCYPART_ARC
(5,7),-0.632808 # DEPENDENCYPART_ARC
(5,8),-2.14123 # DEPENDENCYPART_ARC
(5,9),-1.38174 # DEPENDENCYPART_ARC
(5,12),-2.50094 # DEPENDENCYPART_ARC
(5,17),-1.2384 # DEPENDENCYPART_ARC
(6,1),-1.04326 # DEPENDENCYPART_ARC
(6,2),-0.167623 # DEPENDENCYPART_ARC
(6,3),-0.0307036 # DEPENDENCYPART_ARC
(6,4),-1.40591 # DEPENDENCYPART_ARC
(6,5),1.54201 # DEPENDENCYPART_ARC
(6,7),1.84493 # DEPENDENCYPART_ARC
(6,8),0.173549 # DEPENDENCYPART_ARC
(6,9),0.0503525 # DEPENDENCYPART_ARC
(6,11),-0.662943 # DEPENDENCYPART_ARC
(6,12),-1.24218 # DEPENDENCYPART_ARC
(6,13),-0.322518 # DEPENDENCYPART_ARC
(6,15),-0.599033 # DEPENDENCYPART_ARC
(6,16),-0.581614 # DEPENDENCYPART_ARC
(6,17),0.120403 # DEPENDENCYPART_ARC
(7,5),-0.672723 # DEPENDENCYPART_ARC
(7,8),-0.435296 # DEPENDENCYPART_ARC
(8,1),-1.61927 # DEPENDENCYPART_ARC
(8,3),-1.2944 # DEPENDENCYPART_ARC
(8,4),-2.35067 # DEPENDENCYPART_ARC
(8,5),-0.985154 # DEPENDENCYPART_ARC
(8,6),-0.364954 # DEPENDENCYPART_ARC
(8,7),0.058216 # DEPENDENCYPART_ARC
(8,9),0.320999 # DEPENDENCYPART_ARC
(8,11),-1.30006 # DEPENDENCYPART_ARC
(8,12),-1.71624 # DEPENDENCYPART_ARC
(8,13),-1.05347 # DEPENDENCYPART_ARC
(8,16),-1.26607 # DEPENDENCYPART_ARC
(8,17),-0.957882 # DEPENDENCYPART_ARC
(9,1),-0.833458 # DEPENDENCYPART_ARC
(9,2),-0.244904 # DEPENDENCYPART_ARC
(9,3),-0.421608 # DEPENDENCYPART_ARC
(9,5),-0.49288 # DEPENDENCYPART_ARC
(9,6),0.553754 # DEPENDENCYPART_ARC
(9,7),-1.18784 # DEPENDENCYPART_ARC
(9,8),1.9395 # DEPENDENCYPART_ARC
(9,10),1.21439 # DEPENDENCYPART_ARC
(9,11),0.247525 # DEPENDENCYPART_ARC
(9,12),-0.801565 # DEPENDENCYPART_ARC
(9,13),-0.0863393 # DEPENDENCYPART_ARC
(9,14),-0.545117 # DEPENDENCYPART_ARC
