# _root_ juan jose_ibarretxe_eaeko lehendakariaren ustez , herritarrek " sendotasun moralaz_gain beste zerbait espero_dute erakundeetatik etarekin amaitzeko , indakerkeriari eta heriotzari aurre_egiteko " .
#goldHeads=3,1,4,12,4,12,6,12,8,11,12,0,12,15,16,12,18,20,18,12,20,21,
#predictedHeads=3,3,4,12,4,12,6,9,12,9,12,0,15,15,12,15,18,20,18,12,20,21,
(0,1),-0.822921 # DEPENDENCYPART_ARC
(0,3),-1.42357 # DEPENDENCYPART_ARC
(0,4),-1.05436 # DEPENDENCYPART_ARC
(0,5),-1.55693 # DEPENDENCYPART_ARC
(0,6),-1.47596 # DEPENDENCYPART_ARC
(0,7),-1.56397 # DEPENDENCYPART_ARC
(0,10),-1.29024 # DEPENDENCYPART_ARC
(0,11),-2.02021 # DEPENDENCYPART_ARC
(0,12),0.298305 # DEPENDENCYPART_ARC
(0,13),-1.93489 # DEPENDENCYPART_ARC
(0,14),-1.71489 # DEPENDENCYPART_ARC
(0,15),-1.21295 # DEPENDENCYPART_ARC
(0,16),-1.56732 # DEPENDENCYPART_ARC
(0,17),-1.40388 # DEPENDENCYPART_ARC
(0,18),-2.13165 # DEPENDENCYPART_ARC
(0,19),-1.68688 # DEPENDENCYPART_ARC
(0,20),-1.70192 # DEPENDENCYPART_ARC
(0,21),-4.65695 # DEPENDENCYPART_ARC
(0,22),-3.45009 # DEPENDENCYPART_ARC
(1,2),0.46765 # DEPENDENCYPART_ARC
(1,3),0.24796 # DEPENDENCYPART_ARC
(3,1),1.0948 # DEPENDENCYPART_ARC
(3,2),3.54971 # DEPENDENCYPART_ARC
(3,4),-0.291512 # DEPENDENCYPART_ARC
(3,5),-0.804233 # DEPENDENCYPART_ARC
(3,6),-1.36523 # DEPENDENCYPART_ARC
(3,10),-1.65042 # DEPENDENCYPART_ARC
(3,12),-2.51218 # DEPENDENCYPART_ARC
(3,18),-1.68201 # DEPENDENCYPART_ARC
(4,3),-0.000678524 # DEPENDENCYPART_ARC
(4,5),1.24829 # DEPENDENCYPART_ARC
(4,6),-0.972537 # DEPENDENCYPART_ARC
(4,9),-1.1781 # DEPENDENCYPART_ARC
(5,1),-1.21359 # DEPENDENCYPART_ARC
(5,3),-0.987621 # DEPENDENCYPART_ARC
(5,6),-0.846038 # DEPENDENCYPART_ARC
(5,10),-1.10557 # DEPENDENCYPART_ARC
(5,12),-1.68744 # DEPENDENCYPART_ARC
(6,1),-0.74807 # DEPENDENCYPART_ARC
(6,3),-0.3457 # DEPENDENCYPART_ARC
(6,4),-0.930595 # DEPENDENCYPART_ARC
(6,5),-0.11603 # DEPENDENCYPART_ARC
(6,7),1.6189 # DEPENDENCYPART_ARC
(6,8),-0.58522 # DEPENDENCYPART_ARC
(6,9),-2.07038 # DEPENDENCYPART_ARC
(6,10),-0.609534 # DEPENDENCYPART_ARC
(6,12),-2.33451 # DEPENDENCYPART_ARC
(6,13),-1.76426 # DEPENDENCYPART_ARC
(6,15),-2.0923 # DEPENDENCYPART_ARC
(6,18),-1.43265 # DEPENDENCYPART_ARC
(6,20),-2.41796 # DEPENDENCYPART_ARC
(7,1),-1.69384 # DEPENDENCYPART_ARC
(7,8),-1.05674 # DEPENDENCYPART_ARC
(8,1),-1.47355 # DEPENDENCYPART_ARC
(8,3),-1.67887 # DEPENDENCYPART_ARC
