# _root_ esteban olaizola_gipuzkoako_kofradien_federazioko lehendakariaren ustez , " itsasontzi zaharrak dira , baina teknologia puntakoa dute " , esan du .
#goldHeads=9,1,1,3,4,5,9,7,11,9,17,14,12,11,14,15,0,17,18,
#predictedHeads=4,1,4,9,4,5,9,7,11,9,0,14,14,11,14,15,0,17,18,
(0,1),-0.526042 # DEPENDENCYPART_ARC
(0,2),-0.98139 # DEPENDENCYPART_ARC
(0,4),-0.915085 # DEPENDENCYPART_ARC
(0,5),-1.34738 # DEPENDENCYPART_ARC
(0,6),-1.30022 # DEPENDENCYPART_ARC
(0,7),-1.09842 # DEPENDENCYPART_ARC
(0,9),0.459689 # DEPENDENCYPART_ARC
(0,10),-1.22478 # DEPENDENCYPART_ARC
(0,11),1.39586 # DEPENDENCYPART_ARC
(0,13),-1.89853 # DEPENDENCYPART_ARC
(0,14),0.466695 # DEPENDENCYPART_ARC
(0,15),-2.45006 # DEPENDENCYPART_ARC
(0,16),-0.750721 # DEPENDENCYPART_ARC
(0,17),1.44744 # DEPENDENCYPART_ARC
(0,18),-0.926885 # DEPENDENCYPART_ARC
(0,19),-1.75362 # DEPENDENCYPART_ARC
(1,2),2.35405 # DEPENDENCYPART_ARC
(1,3),0.68066 # DEPENDENCYPART_ARC
(2,1),0.673315 # DEPENDENCYPART_ARC
(2,3),-0.00662222 # DEPENDENCYPART_ARC
(2,4),-2.39741 # DEPENDENCYPART_ARC
(3,1),0.468835 # DEPENDENCYPART_ARC
(3,2),2.15316 # DEPENDENCYPART_ARC
(3,4),-0.351515 # DEPENDENCYPART_ARC
(3,5),-0.673714 # DEPENDENCYPART_ARC
(3,8),-3.90346 # DEPENDENCYPART_ARC
(4,1),0.581073 # DEPENDENCYPART_ARC
(4,2),0.982393 # DEPENDENCYPART_ARC
(4,3),1.65518 # DEPENDENCYPART_ARC
(4,5),1.21692 # DEPENDENCYPART_ARC
(4,7),-1.228 # DEPENDENCYPART_ARC
(4,8),-1.94046 # DEPENDENCYPART_ARC
(5,1),-1.17156 # DEPENDENCYPART_ARC
(5,3),-0.847849 # DEPENDENCYPART_ARC
(5,6),1.37268 # DEPENDENCYPART_ARC
(5,7),-0.969419 # DEPENDENCYPART_ARC
(5,8),-0.907606 # DEPENDENCYPART_ARC
(5,9),-0.560042 # DEPENDENCYPART_ARC
(5,12),-0.799946 # DEPENDENCYPART_ARC
(5,17),-0.611448 # DEPENDENCYPART_ARC
(6,2),-1.15493 # DEPENDENCYPART_ARC
(6,7),-1.43777 # DEPENDENCYPART_ARC
(6,8),-1.08599 # DEPENDENCYPART_ARC
(7,1),-1.26482 # DEPENDENCYPART_ARC
(7,2),-1.57701 # DEPENDENCYPART_ARC
