# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,15,10,21,21,21,18,19,10,21,22,
(0,1),-0.4304 # DEPENDENCYPART_ARC
(0,2),-0.621288 # DEPENDENCYPART_ARC
(0,3),-0.196533 # DEPENDENCYPART_ARC
(0,4),-1.00086 # DEPENDENCYPART_ARC
(0,5),-1.04784 # DEPENDENCYPART_ARC
(0,6),1.38824 # DEPENDENCYPART_ARC
(0,7),-1.46918 # DEPENDENCYPART_ARC
(0,9),-1.89982 # DEPENDENCYPART_ARC
(0,10),0.116169 # DEPENDENCYPART_ARC
(0,11),-1.10119 # DEPENDENCYPART_ARC
(0,12),-0.810521 # DEPENDENCYPART_ARC
(0,13),-1.71323 # DEPENDENCYPART_ARC
(0,15),-0.889016 # DEPENDENCYPART_ARC
(0,17),-0.474273 # DEPENDENCYPART_ARC
(0,19),-1.82965 # DEPENDENCYPART_ARC
(0,20),-2.60905 # DEPENDENCYPART_ARC
(0,21),-1.76128 # DEPENDENCYPART_ARC
(0,22),-1.91005 # DEPENDENCYPART_ARC
(0,23),-3.00093 # DEPENDENCYPART_ARC
(1,2),-0.32069 # DEPENDENCYPART_ARC
(1,3),-2.73951 # DEPENDENCYPART_ARC
(2,1),2.58595 # DEPENDENCYPART_ARC
(2,3),2.37051 # DEPENDENCYPART_ARC
(2,4),1.62403 # DEPENDENCYPART_ARC
(2,5),-0.145914 # DEPENDENCYPART_ARC
(2,6),0.242113 # DEPENDENCYPART_ARC
(2,7),-0.34352 # DEPENDENCYPART_ARC
(2,8),-0.406264 # DEPENDENCYPART_ARC
(2,10),-0.131954 # DEPENDENCYPART_ARC
(2,11),-0.045077 # DEPENDENCYPART_ARC
(2,15),0.245539 # DEPENDENCYPART_ARC
(2,18),-1.45608 # DEPENDENCYPART_ARC
(2,22),0.346227 # DEPENDENCYPART_ARC
(3,1),1.89821 # DEPENDENCYPART_ARC
(3,2),0.884832 # DEPENDENCYPART_ARC
(3,4),0.811086 # DEPENDENCYPART_ARC
(3,5),-0.720327 # DEPENDENCYPART_ARC
(3,6),-0.623318 # DEPENDENCYPART_ARC
(3,7),-1.28407 # DEPENDENCYPART_ARC
(3,8),-1.03387 # DEPENDENCYPART_ARC
(3,10),-1.38643 # DEPENDENCYPART_ARC
(3,11),-1.70542 # DEPENDENCYPART_ARC
(3,12),-1.32745 # DEPENDENCYPART_ARC
(3,14),-1.33526 # DEPENDENCYPART_ARC
(3,15),-0.944643 # DEPENDENCYPART_ARC
(3,18),-2.31742 # DEPENDENCYPART_ARC
(3,22),-0.668788 # DEPENDENCYPART_ARC
(4,1),-1.31942 # DEPENDENCYPART_ARC
(4,2),-1.28926 # DEPENDENCYPART_ARC
(4,3),-1.17456 # DEPENDENCYPART_ARC
(4,5),1.70198 # DEPENDENCYPART_ARC
(4,6),-1.52138 # DEPENDENCYPART_ARC
(4,11),-1.15351 # DEPENDENCYPART_ARC
(5,2),-0.64647 # DEPENDENCYPART_ARC
(5,3),-0.49621 # DEPENDENCYPART_ARC
(5,4),-0.410493 # DEPENDENCYPART_ARC
(5,6),-0.507875 # DEPENDENCYPART_ARC
(5,7),-1.4602 # DEPENDENCYPART_ARC
(5,10),-1.01313 # DEPENDENCYPART_ARC
(5,21),-1.60876 # DEPENDENCYPART_ARC
(6,1),-0.478819 # DEPENDENCYPART_ARC
(6,2),0.774895 # DEPENDENCYPART_ARC
(6,3),1.42704 # DEPENDENCYPART_ARC
(6,4),-0.677597 # DEPENDENCYPART_ARC
(6,5),-0.292604 # DEPENDENCYPART_ARC
(6,7),-0.422226 # DEPENDENCYPART_ARC
(6,8),-0.275779 # DEPENDENCYPART_ARC
(6,9),-0.642672 # DEPENDENCYPART_ARC
(6,10),1.00406 # DEPENDENCYPART_ARC
(6,12),-0.412845 # DEPENDENCYPART_ARC
(6,16),-0.904361 # DEPENDENCYPART_ARC
(6,18),-2.01229 # DEPENDENCYPART_ARC
(6,21),-0.783594 # DEPENDENCYPART_ARC
(6,22),-0.872842 # DEPENDENCYPART_ARC
(7,6),-0.989863 # DEPENDENCYPART_ARC
(7,8),-0.652907 # DEPENDENCYPART_ARC
(7,9),-0.840569 # DEPENDENCYPART_ARC
(8,1),-1.29081 # DEPENDENCYPART_ARC
(8,2),-0.772117 # DEPENDENCYPART_ARC
(8,3),-0.883753 # DEPENDENCYPART_ARC
(8,5),-1.10057 # DEPENDENCYPART_ARC
(8,6),-0.405316 # DEPENDENCYPART_ARC
(8,7),1.57967 # DEPENDENCYPART_ARC
(8,9),2.66507 # DEPENDENCYPART_ARC
(8,11),-1.07598 # DEPENDENCYPART_ARC
(8,14),-0.469885 # DEPENDENCYPART_ARC
(8,21),-0.950497 # DEPENDENCYPART_ARC
(8,22),-0.568834 # DEPENDENCYPART_ARC
(9,8),-0.389066 # DEPENDENCYPART_ARC
(10,1),0.363296 # DEPENDENCYPART_ARC
(10,2),-0.349612 # DEPENDENCYPART_ARC
(10,3),-0.0918677 # DEPENDENCYPART_ARC
(10,4),-0.354046 # DEPENDENCYPART_ARC
(10,5),-0.952456 # DEPENDENCYPART_ARC
(10,6),0.0587851 # DEPENDENCYPART_ARC
(10,7),-0.0885182 # DEPENDENCYPART_ARC
(10,8),1.57423 # DEPENDENCYPART_ARC
(10,9),0.240688 # DEPENDENCYPART_ARC
(10,11),1.75591 # DEPENDENCYPART_ARC
(10,12),-0.245319 # DEPENDENCYPART_ARC
(10,14),-0.57723 # DEPENDENCYPART_ARC
(10,15),0.341063 # DEPENDENCYPART_ARC
(10,16),-0.21542 # DEPENDENCYPART_ARC
(10,17),-0.546123 # DEPENDENCYPART_ARC
(10,18),-1.09174 # DEPENDENCYPART_ARC
(10,19),-0.929279 # DEPENDENCYPART_ARC
(10,21),-0.520323 # DEPENDENCYPART_ARC
(10,22),0.580062 # DEPENDENCYPART_ARC
(11,8),-0.713932 # DEPENDENCYPART_ARC
(11,9),-0.928094 # DEPENDENCYPART_ARC
(11,12),1.17437 # DEPENDENCYPART_ARC
(11,15),-1.08335 # DEPENDENCYPART_ARC
(11,17),-1.13222 # DEPENDENCYPART_ARC
(12,10),-0.0301812 # DEPENDENCYPART_ARC
(12,11),-0.0868934 # DEPENDENCYPART_ARC
(12,13),1.77166 # DEPENDENCYPART_ARC
(12,14),-0.730333 # DEPENDENCYPART_ARC
(12,16),-0.645284 # DEPENDENCYPART_ARC
(12,21),-1.10505 # DEPENDENCYPART_ARC
(12,22),-0.877631 # DEPENDENCYPART_ARC
(13,14),-0.752479 # DEPENDENCYPART_ARC
(13,15),-0.884239 # DEPENDENCYPART_ARC
(13,22),-1.89973 # DEPENDENCYPART_ARC
(14,8),-1.64182 # DEPENDENCYPART_ARC
(14,13),-0.498677 # DEPENDENCYPART_ARC
(14,15),-0.632007 # DEPENDENCYPART_ARC
(14,16),-1.80243 # DEPENDENCYPART_ARC
(14,18),-2.21148 # DEPENDENCYPART_ARC
(14,22),-2.54537 # DEPENDENCYPART_ARC
