# _root_ madrilek aurtengo finantzaketa osatzeko borondatea agertu arren , arazo sakonak konpondu gabe daudela uste_du : diru hori nondik etorriko den , zenbat izango den eta hobetuzen menpekotasuna forcem-ekiko .
#goldHeads=6,3,4,5,6,14,6,7,13,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,9,27,25,27,28,
#predictedHeads=6,3,4,5,6,25,6,7,11,9,13,13,14,0,14,19,16,19,25,19,20,23,25,23,14,27,25,26,28,
(0,1),-1.23147 # DEPENDENCYPART_ARC
(0,2),-1.44934 # DEPENDENCYPART_ARC
(0,4),-1.39044 # DEPENDENCYPART_ARC
(0,6),-1.12363 # DEPENDENCYPART_ARC
(0,7),-0.261131 # DEPENDENCYPART_ARC
(0,8),-1.03814 # DEPENDENCYPART_ARC
(0,11),-1.44955 # DEPENDENCYPART_ARC
(0,12),-1.18299 # DEPENDENCYPART_ARC
(0,13),-1.85849 # DEPENDENCYPART_ARC
(0,14),0.58416 # DEPENDENCYPART_ARC
(0,15),-0.642253 # DEPENDENCYPART_ARC
(0,16),-1.33569 # DEPENDENCYPART_ARC
(0,17),-2.13209 # DEPENDENCYPART_ARC
(0,18),-1.19176 # DEPENDENCYPART_ARC
(0,19),-0.828917 # DEPENDENCYPART_ARC
(0,20),-1.70151 # DEPENDENCYPART_ARC
(0,21),-1.12678 # DEPENDENCYPART_ARC
(0,22),-2.13458 # DEPENDENCYPART_ARC
(0,23),-0.863768 # DEPENDENCYPART_ARC
(0,24),-1.78008 # DEPENDENCYPART_ARC
(0,25),-0.8031 # DEPENDENCYPART_ARC
(0,26),-2.95064 # DEPENDENCYPART_ARC
(0,27),-2.81947 # DEPENDENCYPART_ARC
(0,28),-3.65961 # DEPENDENCYPART_ARC
(0,29),-4.14714 # DEPENDENCYPART_ARC
(1,2),-0.687931 # DEPENDENCYPART_ARC
(1,3),-1.48169 # DEPENDENCYPART_ARC
(2,1),-0.0834395 # DEPENDENCYPART_ARC
(2,3),-0.0142268 # DEPENDENCYPART_ARC
(3,1),-0.755379 # DEPENDENCYPART_ARC
(3,2),1.64941 # DEPENDENCYPART_ARC
(3,4),-0.414472 # DEPENDENCYPART_ARC
(3,5),-1.22673 # DEPENDENCYPART_ARC
(4,1),0.674741 # DEPENDENCYPART_ARC
(4,2),0.0449236 # DEPENDENCYPART_ARC
(4,3),2.04383 # DEPENDENCYPART_ARC
(4,5),-0.945084 # DEPENDENCYPART_ARC
(4,6),-0.959141 # DEPENDENCYPART_ARC
(4,8),-1.35471 # DEPENDENCYPART_ARC
(4,10),-1.92282 # DEPENDENCYPART_ARC
(4,14),-3.21882 # DEPENDENCYPART_ARC
(5,1),-2.58059 # DEPENDENCYPART_ARC
(5,2),0.346835 # DEPENDENCYPART_ARC
(5,3),-0.402698 # DEPENDENCYPART_ARC
(5,4),2.35538 # DEPENDENCYPART_ARC
(5,6),-0.00412998 # DEPENDENCYPART_ARC
(5,8),-0.839746 # DEPENDENCYPART_ARC
(5,10),-2.94541 # DEPENDENCYPART_ARC
(6,1),0.929213 # DEPENDENCYPART_ARC
(6,2),-0.309725 # DEPENDENCYPART_ARC
(6,3),0.589795 # DEPENDENCYPART_ARC
(6,4),0.397469 # DEPENDENCYPART_ARC
(6,5),2.05589 # DEPENDENCYPART_ARC
(6,7),0.627508 # DEPENDENCYPART_ARC
(6,8),-0.666024 # DEPENDENCYPART_ARC
(6,9),-1.1316 # DEPENDENCYPART_ARC
(6,10),-1.15648 # DEPENDENCYPART_ARC
(6,11),-0.590071 # DEPENDENCYPART_ARC
(6,12),-0.991723 # DEPENDENCYPART_ARC
(6,13),-0.914493 # DEPENDENCYPART_ARC
(6,14),-2.04584 # DEPENDENCYPART_ARC
(6,20),-0.380703 # DEPENDENCYPART_ARC
(6,25),-0.99867 # DEPENDENCYPART_ARC
(7,3),-1.1563 # DEPENDENCYPART_ARC
(7,5),-0.293071 # DEPENDENCYPART_ARC
(7,8),1.40291 # DEPENDENCYPART_ARC
(7,9),-1.08021 # DEPENDENCYPART_ARC
(7,11),-0.97722 # DEPENDENCYPART_ARC
(8,9),-1.29031 # DEPENDENCYPART_ARC
(8,10),-1.02608 # DEPENDENCYPART_ARC
(9,1),-2.48509 # DEPENDENCYPART_ARC
(9,2),-1.15485 # DEPENDENCYPART_ARC
(9,6),-0.681249 # DEPENDENCYPART_ARC
(9,7),-0.476385 # DEPENDENCYPART_ARC
(9,8),-0.0848548 # DEPENDENCYPART_ARC
(9,10),2.18892 # DEPENDENCYPART_ARC
(9,11),-0.413683 # DEPENDENCYPART_ARC
(9,12),-0.150091 # DEPENDENCYPART_ARC
(9,16),-0.841986 # DEPENDENCYPART_ARC
(9,19),-1.09653 # DEPENDENCYPART_ARC
(9,25),-1.00111 # DEPENDENCYPART_ARC
(10,5),-1.96555 # DEPENDENCYPART_ARC
(10,7),-0.705468 # DEPENDENCYPART_ARC
(10,9),0.0553898 # DEPENDENCYPART_ARC
(10,12),-0.763228 # DEPENDENCYPART_ARC
(11,1),-0.00435342 # DEPENDENCYPART_ARC
(11,2),-1.16355 # DEPENDENCYPART_ARC
(11,3),-0.518784 # DEPENDENCYPART_ARC
(11,4),-1.20338 # DEPENDENCYPART_ARC
(11,5),-0.266214 # DEPENDENCYPART_ARC
(11,6),-0.913167 # DEPENDENCYPART_ARC
(11,8),-1.36488 # DEPENDENCYPART_ARC
(11,9),0.877358 # DEPENDENCYPART_ARC
(11,10),0.323633 # DEPENDENCYPART_ARC
(11,12),1.67223 # DEPENDENCYPART_ARC
(11,13),0.59151 # DEPENDENCYPART_ARC
(11,14),-0.846592 # DEPENDENCYPART_ARC
(11,16),-0.788565 # DEPENDENCYPART_ARC
(11,19),-0.363054 # DEPENDENCYPART_ARC
(11,20),0.14146 # DEPENDENCYPART_ARC
(11,23),-0.874009 # DEPENDENCYPART_ARC
(11,24),0.0466313 # DEPENDENCYPART_ARC
(11,25),-0.159498 # DEPENDENCYPART_ARC
(11,28),-1.84151 # DEPENDENCYPART_ARC
(12,9),-0.972372 # DEPENDENCYPART_ARC
(12,11),-0.302214 # DEPENDENCYPART_ARC
(12,13),0.270838 # DEPENDENCYPART_ARC
(12,16),-0.882839 # DEPENDENCYPART_ARC
(13,1),-0.629039 # DEPENDENCYPART_ARC
(13,3),-0.575695 # DEPENDENCYPART_ARC
(13,4),-0.880683 # DEPENDENCYPART_ARC
(13,5),0.328661 # DEPENDENCYPART_ARC
(13,6),-0.0336993 # DEPENDENCYPART_ARC
(13,7),-0.592208 # DEPENDENCYPART_ARC
(13,8),-0.933619 # DEPENDENCYPART_ARC
(13,9),0.818514 # DEPENDENCYPART_ARC
(13,10),0.352943 # DEPENDENCYPART_ARC
(13,11),1.2773 # DEPENDENCYPART_ARC
(13,12),1.69279 # DEPENDENCYPART_ARC
(13,14),-0.893062 # DEPENDENCYPART_ARC
(13,16),-0.747723 # DEPENDENCYPART_ARC
(13,19),-0.975647 # DEPENDENCYPART_ARC
(13,20),-1.0734 # DEPENDENCYPART_ARC
(13,23),-1.40725 # DEPENDENCYPART_ARC
(13,24),-0.978249 # DEPENDENCYPART_ARC
(13,25),-0.653283 # DEPENDENCYPART_ARC
(13,27),-1.38376 # DEPENDENCYPART_ARC
(14,3),-1.06503 # DEPENDENCYPART_ARC
(14,4),-0.501432 # DEPENDENCYPART_ARC
(14,5),-0.387734 # DEPENDENCYPART_ARC
(14,6),0.227847 # DEPENDENCYPART_ARC
(14,9),-0.287106 # DEPENDENCYPART_ARC
(14,10),-1.7336 # DEPENDENCYPART_ARC
(14,11),0.89526 # DEPENDENCYPART_ARC
(14,12),-0.0563103 # DEPENDENCYPART_ARC
(14,13),3.44967 # DEPENDENCYPART_ARC
(14,15),2.32232 # DEPENDENCYPART_ARC
(14,16),-0.541366 # DEPENDENCYPART_ARC
(14,17),-0.668728 # DEPENDENCYPART_ARC
(14,19),0.65397 # DEPENDENCYPART_ARC
(14,20),0.524469 # DEPENDENCYPART_ARC
(14,23),0.206432 # DEPENDENCYPART_ARC
(14,24),0.329068 # DEPENDENCYPART_ARC
(14,25),0.30148 # DEPENDENCYPART_ARC
(14,27),-1.28069 # DEPENDENCYPART_ARC
(15,19),-0.87714 # DEPENDENCYPART_ARC
(15,26),-1.38325 # DEPENDENCYPART_ARC
(15,28),-1.52483 # DEPENDENCYPART_ARC
(16,2),-1.66898 # DEPENDENCYPART_ARC
(16,7),-1.53085 # DEPENDENCYPART_ARC
(16,13),-2.1333 # DEPENDENCYPART_ARC
(16,14),-2.1526 # DEPENDENCYPART_ARC
(16,17),2.23223 # DEPENDENCYPART_ARC
(16,20),-0.91523 # DEPENDENCYPART_ARC
(17,19),-1.55107 # DEPENDENCYPART_ARC
(17,23),-1.6642 # DEPENDENCYPART_ARC
(17,27),-1.38733 # DEPENDENCYPART_ARC
(19,1),-0.0943509 # DEPENDENCYPART_ARC
(19,3),-1.17772 # DEPENDENCYPART_ARC
(19,4),-1.48929 # DEPENDENCYPART_ARC
(19,5),-0.776388 # DEPENDENCYPART_ARC
(19,6),-0.807597 # DEPENDENCYPART_ARC
(19,8),-1.6113 # DEPENDENCYPART_ARC
(19,9),-0.498614 # DEPENDENCYPART_ARC
(19,10),-1.37406 # DEPENDENCYPART_ARC
(19,11),-0.156709 # DEPENDENCYPART_ARC
(19,12),-1.47471 # DEPENDENCYPART_ARC
(19,13),-0.762333 # DEPENDENCYPART_ARC
(19,14),-1.81221 # DEPENDENCYPART_ARC
(19,16),0.945723 # DEPENDENCYPART_ARC
