# _root_ hala_nola , uno_first_group-en sorrera eta teknologia berrien arloan , telefonicarekin batez_ere egindako aliantzak .
#goldHeads=0,1,4,5,7,8,6,12,8,12,12,13,0,13,
#predictedHeads=0,1,4,5,0,5,6,5,8,12,12,13,5,13,
(0,1),1.16198 # DEPENDENCYPART_ARC
(0,2),-1.31529 # DEPENDENCYPART_ARC
(0,3),-0.63337 # DEPENDENCYPART_ARC
(0,4),-0.857781 # DEPENDENCYPART_ARC
(0,5),-0.901508 # DEPENDENCYPART_ARC
(0,6),-1.07899 # DEPENDENCYPART_ARC
(0,7),-2.16766 # DEPENDENCYPART_ARC
(0,8),-1.71594 # DEPENDENCYPART_ARC
(0,9),-1.14794 # DEPENDENCYPART_ARC
(0,10),-1.33208 # DEPENDENCYPART_ARC
(0,11),-1.44339 # DEPENDENCYPART_ARC
(0,12),-1.53739 # DEPENDENCYPART_ARC
(0,13),-1.41594 # DEPENDENCYPART_ARC
(0,14),-1.99263 # DEPENDENCYPART_ARC
(1,2),0.310279 # DEPENDENCYPART_ARC
(1,4),-1.88774 # DEPENDENCYPART_ARC
(1,5),-1.89462 # DEPENDENCYPART_ARC
(2,4),-1.59058 # DEPENDENCYPART_ARC
(2,5),-1.44114 # DEPENDENCYPART_ARC
(2,6),-1.70222 # DEPENDENCYPART_ARC
(2,8),-1.46467 # DEPENDENCYPART_ARC
(2,12),-1.78936 # DEPENDENCYPART_ARC
(2,13),-1.55765 # DEPENDENCYPART_ARC
(3,2),-0.482153 # DEPENDENCYPART_ARC
(3,4),0.78969 # DEPENDENCYPART_ARC
(3,6),-1.81895 # DEPENDENCYPART_ARC
(3,8),-1.78191 # DEPENDENCYPART_ARC
(4,2),-1.38149 # DEPENDENCYPART_ARC
(4,3),0.948314 # DEPENDENCYPART_ARC
(4,5),0.274992 # DEPENDENCYPART_ARC
(4,6),-0.451156 # DEPENDENCYPART_ARC
(4,7),-0.250312 # DEPENDENCYPART_ARC
(4,10),-0.931682 # DEPENDENCYPART_ARC
(4,14),-0.690364 # DEPENDENCYPART_ARC
(5,2),-1.59754 # DEPENDENCYPART_ARC
(5,3),0.485456 # DEPENDENCYPART_ARC
(5,4),2.0993 # DEPENDENCYPART_ARC
(5,6),1.99381 # DEPENDENCYPART_ARC
(5,7),-0.412211 # DEPENDENCYPART_ARC
(5,8),0.368509 # DEPENDENCYPART_ARC
(5,9),-0.83356 # DEPENDENCYPART_ARC
(5,12),-0.693438 # DEPENDENCYPART_ARC
(5,13),-0.132986 # DEPENDENCYPART_ARC
(6,2),-2.55671 # DEPENDENCYPART_ARC
(6,3),-1.83438 # DEPENDENCYPART_ARC
(6,4),-0.818453 # DEPENDENCYPART_ARC
(6,5),-0.988792 # DEPENDENCYPART_ARC
(6,7),1.79355 # DEPENDENCYPART_ARC
(6,8),-0.551502 # DEPENDENCYPART_ARC
(6,9),-0.635562 # DEPENDENCYPART_ARC
(6,10),-1.14872 # DEPENDENCYPART_ARC
(6,11),-1.2076 # DEPENDENCYPART_ARC
(6,12),-0.871696 # DEPENDENCYPART_ARC
(6,13),-0.985062 # DEPENDENCYPART_ARC
(6,14),-0.804271 # DEPENDENCYPART_ARC
(7,4),-1.03728 # DEPENDENCYPART_ARC
(7,5),-0.439077 # DEPENDENCYPART_ARC
(7,6),0.457907 # DEPENDENCYPART_ARC
(7,8),-1.69647 # DEPENDENCYPART_ARC
(7,9),-0.483783 # DEPENDENCYPART_ARC
(7,12),-1.72494 # DEPENDENCYPART_ARC
(7,13),-1.74658 # DEPENDENCYPART_ARC
(8,2),-1.45372 # DEPENDENCYPART_ARC
(8,3),-1.08234 # DEPENDENCYPART_ARC
(8,4),-0.506334 # DEPENDENCYPART_ARC
(8,5),0.439372 # DEPENDENCYPART_ARC
(8,6),1.16772 # DEPENDENCYPART_ARC
(8,7),0.252076 # DEPENDENCYPART_ARC
(8,9),1.17852 # DEPENDENCYPART_ARC
(8,10),-2.10882 # DEPENDENCYPART_ARC
(8,11),-1.40675 # DEPENDENCYPART_ARC
(8,12),-1.3351 # DEPENDENCYPART_ARC
(8,13),-1.76918 # DEPENDENCYPART_ARC
(8,14),-0.31197 # DEPENDENCYPART_ARC
(9,3),-0.82933 # DEPENDENCYPART_ARC
(9,5),-0.741585 # DEPENDENCYPART_ARC
