# _root_ urtero bezalaxe jarri dira , ailegatu bezain agudo , plaza_erdian danborra eta turutarekin abisua emanez .
#goldHeads=3,1,0,3,4,3,6,7,8,15,12,15,12,15,3,15,
#predictedHeads=3,3,0,3,4,3,6,7,8,11,12,14,12,15,3,15,
(0,1),-0.196291 # DEPENDENCYPART_ARC
(0,2),-0.868884 # DEPENDENCYPART_ARC
(0,3),0.127056 # DEPENDENCYPART_ARC
(0,4),-0.768836 # DEPENDENCYPART_ARC
(0,5),-1.19095 # DEPENDENCYPART_ARC
(0,6),-0.872706 # DEPENDENCYPART_ARC
(0,7),-0.795355 # DEPENDENCYPART_ARC
(0,8),-0.804944 # DEPENDENCYPART_ARC
(0,9),-1.57936 # DEPENDENCYPART_ARC
(0,10),-0.926476 # DEPENDENCYPART_ARC
(0,11),-0.424514 # DEPENDENCYPART_ARC
(0,12),-1.28383 # DEPENDENCYPART_ARC
(0,13),-1.12599 # DEPENDENCYPART_ARC
(0,14),-0.72516 # DEPENDENCYPART_ARC
(0,15),-1.29314 # DEPENDENCYPART_ARC
(0,16),-2.66954 # DEPENDENCYPART_ARC
(1,2),-0.659707 # DEPENDENCYPART_ARC
(1,5),-1.67655 # DEPENDENCYPART_ARC
(2,1),0.114581 # DEPENDENCYPART_ARC
(2,3),-0.632931 # DEPENDENCYPART_ARC
(2,5),-0.576628 # DEPENDENCYPART_ARC
(2,7),-1.21114 # DEPENDENCYPART_ARC
(2,8),-1.15571 # DEPENDENCYPART_ARC
(3,1),0.834527 # DEPENDENCYPART_ARC
(3,2),0.780663 # DEPENDENCYPART_ARC
(3,4),1.72681 # DEPENDENCYPART_ARC
(3,5),-0.287943 # DEPENDENCYPART_ARC
(3,6),-0.0405213 # DEPENDENCYPART_ARC
(3,7),-0.14865 # DEPENDENCYPART_ARC
(3,8),-0.143837 # DEPENDENCYPART_ARC
(3,9),-0.895217 # DEPENDENCYPART_ARC
(3,10),-0.748724 # DEPENDENCYPART_ARC
(3,11),-0.744999 # DEPENDENCYPART_ARC
(3,12),-0.385162 # DEPENDENCYPART_ARC
(3,13),-1.66162 # DEPENDENCYPART_ARC
(3,14),-1.40495 # DEPENDENCYPART_ARC
(3,15),0.543292 # DEPENDENCYPART_ARC
(4,2),-0.642024 # DEPENDENCYPART_ARC
(4,3),-0.182305 # DEPENDENCYPART_ARC
(4,5),1.16822 # DEPENDENCYPART_ARC
(4,6),-0.917728 # DEPENDENCYPART_ARC
(4,7),-0.827152 # DEPENDENCYPART_ARC
(4,8),-1.02353 # DEPENDENCYPART_ARC
(4,12),-0.915073 # DEPENDENCYPART_ARC
(4,15),-0.937688 # DEPENDENCYPART_ARC
(5,3),-0.101785 # DEPENDENCYPART_ARC
(5,4),-0.0659327 # DEPENDENCYPART_ARC
(5,6),-0.0692583 # DEPENDENCYPART_ARC
(5,15),-1.20684 # DEPENDENCYPART_ARC
(6,1),-0.775198 # DEPENDENCYPART_ARC
(6,2),-0.833569 # DEPENDENCYPART_ARC
(6,3),-0.240647 # DEPENDENCYPART_ARC
(6,4),-0.613481 # DEPENDENCYPART_ARC
(6,5),-0.0966063 # DEPENDENCYPART_ARC
(6,7),0.669183 # DEPENDENCYPART_ARC
(6,8),-0.072932 # DEPENDENCYPART_ARC
(6,9),-1.02381 # DEPENDENCYPART_ARC
(6,10),-0.485234 # DEPENDENCYPART_ARC
(6,11),-0.337532 # DEPENDENCYPART_ARC
(6,12),-1.06498 # DEPENDENCYPART_ARC
(6,13),-1.29068 # DEPENDENCYPART_ARC
(6,14),-1.08479 # DEPENDENCYPART_ARC
(6,15),0.0699133 # DEPENDENCYPART_ARC
(7,3),-1.4169 # DEPENDENCYPART_ARC
(7,6),-0.461926 # DEPENDENCYPART_ARC
(7,8),0.52085 # DEPENDENCYPART_ARC
(7,9),0.082022 # DEPENDENCYPART_ARC
(7,10),-0.915372 # DEPENDENCYPART_ARC
(7,11),-0.912008 # DEPENDENCYPART_ARC
(7,12),-0.854507 # DEPENDENCYPART_ARC
(7,13),-0.971648 # DEPENDENCYPART_ARC
(7,14),-0.891454 # DEPENDENCYPART_ARC
(8,6),-0.990377 # DEPENDENCYPART_ARC
(8,7),-0.197282 # DEPENDENCYPART_ARC
(8,9),1.37485 # DEPENDENCYPART_ARC
(8,10),-0.829667 # DEPENDENCYPART_ARC
(8,11),-0.800031 # DEPENDENCYPART_ARC
(8,12),-0.799287 # DEPENDENCYPART_ARC
(8,13),-0.948799 # DEPENDENCYPART_ARC
(8,14),-0.84829 # DEPENDENCYPART_ARC
(9,4),-1.33304 # DEPENDENCYPART_ARC
(9,6),-0.891522 # DEPENDENCYPART_ARC
(9,10),-0.876017 # DEPENDENCYPART_ARC
(9,15),-1.58246 # DEPENDENCYPART_ARC
(10,1),-1.95503 # DEPENDENCYPART_ARC
(10,2),-1.77294 # DEPENDENCYPART_ARC
(10,5),-2.05092 # DEPENDENCYPART_ARC
(10,7),-1.43316 # DEPENDENCYPART_ARC
(10,8),-1.09836 # DEPENDENCYPART_ARC
(10,9),0.0064633 # DEPENDENCYPART_ARC
(10,11),0.438342 # DEPENDENCYPART_ARC
(10,13),-1.55513 # DEPENDENCYPART_ARC
(10,14),-0.980109 # DEPENDENCYPART_ARC
(10,15),-1.28375 # DEPENDENCYPART_ARC
(10,16),-0.612917 # DEPENDENCYPART_ARC
(11,1),-1.67245 # DEPENDENCYPART_ARC
(11,2),-1.63151 # DEPENDENCYPART_ARC
(11,3),-2.50685 # DEPENDENCYPART_ARC
(11,5),-1.91948 # DEPENDENCYPART_ARC
(11,6),-1.48416 # DEPENDENCYPART_ARC
(11,7),-1.41166 # DEPENDENCYPART_ARC
(11,8),-1.21961 # DEPENDENCYPART_ARC
(11,9),-1.19869 # DEPENDENCYPART_ARC
(11,10),1.03481 # DEPENDENCYPART_ARC
(11,12),-0.443123 # DEPENDENCYPART_ARC
(11,13),-1.65642 # DEPENDENCYPART_ARC
(11,16),-1.51731 # DEPENDENCYPART_ARC
(12,1),-0.9444 # DEPENDENCYPART_ARC
(12,2),-0.997521 # DEPENDENCYPART_ARC
(12,3),-0.894847 # DEPENDENCYPART_ARC
(12,6),-0.941774 # DEPENDENCYPART_ARC
(12,7),-1.07586 # DEPENDENCYPART_ARC
(12,8),-1.06486 # DEPENDENCYPART_ARC
(12,9),-1.63447 # DEPENDENCYPART_ARC
(12,10),0.21401 # DEPENDENCYPART_ARC
(12,11),1.78875 # DEPENDENCYPART_ARC
(12,13),1.91384 # DEPENDENCYPART_ARC
(12,14),0.866551 # DEPENDENCYPART_ARC
(12,15),-0.287176 # DEPENDENCYPART_ARC
(13,1),-2.42233 # DEPENDENCYPART_ARC
(13,11),-2.95111 # DEPENDENCYPART_ARC
(13,12),-0.60569 # DEPENDENCYPART_ARC
(13,14),-0.4131 # DEPENDENCYPART_ARC
(13,15),-2.49763 # DEPENDENCYPART_ARC
(13,16),-1.34558 # DEPENDENCYPART_ARC
(14,1),-0.808945 # DEPENDENCYPART_ARC
(14,2),-0.932904 # DEPENDENCYPART_ARC
(14,3),-1.88673 # DEPENDENCYPART_ARC
(14,9),-1.48627 # DEPENDENCYPART_ARC
(14,10),-0.276401 # DEPENDENCYPART_ARC
(14,11),-2.23596 # DEPENDENCYPART_ARC
(14,12),0.575378 # DEPENDENCYPART_ARC
(14,13),-0.947003 # DEPENDENCYPART_ARC
(14,15),-0.968979 # DEPENDENCYPART_ARC
(14,16),-0.932716 # DEPENDENCYPART_ARC
(15,1),-1.08949 # DEPENDENCYPART_ARC
(15,2),-1.20808 # DEPENDENCYPART_ARC
(15,3),-1.54072 # DEPENDENCYPART_ARC
(15,4),-0.601321 # DEPENDENCYPART_ARC
(15,5),-1.89172 # DEPENDENCYPART_ARC
(15,6),-0.640623 # DEPENDENCYPART_ARC
(15,7),-0.456115 # DEPENDENCYPART_ARC
(15,8),-0.5884 # DEPENDENCYPART_ARC
(15,9),-1.9875 # DEPENDENCYPART_ARC
(15,10),0.260011 # DEPENDENCYPART_ARC
(15,11),0.41541 # DEPENDENCYPART_ARC
(15,12),0.474954 # DEPENDENCYPART_ARC
(15,13),1.22596 # DEPENDENCYPART_ARC
(15,14),2.59266 # DEPENDENCYPART_ARC
(15,16),1.78206 # DEPENDENCYPART_ARC
(16,14),-0.615506 # DEPENDENCYPART_ARC
