# _root_ - oi , ez naute ni geroko ifernuek izutzen , orain honelako paradisuak dastatu ahal_izanez gero hemen - erantzun ohi nizun halakoetan .
#goldHeads=0,9,2,9,9,9,8,9,19,9,15,13,14,15,9,15,15,17,0,19,19,19,22,
#predictedHeads=0,0,2,9,9,9,8,9,0,9,12,13,14,15,19,15,16,17,0,19,19,19,22,
(0,1),0.872249 # DEPENDENCYPART_ARC
(0,2),-1.11192 # DEPENDENCYPART_ARC
(0,3),-0.751258 # DEPENDENCYPART_ARC
(0,4),-0.640868 # DEPENDENCYPART_ARC
(0,5),-0.933669 # DEPENDENCYPART_ARC
(0,6),-0.529287 # DEPENDENCYPART_ARC
(0,7),-1.41105 # DEPENDENCYPART_ARC
(0,9),-0.392997 # DEPENDENCYPART_ARC
(0,10),-0.398698 # DEPENDENCYPART_ARC
(0,11),-0.740027 # DEPENDENCYPART_ARC
(0,12),-1.38198 # DEPENDENCYPART_ARC
(0,13),-1.5672 # DEPENDENCYPART_ARC
(0,14),-0.53843 # DEPENDENCYPART_ARC
(0,15),-1.18727 # DEPENDENCYPART_ARC
(0,16),-0.770299 # DEPENDENCYPART_ARC
(0,17),-0.441563 # DEPENDENCYPART_ARC
(0,18),-1.38256 # DEPENDENCYPART_ARC
(0,19),1.02792 # DEPENDENCYPART_ARC
(0,20),-0.483074 # DEPENDENCYPART_ARC
(0,21),-0.635156 # DEPENDENCYPART_ARC
(0,22),-2.4365 # DEPENDENCYPART_ARC
(0,23),-1.87664 # DEPENDENCYPART_ARC
(1,3),-1.17855 # DEPENDENCYPART_ARC
(1,4),-2.25507 # DEPENDENCYPART_ARC
(2,3),1.07159 # DEPENDENCYPART_ARC
(3,2),-0.26344 # DEPENDENCYPART_ARC
(3,14),-1.10952 # DEPENDENCYPART_ARC
(3,15),-1.21633 # DEPENDENCYPART_ARC
(3,19),-1.49573 # DEPENDENCYPART_ARC
(4,3),-0.39694 # DEPENDENCYPART_ARC
(5,4),-0.260114 # DEPENDENCYPART_ARC
