# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,5,3,7,5,10,0,10,12,10,0,0,13,16,17,10,17,
(0,1),-0.484859 # DEPENDENCYPART_ARC
(0,2),-1.25198 # DEPENDENCYPART_ARC
(0,3),-0.904992 # DEPENDENCYPART_ARC
(0,4),-0.192907 # DEPENDENCYPART_ARC
(0,6),-1.90055 # DEPENDENCYPART_ARC
(0,7),-1.91644 # DEPENDENCYPART_ARC
(0,8),1.74019 # DEPENDENCYPART_ARC
(0,9),-0.539949 # DEPENDENCYPART_ARC
(0,10),0.202399 # DEPENDENCYPART_ARC
(0,11),-0.934383 # DEPENDENCYPART_ARC
(0,12),0.493448 # DEPENDENCYPART_ARC
(0,13),0.514479 # DEPENDENCYPART_ARC
(0,14),-1.0046 # DEPENDENCYPART_ARC
(0,15),-0.991082 # DEPENDENCYPART_ARC
(0,16),-1.09299 # DEPENDENCYPART_ARC
(0,17),-1.77455 # DEPENDENCYPART_ARC
(0,18),-2.02043 # DEPENDENCYPART_ARC
(1,2),0.498288 # DEPENDENCYPART_ARC
(1,6),-0.59342 # DEPENDENCYPART_ARC
(2,1),2.12541 # DEPENDENCYPART_ARC
(2,3),-0.408189 # DEPENDENCYPART_ARC
(2,5),-1.66987 # DEPENDENCYPART_ARC
(2,6),-2.94384 # DEPENDENCYPART_ARC
(2,9),-1.18639 # DEPENDENCYPART_ARC
(3,1),1.19734 # DEPENDENCYPART_ARC
(3,2),2.64997 # DEPENDENCYPART_ARC
(3,4),-0.0139915 # DEPENDENCYPART_ARC
(3,5),-0.798099 # DEPENDENCYPART_ARC
(3,6),-1.00452 # DEPENDENCYPART_ARC
(3,7),-0.497963 # DEPENDENCYPART_ARC
(3,8),-0.919362 # DEPENDENCYPART_ARC
(3,9),-1.43976 # DEPENDENCYPART_ARC
(3,10),-1.26012 # DEPENDENCYPART_ARC
(3,11),-1.15956 # DEPENDENCYPART_ARC
(3,12),-1.29061 # DEPENDENCYPART_ARC
(3,17),-1.11939 # DEPENDENCYPART_ARC
(4,1),-0.147589 # DEPENDENCYPART_ARC
(4,2),-0.260345 # DEPENDENCYPART_ARC
(4,5),-0.992753 # DEPENDENCYPART_ARC
(5,1),-0.83623 # DEPENDENCYPART_ARC
(5,2),-1.80806 # DEPENDENCYPART_ARC
(5,3),0.161965 # DEPENDENCYPART_ARC
(5,4),-0.139346 # DEPENDENCYPART_ARC
(5,6),2.02948 # DEPENDENCYPART_ARC
(5,7),-1.03606 # DEPENDENCYPART_ARC
(5,8),-0.574363 # DEPENDENCYPART_ARC
(5,9),-0.832977 # DEPENDENCYPART_ARC
(5,15),-0.357284 # DEPENDENCYPART_ARC
(6,5),-0.205913 # DEPENDENCYPART_ARC
(7,1),-0.422436 # DEPENDENCYPART_ARC
