# _root_ ildo horretan , ppk eta pse-eek ere " joko bikoitza " egiten dutela esan du , eta euren testua ehren babesa lortzeko aldatzea leporatu die .
#goldHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,23,21,22,23,24,17,24,25,
#predictedHeads=14,1,2,5,22,5,0,7,12,9,10,14,12,17,14,15,0,19,22,21,22,23,24,17,24,25,
(0,1),-0.963964 # DEPENDENCYPART_ARC
(0,2),-1.8815 # DEPENDENCYPART_ARC
(0,3),-1.03447 # DEPENDENCYPART_ARC
(0,4),-1.42998 # DEPENDENCYPART_ARC
(0,5),-1.23829 # DEPENDENCYPART_ARC
(0,7),1.3494 # DEPENDENCYPART_ARC
(0,8),-1.79661 # DEPENDENCYPART_ARC
(0,10),-1.80232 # DEPENDENCYPART_ARC
(0,11),-1.83497 # DEPENDENCYPART_ARC
(0,12),-1.14358 # DEPENDENCYPART_ARC
(0,13),-1.49024 # DEPENDENCYPART_ARC
(0,14),0.753773 # DEPENDENCYPART_ARC
(0,15),-0.964998 # DEPENDENCYPART_ARC
(0,16),-1.30138 # DEPENDENCYPART_ARC
(0,17),0.711621 # DEPENDENCYPART_ARC
(0,18),-2.38592 # DEPENDENCYPART_ARC
(0,20),-1.8721 # DEPENDENCYPART_ARC
(0,22),-2.15634 # DEPENDENCYPART_ARC
(0,23),-2.22151 # DEPENDENCYPART_ARC
(0,24),-1.28468 # DEPENDENCYPART_ARC
(0,25),-1.64118 # DEPENDENCYPART_ARC
(0,26),-3.68394 # DEPENDENCYPART_ARC
(1,2),1.89807 # DEPENDENCYPART_ARC
(1,3),-1.33859 # DEPENDENCYPART_ARC
(1,4),-1.37323 # DEPENDENCYPART_ARC
(2,3),1.43988 # DEPENDENCYPART_ARC
(4,1),-1.67934 # DEPENDENCYPART_ARC
(4,3),-0.167738 # DEPENDENCYPART_ARC
(4,6),-1.40513 # DEPENDENCYPART_ARC
(5,1),0.181297 # DEPENDENCYPART_ARC
(5,2),-1.38462 # DEPENDENCYPART_ARC
(5,3),-1.39182 # DEPENDENCYPART_ARC
(5,4),2.26145 # DEPENDENCYPART_ARC
(5,6),2.30609 # DEPENDENCYPART_ARC
(5,7),-0.119023 # DEPENDENCYPART_ARC
(5,9),-0.512386 # DEPENDENCYPART_ARC
(5,12),-1.03137 # DEPENDENCYPART_ARC
(5,14),-0.934394 # DEPENDENCYPART_ARC
(5,19),-1.62417 # DEPENDENCYPART_ARC
(5,21),-1.39168 # DEPENDENCYPART_ARC
(5,22),-1.6168 # DEPENDENCYPART_ARC
(5,23),-1.65407 # DEPENDENCYPART_ARC
(5,24),-2.3307 # DEPENDENCYPART_ARC
(6,3),-2.13925 # DEPENDENCYPART_ARC
