# _root_ polizia bat , bederen , miarritzeko komisaldegiko polizia da .
#goldHeads=9,1,2,0,4,7,8,9,0,9,
#predictedHeads=9,1,2,0,4,7,8,9,0,9,
(0,1),-0.996076 # DEPENDENCYPART_ARC
(0,2),-1.72804 # DEPENDENCYPART_ARC
(0,3),-1.11038 # DEPENDENCYPART_ARC
(0,4),1.44624 # DEPENDENCYPART_ARC
(0,5),-1.34671 # DEPENDENCYPART_ARC
(0,6),-1.46916 # DEPENDENCYPART_ARC
(0,7),-1.29723 # DEPENDENCYPART_ARC
(0,8),-0.957656 # DEPENDENCYPART_ARC
(0,9),0.410249 # DEPENDENCYPART_ARC
(0,10),-1.82285 # DEPENDENCYPART_ARC
(1,2),1.70688 # DEPENDENCYPART_ARC
(1,3),-0.889599 # DEPENDENCYPART_ARC
(1,4),-0.998964 # DEPENDENCYPART_ARC
(1,6),-0.853312 # DEPENDENCYPART_ARC
(1,7),-0.82525 # DEPENDENCYPART_ARC
(1,8),-0.861666 # DEPENDENCYPART_ARC
(1,9),-1.04364 # DEPENDENCYPART_ARC
(1,10),-1.509 # DEPENDENCYPART_ARC
(2,1),-0.14705 # DEPENDENCYPART_ARC
(2,3),1.57916 # DEPENDENCYPART_ARC
(3,1),-0.9285 # DEPENDENCYPART_ARC
(3,7),-1.11816 # DEPENDENCYPART_ARC
(3,8),-1.07045 # DEPENDENCYPART_ARC
(3,9),-1.14834 # DEPENDENCYPART_ARC
(4,3),-0.633235 # DEPENDENCYPART_ARC
(4,5),1.55569 # DEPENDENCYPART_ARC
(4,7),-1.01482 # DEPENDENCYPART_ARC
(4,9),-0.130601 # DEPENDENCYPART_ARC
(5,7),-1.59143 # DEPENDENCYPART_ARC
(5,8),-1.27594 # DEPENDENCYPART_ARC
(5,9),-1.37109 # DEPENDENCYPART_ARC
(6,1),-1.90458 # DEPENDENCYPART_ARC
(6,3),-1.73188 # DEPENDENCYPART_ARC
(6,5),-0.530938 # DEPENDENCYPART_ARC
(6,7),-0.181469 # DEPENDENCYPART_ARC
(6,8),-1.39743 # DEPENDENCYPART_ARC
(6,9),-1.94747 # DEPENDENCYPART_ARC
(7,1),-1.44714 # DEPENDENCYPART_ARC
(7,2),-3.49844 # DEPENDENCYPART_ARC
(7,3),-1.81368 # DEPENDENCYPART_ARC
(7,5),-1.49807 # DEPENDENCYPART_ARC
(7,6),1.36915 # DEPENDENCYPART_ARC
(7,8),-0.0685619 # DEPENDENCYPART_ARC
(7,9),-1.23419 # DEPENDENCYPART_ARC
(7,10),-1.11422 # DEPENDENCYPART_ARC
(8,1),-1.03786 # DEPENDENCYPART_ARC
(8,2),-2.61217 # DEPENDENCYPART_ARC
(8,3),-1.59903 # DEPENDENCYPART_ARC
(8,5),-1.38201 # DEPENDENCYPART_ARC
(8,6),1.16289 # DEPENDENCYPART_ARC
(8,7),1.80295 # DEPENDENCYPART_ARC
(8,9),-0.660086 # DEPENDENCYPART_ARC
(8,10),-0.691396 # DEPENDENCYPART_ARC
(9,1),-0.0492921 # DEPENDENCYPART_ARC
(9,2),-0.7708 # DEPENDENCYPART_ARC
(9,3),-1.32749 # DEPENDENCYPART_ARC
(9,4),-0.72813 # DEPENDENCYPART_ARC
(9,5),-1.13821 # DEPENDENCYPART_ARC
(9,6),-0.54861 # DEPENDENCYPART_ARC
(9,7),0.765641 # DEPENDENCYPART_ARC
(9,8),1.74208 # DEPENDENCYPART_ARC
(9,10),1.63614 # DEPENDENCYPART_ARC
(10,7),-1.1221 # DEPENDENCYPART_ARC
(10,8),-1.19114 # DEPENDENCYPART_ARC
