# _root_ hori guztia " bazterketarik gabe , inor bakartu gabe , betorik gabe eta indarkeriarik gabe " egin behar_dela gaineratu zuen ibarretxek .
#goldHeads=17,1,2,13,14,5,8,13,14,9,13,14,17,13,14,15,18,19,0,19,19,21,
#predictedHeads=0,1,2,8,4,5,8,18,8,9,13,11,17,13,14,15,18,19,0,19,19,21,
(0,1),-1.12036 # DEPENDENCYPART_ARC
(0,2),-1.88828 # DEPENDENCYPART_ARC
(0,3),-0.505573 # DEPENDENCYPART_ARC
(0,4),-0.802636 # DEPENDENCYPART_ARC
(0,5),-0.973357 # DEPENDENCYPART_ARC
(0,6),-1.27716 # DEPENDENCYPART_ARC
(0,7),-1.41214 # DEPENDENCYPART_ARC
(0,8),-0.901114 # DEPENDENCYPART_ARC
(0,9),-0.918638 # DEPENDENCYPART_ARC
(0,10),-1.18949 # DEPENDENCYPART_ARC
(0,11),-0.905012 # DEPENDENCYPART_ARC
(0,12),-0.808564 # DEPENDENCYPART_ARC
(0,13),-0.931965 # DEPENDENCYPART_ARC
(0,15),-0.867736 # DEPENDENCYPART_ARC
(0,16),-2.61839 # DEPENDENCYPART_ARC
(0,17),0.456769 # DEPENDENCYPART_ARC
(0,18),-0.358067 # DEPENDENCYPART_ARC
(0,19),0.598177 # DEPENDENCYPART_ARC
(0,20),-1.05888 # DEPENDENCYPART_ARC
(0,21),-2.34145 # DEPENDENCYPART_ARC
(0,22),-3.18179 # DEPENDENCYPART_ARC
(1,2),-0.0667742 # DEPENDENCYPART_ARC
(1,19),-1.99004 # DEPENDENCYPART_ARC
(2,3),1.1254 # DEPENDENCYPART_ARC
(3,4),-1.40143 # DEPENDENCYPART_ARC
(4,1),-1.9945 # DEPENDENCYPART_ARC
(4,3),-0.787188 # DEPENDENCYPART_ARC
(4,5),1.15631 # DEPENDENCYPART_ARC
(4,6),0.266452 # DEPENDENCYPART_ARC
(4,8),-0.658297 # DEPENDENCYPART_ARC
(4,9),-0.196269 # DEPENDENCYPART_ARC
(4,17),-0.27892 # DEPENDENCYPART_ARC
(4,18),0.0754656 # DEPENDENCYPART_ARC
(4,19),-0.995771 # DEPENDENCYPART_ARC
(5,4),-0.41747 # DEPENDENCYPART_ARC
(5,6),1.21306 # DEPENDENCYPART_ARC
(5,9),-0.999584 # DEPENDENCYPART_ARC
(5,10),-0.157187 # DEPENDENCYPART_ARC
(5,12),-1.04216 # DEPENDENCYPART_ARC
(5,15),-1.02603 # DEPENDENCYPART_ARC
(6,4),-0.785698 # DEPENDENCYPART_ARC
(6,18),-1.32854 # DEPENDENCYPART_ARC
(7,4),-0.505456 # DEPENDENCYPART_ARC
(7,5),-0.347072 # DEPENDENCYPART_ARC
(8,1),-1.37378 # DEPENDENCYPART_ARC
(8,2),-1.36299 # DEPENDENCYPART_ARC
(8,4),-0.200642 # DEPENDENCYPART_ARC
(8,5),-0.894762 # DEPENDENCYPART_ARC
(8,6),-1.13826 # DEPENDENCYPART_ARC
(8,7),1.3939 # DEPENDENCYPART_ARC
(8,9),1.8409 # DEPENDENCYPART_ARC
(8,10),-0.00532982 # DEPENDENCYPART_ARC
(8,11),0.00214393 # DEPENDENCYPART_ARC
(8,12),-0.292273 # DEPENDENCYPART_ARC
(8,13),-0.38914 # DEPENDENCYPART_ARC
(8,14),-0.61905 # DEPENDENCYPART_ARC
(8,15),-0.49899 # DEPENDENCYPART_ARC
(8,17),-0.564665 # DEPENDENCYPART_ARC
(8,18),-0.919499 # DEPENDENCYPART_ARC
(8,19),-0.571944 # DEPENDENCYPART_ARC
(8,20),-0.709713 # DEPENDENCYPART_ARC
(9,8),-0.522239 # DEPENDENCYPART_ARC
(9,10),1.50396 # DEPENDENCYPART_ARC
(9,11),-0.857323 # DEPENDENCYPART_ARC
(9,12),-0.910656 # DEPENDENCYPART_ARC
(9,13),-0.943071 # DEPENDENCYPART_ARC
(9,14),-1.0122 # DEPENDENCYPART_ARC
(9,15),-0.917098 # DEPENDENCYPART_ARC
(10,8),-0.594966 # DEPENDENCYPART_ARC
