sentence,n,depth,max degree,deg0,deg1,deg2,deg3,deg4,deg5,deg6,deg7,deg8,deg > 9
0,49,9,9,26,16,2,0,1,3,0,0,0,1
1,5,3,3,3,1,0,1,0,0,0,0,0,0
2,20,8,3,10,5,1,4,0,0,0,0,0,0
3,12,4,4,6,4,0,1,1,0,0,0,0,0
4,29,9,4,13,9,3,3,1,0,0,0,0,0
5,15,5,5,7,5,2,0,0,1,0,0,0,0
6,9,5,3,4,3,1,1,0,0,0,0,0,0
7,8,3,4,5,1,1,0,1,0,0,0,0,0
8,17,6,4,7,7,1,1,1,0,0,0,0,0
9,25,12,3,9,10,4,2,0,0,0,0,0,0
10,33,9,4,14,10,6,2,1,0,0,0,0,0
11,37,14,5,16,13,4,2,1,1,0,0,0,0
12,17,8,4,7,6,3,0,1,0,0,0,0,0
13,48,13,5,20,18,5,2,2,1,0,0,0,0
14,44,12,7,21,13,4,5,0,0,0,1,0,0
15,13,5,8,8,4,0,0,0,0,0,0,1,0
16,30,8,6,12,11,6,0,0,0,1,0,0,0
17,18,5,8,9,7,1,0,0,0,0,0,1,0
18,46,16,5,20,15,6,3,1,1,0,0,0,0
19,35,10,5,14,14,4,1,1,1,0,0,0,0
20,15,6,4,8,3,2,1,1,0,0,0,0,0
21,9,4,3,5,2,0,2,0,0,0,0,0,0
22,48,9,9,26,11,3,7,0,0,0,0,0,1
23,50,15,6,23,13,9,4,0,0,1,0,0,0
24,18,7,5,7,8,2,0,0,1,0,0,0,0
25,10,4,4,6,1,2,0,1,0,0,0,0,0
26,24,12,4,11,7,4,0,2,0,0,0,0,0
27,19,10,4,9,5,3,1,1,0,0,0,0,0
28,22,13,3,8,8,5,1,0,0,0,0,0,0
29,35,6,7,18,9,4,2,1,0,0,1,0,0
30,42,11,4,20,12,4,3,3,0,0,0,0,0
31,22,11,3,8,8,5,1,0,0,0,0,0,0
32,21,7,5,10,7,2,0,1,1,0,0,0,0
33,18,8,4,8,5,4,0,1,0,0,0,0,0
34,23,13,4,10,8,2,2,1,0,0,0,0,0
35,29,7,6,16,5,4,3,0,0,1,0,0,0
36,33,10,4,17,7,3,5,1,0,0,0,0,0
37,19,10,4,7,9,1,1,1,0,0,0,0,0
38,18,7,6,8,7,2,0,0,0,1,0,0,0
39,10,5,3,4,4,1,1,0,0,0,0,0,0
40,36,13,7,17,11,5,1,1,0,0,1,0,0
41,27,14,6,13,9,1,3,0,0,1,0,0,0
42,22,12,4,10,8,1,1,2,0,0,0,0,0
43,21,10,3,7,10,2,2,0,0,0,0,0,0
44,26,12,3,11,9,2,4,0,0,0,0,0,0
45,23,8,5,11,9,0,0,2,1,0,0,0,0
46,34,11,5,16,10,4,2,1,1,0,0,0,0
47,23,8,4,12,5,3,1,2,0,0,0,0,0
48,33,10,6,17,7,5,3,0,0,1,0,0,0
49,21,6,5,11,4,4,1,0,1,0,0,0,0
50,29,6,7,17,5,3,2,1,0,0,1,0,0
51,24,7,6,10,9,4,0,0,0,1,0,0,0
52,44,11,5,21,13,4,4,0,2,0,0,0,0
53,11,5,4,6,3,0,1,1,0,0,0,0,0
54,43,13,7,23,12,2,3,1,0,1,1,0,0
55,58,14,8,30,12,10,3,2,0,0,0,1,0
56,23,10,4,13,4,2,2,2,0,0,0,0,0
57,18,6,5,9,4,4,0,0,1,0,0,0,0
58,12,4,5,7,2,2,0,0,1,0,0,0,0
59,21,5,5,13,3,2,1,0,2,0,0,0,0
60,23,8,4,13,4,2,2,2,0,0,0,0,0
61,58,15,7,30,15,5,4,2,1,0,1,0,0
62,33,8,9,19,9,1,0,3,0,0,0,0,1
63,41,9,7,23,8,6,1,0,2,0,1,0,0
64,31,10,7,15,9,4,2,0,0,0,1,0,0
65,27,12,5,13,9,0,4,0,1,0,0,0,0
66,50,17,6,26,12,6,3,0,2,1,0,0,0
67,7,4,3,4,1,1,1,0,0,0,0,0,0
68,46,13,8,21,17,4,1,1,1,0,0,1,0
69,52,13,9,25,16,6,2,2,0,0,0,0,1
70,34,8,7,19,7,6,0,0,0,0,2,0,0
71,50,8,7,29,11,5,1,0,1,1,2,0,0
72,25,7,8,16,5,1,1,0,0,1,0,1,0
73,43,15,7,22,13,2,3,1,1,0,1,0,0
74,12,8,3,5,5,0,2,0,0,0,0,0,0
75,15,6,3,7,4,2,2,0,0,0,0,0,0
76,9,5,4,5,2,1,0,1,0,0,0,0,0
77,53,18,7,27,14,7,1,2,0,1,1,0,0
78,18,5,6,12,3,1,0,0,0,2,0,0,0
79,32,10,5,14,13,1,1,2,1,0,0,0,0
80,49,11,7,26,10,8,1,3,0,0,1,0,0
81,33,10,6,15,11,3,3,0,0,1,0,0,0
82,33,10,6,13,14,4,0,1,0,1,0,0,0
83,8,5,3,4,2,1,1,0,0,0,0,0,0
84,39,12,4,17,12,6,2,2,0,0,0,0,0
85,4,2,3,3,0,0,1,0,0,0,0,0,0
86,6,5,2,2,3,1,0,0,0,0,0,0,0
87,36,10,8,21,9,1,2,0,2,0,0,1,0
88,20,11,4,10,3,6,0,1,0,0,0,0,0
89,11,6,3,5,4,0,2,0,0,0,0,0,0
90,29,9,4,14,7,4,3,1,0,0,0,0,0
91,19,7,6,10,5,2,1,0,0,1,0,0,0
92,20,12,3,9,6,2,3,0,0,0,0,0,0
93,19,8,5,9,5,4,0,0,1,0,0,0,0
94,17,8,4,7,6,3,0,1,0,0,0,0,0
95,18,11,4,8,6,2,1,1,0,0,0,0,0
96,27,7,7,14,8,2,1,1,0,0,1,0,0
97,47,14,4,21,14,6,4,2,0,0,0,0,0
98,29,7,5,16,6,4,0,1,2,0,0,0,0
99,28,12,8,15,7,3,2,0,0,0,0,1,0
100,48,22,7,21,17,6,2,0,1,0,1,0,0
101,19,6,6,11,4,2,0,1,0,1,0,0,0
102,32,15,5,13,12,5,0,1,1,0,0,0,0
103,29,9,3,13,9,2,5,0,0,0,0,0,0
104,28,8,6,16,7,1,1,1,1,1,0,0,0
105,15,7,4,8,3,2,1,1,0,0,0,0,0
106,34,8,6,16,9,6,2,0,0,1,0,0,0
107,11,7,4,5,4,1,0,1,0,0,0,0,0
108,38,8,5,18,13,2,1,3,1,0,0,0,0
109,25,9,5,11,9,2,2,0,1,0,0,0,0
110,22,9,5,12,4,3,2,0,1,0,0,0,0
111,35,6,9,23,5,2,1,2,1,0,0,0,1
112,32,13,5,19,5,4,0,2,2,0,0,0,0
113,16,6,4,8,5,0,2,1,0,0,0,0,0
114,15,6,4,8,4,0,2,1,0,0,0,0,0
115,26,12,3,10,10,3,3,0,0,0,0,0,0
116,39,16,3,17,11,6,5,0,0,0,0,0,0
117,11,5,3,5,3,2,1,0,0,0,0,0,0
118,27,13,5,11,10,4,1,0,1,0,0,0,0
119,16,8,3,5,9,0,2,0,0,0,0,0,0
120,27,12,4,12,9,3,1,2,0,0,0,0,0
121,16,8,3,8,3,3,2,0,0,0,0,0,0
122,11,5,4,5,4,1,0,1,0,0,0,0,0
123,22,10,4,10,7,2,2,1,0,0,0,0,0
124,28,10,8,14,9,2,2,0,0,0,0,1,0
125,45,13,6,24,11,3,4,1,1,1,0,0,0
126,23,8,6,11,7,3,1,0,0,1,0,0,0
127,26,8,6,14,7,1,2,1,0,1,0,0,0
128,21,5,8,12,4,4,0,0,0,0,0,1,0
129,16,5,5,10,2,1,2,0,1,0,0,0,0
130,30,8,5,13,11,3,1,1,1,0,0,0,0
131,19,8,4,9,6,1,2,1,0,0,0,0,0
132,20,11,3,9,5,4,2,0,0,0,0,0,0
133,35,8,7,16,12,4,1,1,0,0,1,0,0
134,11,5,3,4,5,1,1,0,0,0,0,0,0
135,36,10,7,14,17,1,3,0,0,0,1,0,0
136,23,10,5,10,8,3,1,0,1,0,0,0,0
137,47,11,5,23,14,3,3,3,1,0,0,0,0
138,25,9,4,11,6,7,0,1,0,0,0,0,0
139,15,7,3,7,4,2,2,0,0,0,0,0,0
140,28,10,6,15,7,3,0,2,0,1,0,0,0
141,15,5,5,9,3,1,0,1,1,0,0,0,0
142,23,13,5,10,10,0,1,1,1,0,0,0,0
143,32,10,3,11,13,6,2,0,0,0,0,0,0
144,27,13,4,12,8,4,2,1,0,0,0,0,0
145,26,7,4,13,6,3,3,1,0,0,0,0,0
146,34,13,8,15,12,5,1,0,0,0,0,1,0
147,24,10,4,9,11,1,2,1,0,0,0,0,0
148,38,10,4,21,6,5,3,3,0,0,0,0,0
149,33,13,5,14,12,3,3,0,1,0,0,0,0
150,21,8,3,8,8,3,2,0,0,0,0,0,0
151,31,13,4,12,12,4,2,1,0,0,0,0,0
152,31,8,6,16,7,5,1,1,0,1,0,0,0
153,33,15,5,15,10,5,1,1,1,0,0,0,0
154,24,8,5,12,6,3,2,0,1,0,0,0,0
155,28,8,5,16,4,4,2,1,1,0,0,0,0
156,17,7,6,10,4,1,0,1,0,1,0,0,0
157,41,10,4,19,9,9,3,1,0,0,0,0,0
158,29,10,3,11,11,4,3,0,0,0,0,0,0
159,24,7,6,14,4,4,0,0,1,1,0,0,0
160,21,11,4,9,8,2,0,2,0,0,0,0,0
161,28,9,5,13,9,2,3,0,1,0,0,0,0
162,18,8,4,9,5,1,2,1,0,0,0,0,0
163,27,6,7,14,6,5,1,0,0,0,1,0,0
164,18,8,5,10,5,1,0,0,2,0,0,0,0
165,19,7,5,11,2,4,1,0,1,0,0,0,0
166,59,22,5,28,15,9,4,2,1,0,0,0,0
167,38,8,7,17,12,7,0,1,0,0,1,0,0
168,13,6,4,7,3,1,1,1,0,0,0,0,0
169,19,6,6,10,5,2,1,0,0,1,0,0,0
170,56,14,8,31,11,7,3,2,1,0,0,1,0
171,17,6,7,9,5,2,0,0,0,0,1,0,0
172,37,9,5,19,10,3,1,3,1,0,0,0,0
173,15,4,5,9,3,1,0,1,1,0,0,0,0
174,37,12,6,21,8,3,2,0,2,1,0,0,0
175,19,6,7,12,2,3,1,0,0,0,1,0,0
176,25,11,6,13,6,3,2,0,0,1,0,0,0
177,31,10,3,14,8,5,4,0,0,0,0,0,0
178,27,11,5,14,6,3,3,0,1,0,0,0,0
179,18,7,5,8,6,3,0,0,1,0,0,0,0
180,14,8,4,6,5,2,0,1,0,0,0,0,0
181,38,14,5,18,12,2,4,1,1,0,0,0,0
182,40,8,5,22,7,5,3,2,1,0,0,0,0
