# _root_ Bir konuda bilgi _ verirken veya bir gerçeği _ savunurken , _ türlü kanıtlardan _ _ faydalanan , bunları bilimsel biçimde _ inceleyen gazete ve dergi yazılarına makale _ denir .
#goldHeads=2,4,4,5,6,10,8,9,10,16,0,13,14,16,16,17,18,23,22,21,22,23,24,25,26,27,30,30,30,31,0,
#predictedHeads=2,4,4,5,6,7,8,9,10,30,0,13,14,16,16,17,18,24,22,21,22,23,24,25,26,27,30,30,30,31,0,
(0,11),0.8786 # DEPENDENCYPART_ARC
(0,18),0.485846 # DEPENDENCYPART_ARC
(0,25),-1.54079 # DEPENDENCYPART_ARC
(0,31),2.90156 # DEPENDENCYPART_ARC
(2,1),1.35481 # DEPENDENCYPART_ARC
(2,7),-1.3287 # DEPENDENCYPART_ARC
(3,1),-0.433674 # DEPENDENCYPART_ARC
(3,2),0.130428 # DEPENDENCYPART_ARC
(3,7),-1.09721 # DEPENDENCYPART_ARC
(4,1),-1.00319 # DEPENDENCYPART_ARC
(4,2),0.376489 # DEPENDENCYPART_ARC
(4,3),1.17196 # DEPENDENCYPART_ARC
(4,6),-0.429969 # DEPENDENCYPART_ARC
(4,8),-0.885081 # DEPENDENCYPART_ARC
(4,10),-1.09722 # DEPENDENCYPART_ARC
(5,1),-0.593846 # DEPENDENCYPART_ARC
(5,2),-0.00596596 # DEPENDENCYPART_ARC
(5,3),0.296001 # DEPENDENCYPART_ARC
(5,4),1.72838 # DEPENDENCYPART_ARC
(5,6),-0.405061 # DEPENDENCYPART_ARC
(6,2),-1.06844 # DEPENDENCYPART_ARC
(6,3),-0.748495 # DEPENDENCYPART_ARC
(6,4),-0.353346 # DEPENDENCYPART_ARC
(6,5),0.233182 # DEPENDENCYPART_ARC
(6,8),-1.19893 # DEPENDENCYPART_ARC
(7,6),-0.426369 # DEPENDENCYPART_ARC
(8,1),-1.04231 # DEPENDENCYPART_ARC
(8,2),-1.16543 # DEPENDENCYPART_ARC
(8,3),-0.597813 # DEPENDENCYPART_ARC
(8,4),-1.24698 # DEPENDENCYPART_ARC
(8,5),-0.797493 # DEPENDENCYPART_ARC
(8,6),-0.637177 # DEPENDENCYPART_ARC
(8,7),1.15314 # DEPENDENCYPART_ARC
(8,9),-1.39289 # DEPENDENCYPART_ARC
(9,1),-1.44868 # DEPENDENCYPART_ARC
(9,2),-0.410499 # DEPENDENCYPART_ARC
(9,3),-0.508969 # DEPENDENCYPART_ARC
(9,4),-1.47605 # DEPENDENCYPART_ARC
(9,5),-0.308226 # DEPENDENCYPART_ARC
(9,6),-0.81359 # DEPENDENCYPART_ARC
(9,7),-0.89354 # DEPENDENCYPART_ARC
(9,8),1.01613 # DEPENDENCYPART_ARC
(9,11),-1.24823 # DEPENDENCYPART_ARC
(9,16),-1.76599 # DEPENDENCYPART_ARC
(10,2),-0.178896 # DEPENDENCYPART_ARC
(10,3),-0.247935 # DEPENDENCYPART_ARC
(10,5),-0.3677 # DEPENDENCYPART_ARC
(10,6),-0.467126 # DEPENDENCYPART_ARC
(10,7),-0.464295 # DEPENDENCYPART_ARC
(10,8),0.56828 # DEPENDENCYPART_ARC
(10,9),1.57478 # DEPENDENCYPART_ARC
(11,1),-1.33236 # DEPENDENCYPART_ARC
(11,3),-0.768664 # DEPENDENCYPART_ARC
(11,4),-2.01902 # DEPENDENCYPART_ARC
(11,5),-1.10416 # DEPENDENCYPART_ARC
(11,6),-0.995715 # DEPENDENCYPART_ARC
(11,7),-1.29397 # DEPENDENCYPART_ARC
(11,8),-0.77256 # DEPENDENCYPART_ARC
(11,9),-0.542298 # DEPENDENCYPART_ARC
(11,10),-0.482443 # DEPENDENCYPART_ARC
(11,16),-1.72243 # DEPENDENCYPART_ARC
(11,30),-1.91973 # DEPENDENCYPART_ARC
(12,9),-1.62365 # DEPENDENCYPART_ARC
(12,11),-0.742949 # DEPENDENCYPART_ARC
(12,13),-0.871061 # DEPENDENCYPART_ARC
(13,1),-0.972568 # DEPENDENCYPART_ARC
