# _root_ Bilim , _ Aydınlanma mücadelesinde , _ insanlığın _ elindeki en _ önemli kazanımlardan _ _ biridir .
#goldHeads=17,0,4,5,17,0,8,10,10,14,13,13,14,17,16,17,18,0,
#predictedHeads=17,0,4,5,17,0,8,9,10,14,13,13,14,17,16,17,18,0,
(0,2),1.22505 # DEPENDENCYPART_ARC
(0,6),0.808867 # DEPENDENCYPART_ARC
(0,18),2.90259 # DEPENDENCYPART_ARC
(1,2),-0.829038 # DEPENDENCYPART_ARC
(1,3),-1.64474 # DEPENDENCYPART_ARC
(2,1),-0.155995 # DEPENDENCYPART_ARC
(2,3),-0.969083 # DEPENDENCYPART_ARC
(2,4),-0.943869 # DEPENDENCYPART_ARC
(2,17),-1.73117 # DEPENDENCYPART_ARC
(3,1),-1.22511 # DEPENDENCYPART_ARC
(3,2),-0.310476 # DEPENDENCYPART_ARC
(3,4),-0.377259 # DEPENDENCYPART_ARC
(3,5),-0.364722 # DEPENDENCYPART_ARC
(3,11),-1.40877 # DEPENDENCYPART_ARC
(3,12),-2.28906 # DEPENDENCYPART_ARC
(3,14),-2.02928 # DEPENDENCYPART_ARC
(4,1),-1.10102 # DEPENDENCYPART_ARC
(4,2),-0.394976 # DEPENDENCYPART_ARC
(4,3),1.72225 # DEPENDENCYPART_ARC
(5,1),-0.800596 # DEPENDENCYPART_ARC
(5,2),-0.263072 # DEPENDENCYPART_ARC
(5,3),-0.167709 # DEPENDENCYPART_ARC
(5,4),1.76755 # DEPENDENCYPART_ARC
(6,3),-1.23981 # DEPENDENCYPART_ARC
(6,4),-0.970923 # DEPENDENCYPART_ARC
(6,5),0.189402 # DEPENDENCYPART_ARC
(6,17),-1.84742 # DEPENDENCYPART_ARC
(7,5),-2.0441 # DEPENDENCYPART_ARC
(7,6),-0.759656 # DEPENDENCYPART_ARC
(7,10),-1.24357 # DEPENDENCYPART_ARC
(8,1),-0.917158 # DEPENDENCYPART_ARC
(8,2),-0.963446 # DEPENDENCYPART_ARC
(8,3),-1.68465 # DEPENDENCYPART_ARC
(8,4),-0.766237 # DEPENDENCYPART_ARC
(8,5),-1.81845 # DEPENDENCYPART_ARC
(8,6),-0.521954 # DEPENDENCYPART_ARC
(8,7),1.66103 # DEPENDENCYPART_ARC
(8,9),-2.17535 # DEPENDENCYPART_ARC
(8,10),-1.68894 # DEPENDENCYPART_ARC
(8,12),-2.09547 # DEPENDENCYPART_ARC
(8,14),-2.40153 # DEPENDENCYPART_ARC
(9,6),-1.15087 # DEPENDENCYPART_ARC
(9,7),-0.199058 # DEPENDENCYPART_ARC
(9,8),1.41144 # DEPENDENCYPART_ARC
(9,10),-1.0075 # DEPENDENCYPART_ARC
(9,11),-0.958921 # DEPENDENCYPART_ARC
(9,12),-1.27449 # DEPENDENCYPART_ARC
(9,13),-1.55508 # DEPENDENCYPART_ARC
(9,14),-1.50119 # DEPENDENCYPART_ARC
(10,1),-0.730073 # DEPENDENCYPART_ARC
(10,2),-0.973179 # DEPENDENCYPART_ARC
(10,3),-1.77176 # DEPENDENCYPART_ARC
(10,4),-0.727211 # DEPENDENCYPART_ARC
(10,5),-0.732316 # DEPENDENCYPART_ARC
(10,6),-0.547673 # DEPENDENCYPART_ARC
(10,7),0.123018 # DEPENDENCYPART_ARC
(10,8),0.477334 # DEPENDENCYPART_ARC
(10,9),1.82858 # DEPENDENCYPART_ARC
(10,11),-0.74722 # DEPENDENCYPART_ARC
(10,12),-1.16916 # DEPENDENCYPART_ARC
(10,14),-1.33666 # DEPENDENCYPART_ARC
(11,7),-1.38523 # DEPENDENCYPART_ARC
(11,8),-1.28428 # DEPENDENCYPART_ARC
(11,9),-0.737448 # DEPENDENCYPART_ARC
(11,10),-0.235078 # DEPENDENCYPART_ARC
(12,7),-2.2624 # DEPENDENCYPART_ARC
(12,8),-1.19775 # DEPENDENCYPART_ARC
