# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(0,3),1.00703 # DEPENDENCYPART_ARC
(0,12),0.359703 # DEPENDENCYPART_ARC
(0,23),3.05174 # DEPENDENCYPART_ARC
(1,8),-1.00133 # DEPENDENCYPART_ARC
(2,1),1.38199 # DEPENDENCYPART_ARC
(3,1),-1.51464 # DEPENDENCYPART_ARC
(3,2),0.293384 # DEPENDENCYPART_ARC
(3,11),-1.70597 # DEPENDENCYPART_ARC
(3,22),-1.86883 # DEPENDENCYPART_ARC
(4,2),-1.11246 # DEPENDENCYPART_ARC
(4,3),-0.743223 # DEPENDENCYPART_ARC
(4,8),-0.977714 # DEPENDENCYPART_ARC
(5,1),-1.37355 # DEPENDENCYPART_ARC
(5,2),-0.643626 # DEPENDENCYPART_ARC
(5,3),-0.495204 # DEPENDENCYPART_ARC
(5,4),1.78955 # DEPENDENCYPART_ARC
(5,8),-1.50175 # DEPENDENCYPART_ARC
(6,3),-0.559959 # DEPENDENCYPART_ARC
(6,4),0.402811 # DEPENDENCYPART_ARC
(6,5),1.58571 # DEPENDENCYPART_ARC
(6,8),-1.14097 # DEPENDENCYPART_ARC
(7,2),-1.12328 # DEPENDENCYPART_ARC
(7,3),-1.12907 # DEPENDENCYPART_ARC
(7,4),-1.0375 # DEPENDENCYPART_ARC
(7,5),0.104012 # DEPENDENCYPART_ARC
(7,6),1.84105 # DEPENDENCYPART_ARC
(7,8),-0.562812 # DEPENDENCYPART_ARC
(7,9),-0.563734 # DEPENDENCYPART_ARC
(7,11),-1.34538 # DEPENDENCYPART_ARC
(7,22),-2.00544 # DEPENDENCYPART_ARC
(8,7),-0.515359 # DEPENDENCYPART_ARC
(9,3),-1.25289 # DEPENDENCYPART_ARC
